code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,25334_date,25334_score,25335_date,25335_score,25336_date,25336_score,25337_date,25337_score,25338_date,25338_score,25339_date,25339_score,25340_date,25340_score,25341_date,25341_score,25342_date,25342_score,25343_date,25343_score,25344_date,25344_score,25345_date,25345_score,25346_date,25346_score,25347_date,25347_score,clicks_externalquiz,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucontent,clicks_ouelluminate,clicks_ouwiki,clicks_page,clicks_resource,clicks_subpage,clicks_url
DDD,2013B,60135,F,West Midlands Region,A Level or Equivalent,NA,0-35,0,60,N,Pass,-90.0,NA,16.0,76.0,51.0,76.0,79.0,84.0,NA,NA,150.0,48.0,NA,NA,229.0,40.0,25.0,57.0,54.0,86.0,81.0,61.0,117.0,53.0,152.0,65.0,173.0,28.0,209.0,19.0,66.0,613.0,19.0,822.0,155.0,4.0,185.0,2.0,142.0,632.0,110.0
DDD,2013B,66579,M,South Region,Lower Than A Level,40-50%,35-55,0,60,N,Fail,-22.0,NA,25.0,72.0,53.0,80.0,NA,NA,116.0,21.0,NA,NA,NA,NA,NA,NA,25.0,73.0,54.0,94.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0,232.0,0.0,160.0,19.0,17.0,56.0,1.0,32.0,108.0,49.0
DDD,2013B,67602,M,Ireland,Lower Than A Level,30-40%,0-35,1,60,N,Pass,-28.0,NA,23.0,54.0,53.0,52.0,81.0,69.0,116.0,41.0,159.0,19.0,207.0,30.0,230.0,49.0,25.0,43.0,54.0,67.0,81.0,53.0,117.0,52.0,152.0,33.0,173.0,47.0,209.0,63.0,33.0,134.0,0.0,237.0,142.0,7.0,11.0,0.0,77.0,123.0,33.0
DDD,2013B,67785,F,London Region,Lower Than A Level,20-30%,0-35,0,120,Y,Pass,-24.0,NA,24.0,81.0,53.0,55.0,81.0,90.0,116.0,81.0,151.0,78.0,NA,NA,229.0,33.0,25.0,67.0,54.0,78.0,81.0,67.0,117.0,92.0,152.0,89.0,NA,NA,209.0,48.0,9.0,209.0,0.0,387.0,246.0,5.0,82.0,0.0,127.0,227.0,59.0
DDD,2013B,69491,F,East Anglian Region,Lower Than A Level,80-90%,0-35,4,60,N,Pass,-29.0,NA,25.0,79.0,52.0,48.0,80.0,86.0,116.0,30.0,151.0,29.0,199.0,88.0,230.0,51.0,25.0,60.0,54.0,89.0,81.0,67.0,117.0,72.0,152.0,89.0,173.0,75.0,209.0,61.0,11.0,16.0,0.0,120.0,102.0,4.0,0.0,0.0,43.0,64.0,13.0
DDD,2013B,72451,M,East Midlands Region,Lower Than A Level,90-100%,0-35,0,60,N,Withdrawn,-66.0,-15.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DDD,2013B,76536,F,West Midlands Region,Lower Than A Level,60-70%,0-35,1,120,N,Fail,13.0,NA,-1.0,69.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.0,77.0,-1.0,58.0,-1.0,61.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DDD,2013B,77763,M,East Anglian Region,HE Qualification,20-30%,35-55,0,150,N,Pass,-37.0,NA,28.0,88.0,58.0,89.0,80.0,98.0,118.0,90.0,151.0,89.0,200.0,73.0,230.0,69.0,25.0,83.0,54.0,100.0,81.0,100.0,117.0,97.0,152.0,96.0,173.0,94.0,209.0,87.0,19.0,277.0,24.0,309.0,114.0,7.0,98.0,2.0,116.0,335.0,53.0
DDD,2013B,81351,M,Scotland,HE Qualification,90-100%,35-55,1,60,Y,Fail,-12.0,NA,25.0,75.0,52.0,67.0,81.0,94.0,116.0,74.0,151.0,60.0,194.0,70.0,248.0,0.0,25.0,80.0,54.0,72.0,81.0,86.0,117.0,82.0,152.0,80.0,173.0,75.0,216.0,21.0,24.0,154.0,0.0,229.0,132.0,1.0,37.0,0.0,62.0,132.0,46.0
DDD,2013B,86047,F,Wales,HE Qualification,20-30%,0-35,0,60,N,Pass,-60.0,NA,22.0,62.0,60.0,61.0,81.0,63.0,123.0,46.0,151.0,47.0,209.0,35.0,229.0,42.0,25.0,70.0,54.0,75.0,81.0,67.0,117.0,73.0,152.0,22.0,NA,NA,NA,NA,16.0,166.0,0.0,142.0,208.0,7.0,74.0,2.0,52.0,199.0,24.0
DDD,2013B,87107,F,South West Region,HE Qualification,70-80%,0-35,0,60,N,Pass,-22.0,NA,24.0,83.0,51.0,78.0,80.0,81.0,116.0,79.0,NA,NA,NA,NA,231.0,40.0,25.0,57.0,54.0,61.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0,219.0,0.0,229.0,122.0,0.0,48.0,0.0,74.0,119.0,47.0
DDD,2013B,89051,M,North Western Region,A Level or Equivalent,30-40%,35-55,0,120,Y,Pass,-78.0,NA,24.0,85.0,52.0,82.0,80.0,78.0,115.0,96.0,151.0,77.0,200.0,65.0,231.0,73.0,25.0,70.0,54.0,92.0,81.0,94.0,117.0,88.0,152.0,94.0,173.0,69.0,209.0,79.0,23.0,171.0,0.0,294.0,290.0,1.0,87.0,0.0,50.0,184.0,63.0
DDD,2013B,90836,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,180,Y,Fail,-128.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0,22.0,0.0,58.0,38.0,0.0,8.0,0.0,21.0,37.0,16.0
DDD,2013B,92775,F,North Region,Lower Than A Level,0-10%,0-35,1,60,Y,Fail,-225.0,NA,23.0,72.0,53.0,53.0,81.0,42.0,115.0,14.0,151.0,3.0,NA,NA,NA,NA,25.0,50.0,54.0,78.0,81.0,39.0,117.0,47.0,152.0,11.0,173.0,14.0,NA,NA,113.0,1430.0,7.0,5548.0,161.0,112.0,128.0,3.0,147.0,1198.0,2134.0
DDD,2013B,94923,F,Scotland,Lower Than A Level,30-40%,0-35,2,90,N,Fail,-55.0,NA,24.0,64.0,53.0,72.0,81.0,78.0,116.0,34.0,NA,NA,NA,NA,NA,NA,25.0,50.0,54.0,67.0,81.0,61.0,117.0,62.0,NA,NA,NA,NA,NA,NA,9.0,106.0,0.0,103.0,33.0,1.0,36.0,1.0,38.0,116.0,1.0
DDD,2013B,94964,F,South West Region,Lower Than A Level,40-50%,0-35,0,60,N,Fail,-24.0,NA,26.0,68.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0,20.0,NA,NA,81.0,31.0,NA,NA,NA,NA,NA,NA,NA,NA,2.0,74.0,0.0,34.0,27.0,0.0,0.0,1.0,12.0,44.0,5.0
DDD,2013B,95356,F,Scotland,HE Qualification,20-30%,0-35,0,90,N,Withdrawn,-110.0,203.0,25.0,41.0,NA,NA,81.0,39.0,116.0,20.0,NA,NA,200.0,54.0,NA,NA,25.0,43.0,54.0,67.0,81.0,50.0,117.0,58.0,152.0,69.0,173.0,67.0,NA,NA,10.0,0.0,0.0,62.0,67.0,0.0,0.0,0.0,13.0,49.0,4.0
DDD,2013B,96592,F,London Region,HE Qualification,20-30%,0-35,0,60,N,Pass,-68.0,NA,24.0,56.0,52.0,77.0,81.0,77.0,116.0,93.0,151.0,84.0,200.0,70.0,229.0,64.0,25.0,80.0,54.0,89.0,81.0,92.0,117.0,93.0,152.0,93.0,173.0,83.0,209.0,91.0,11.0,114.0,0.0,168.0,197.0,0.0,110.0,1.0,55.0,91.0,29.0
DDD,2013B,96945,M,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,90,N,Withdrawn,-31.0,11.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
DDD,2013B,103904,M,South Region,HE Qualification,70-80%,0-35,0,60,N,Distinction,-22.0,NA,14.0,88.0,38.0,79.0,63.0,90.0,119.0,91.0,125.0,86.0,181.0,83.0,230.0,78.0,25.0,70.0,54.0,94.0,81.0,81.0,117.0,88.0,152.0,76.0,173.0,64.0,209.0,77.0,28.0,441.0,0.0,513.0,46.0,4.0,94.0,1.0,105.0,292.0,55.0
DDD,2013B,108565,M,South West Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,-48.0,57.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0,63.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0,21.0,0.0,79.0,4.0,1.0,0.0,1.0,10.0,44.0,38.0
DDD,2013B,110200,F,London Region,Lower Than A Level,70-80%,0-35,0,90,N,Fail,-93.0,NA,22.0,64.0,NA,NA,85.0,50.0,NA,NA,NA,NA,NA,NA,NA,NA,25.0,70.0,54.0,50.0,81.0,33.0,117.0,32.0,NA,NA,NA,NA,NA,NA,4.0,12.0,0.0,51.0,48.0,0.0,0.0,0.0,7.0,26.0,9.0
DDD,2013B,111113,M,North Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,-92.0,NA,24.0,36.0,52.0,18.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0,37.0,54.0,44.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.0,108.0,0.0,114.0,36.0,19.0,15.0,0.0,9.0,42.0,15.0
DDD,2013B,111360,M,West Midlands Region,HE Qualification,30-40%,0-35,2,120,N,Withdrawn,-45.0,124.0,25.0,41.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0,43.0,54.0,67.0,81.0,56.0,NA,NA,NA,NA,NA,NA,NA,NA,44.0,0.0,0.0,110.0,52.0,0.0,0.0,1.0,41.0,114.0,24.0
DDD,2013B,112245,M,South Region,HE Qualification,90-100%,35-55,0,60,N,Pass,-73.0,NA,21.0,76.0,50.0,86.0,79.0,97.0,114.0,89.0,150.0,82.0,196.0,66.0,229.0,58.0,25.0,83.0,54.0,86.0,81.0,89.0,117.0,83.0,152.0,78.0,173.0,58.0,209.0,71.0,33.0,343.0,0.0,561.0,315.0,43.0,171.0,1.0,128.0,511.0,156.0
DDD,2013B,117435,M,South West Region,Lower Than A Level,30-40%,0-35,0,90,Y,Withdrawn,-24.0,195.0,25.0,73.0,59.0,55.0,NA,NA,123.0,53.0,NA,NA,NA,NA,NA,NA,25.0,73.0,54.0,89.0,NA,NA,117.0,77.0,152.0,59.0,173.0,72.0,NA,NA,13.0,241.0,50.0,298.0,94.0,17.0,42.0,2.0,88.0,462.0,48.0
DDD,2013B,117862,M,West Midlands Region,A Level or Equivalent,10-20,0-35,1,60,N,Withdrawn,-66.0,27.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,13.0,0.0,17.0,5.0,0.0,0.0,1.0,3.0,9.0,7.0
DDD,2013B,117939,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,N,Withdrawn,-92.0,171.0,29.0,66.0,53.0,26.0,85.0,57.0,NA,NA,NA,NA,NA,NA,NA,NA,25.0,33.0,54.0,53.0,81.0,33.0,117.0,30.0,NA,NA,NA,NA,NA,NA,5.0,196.0,0.0,139.0,93.0,5.0,64.0,0.0,24.0,129.0,11.0
DDD,2013B,121000,F,Wales,Lower Than A Level,40-50%,0-35,0,270,Y,Fail,-51.0,NA,25.0,41.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0,30.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,76.0,0.0,100.0,34.0,1.0,21.0,1.0,13.0,64.0,30.0
DDD,2013B,121390,M,North Western Region,Lower Than A Level,10-20,35-55,0,60,N,Fail,-23.0,NA,25.0,67.0,60.0,61.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0,83.0,54.0,92.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.0,14.0,0.0,89.0,92.0,1.0,1.0,1.0,23.0,120.0,15.0
DDD,2013B,124728,F,North Western Region,A Level or Equivalent,10-20,35-55,0,150,Y,Withdrawn,-153.0,7.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,7.0,0.0,39.0,0.0,0.0,0.0,0.0,30.0,102.0,7.0
DDD,2013B,125677,M,East Anglian Region,A Level or Equivalent,80-90%,35-55,3,150,N,Withdrawn,-276.0,-12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DDD,2013B,126912,M,East Midlands Region,A Level or Equivalent,80-90%,35-55,1,60,N,Fail,-143.0,NA,-1.0,76.0,-1.0,72.0,-1.0,53.0,-1.0,19.0,NA,NA,NA,NA,NA,NA,-1.0,77.0,-1.0,83.0,-1.0,57.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DDD,2013B,128678,F,London Region,A Level or Equivalent,40-50%,35-55,1,90,N,Fail,-163.0,NA,32.0,29.0,NA,NA,86.0,35.0,117.0,41.0,160.0,23.0,NA,NA,NA,NA,25.0,67.0,54.0,47.0,81.0,42.0,117.0,63.0,152.0,20.0,173.0,64.0,209.0,36.0,27.0,199.0,1.0,233.0,55.0,3.0,58.0,1.0,42.0,157.0,6.0
DDD,2013B,128965,M,South West Region,A Level or Equivalent,60-70%,55<=,0,120,N,Withdrawn,NA,-24.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DDD,2013B,130003,F,East Anglian Region,Lower Than A Level,0-10%,0-35,2,60,N,Fail,-50.0,NA,25.0,76.0,53.0,77.0,81.0,80.0,NA,NA,NA,NA,NA,NA,NA,NA,25.0,83.0,54.0,78.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0,40.0,0.0,46.0,59.0,0.0,31.0,0.0,11.0,40.0,1.0
DDD,2013B,131145,M,South West Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,-103.0,NA,15.0,81.0,52.0,92.0,80.0,86.0,114.0,88.0,150.0,71.0,199.0,75.0,230.0,67.0,25.0,83.0,54.0,94.0,81.0,94.0,117.0,87.0,152.0,80.0,173.0,78.0,209.0,72.0,19.0,676.0,3.0,1200.0,509.0,7.0,190.0,4.0,149.0,489.0,89.0
DDD,2013B,131235,M,Yorkshire Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,-58.0,40.0,21.0,31.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0,43.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.0,89.0,0.0,183.0,48.0,5.0,76.0,3.0,46.0,200.0,82.0
DDD,2013B,131609,M,North Western Region,Lower Than A Level,40-50%,35-55,0,90,N,Withdrawn,-16.0,27.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0,30.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0,20.0,0.0,159.0,41.0,0.0,2.0,5.0,30.0,99.0,88.0
DDD,2013B,134025,M,London Region,A Level or Equivalent,60-70%,0-35,0,60,N,Distinction,-58.0,NA,15.0,83.0,52.0,79.0,70.0,93.0,114.0,85.0,146.0,90.0,198.0,74.0,229.0,69.0,25.0,77.0,54.0,97.0,81.0,97.0,117.0,85.0,152.0,93.0,173.0,78.0,209.0,97.0,13.0,294.0,8.0,692.0,306.0,3.0,183.0,2.0,117.0,255.0,187.0
DDD,2013B,134188,M,South West Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,-55.0,NA,22.0,83.0,51.0,73.0,78.0,84.0,115.0,72.0,149.0,82.0,199.0,64.0,230.0,60.0,25.0,63.0,54.0,94.0,81.0,78.0,117.0,80.0,152.0,80.0,173.0,97.0,209.0,60.0,22.0,270.0,0.0,368.0,252.0,37.0,50.0,0.0,47.0,79.0,25.0
DDD,2013B,134336,M,Scotland,A Level or Equivalent,80-90%,0-35,0,60,N,Fail,-58.0,NA,31.0,84.0,52.0,81.0,80.0,91.0,115.0,71.0,NA,NA,NA,NA,NA,NA,25.0,57.0,54.0,83.0,81.0,72.0,117.0,58.0,NA,NA,NA,NA,NA,NA,10.0,19.0,0.0,98.0,64.0,10.0,3.0,3.0,27.0,34.0,10.0
DDD,2013B,137603,M,Wales,Post Graduate Qualification,80-90%,35-55,0,60,N,Pass,-184.0,NA,23.0,77.0,52.0,87.0,81.0,50.0,112.0,76.0,151.0,71.0,199.0,59.0,229.0,78.0,25.0,53.0,54.0,97.0,81.0,94.0,117.0,98.0,152.0,96.0,173.0,97.0,209.0,87.0,16.0,60.0,32.0,390.0,353.0,79.0,177.0,0.0,102.0,319.0,100.0
DDD,2013B,138709,M,North Region,Lower Than A Level,10-20,0-35,0,60,Y,Withdrawn,-16.0,25.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0,33.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,206.0,0.0,116.0,21.0,9.0,19.0,1.0,24.0,82.0,35.0
DDD,2013B,141766,F,Yorkshire Region,A Level or Equivalent,70-80%,0-35,1,120,N,Withdrawn,-25.0,-5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DDD,2013B,142819,M,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,90,N,Pass,-24.0,NA,25.0,90.0,53.0,63.0,81.0,87.0,116.0,83.0,151.0,58.0,200.0,37.0,230.0,53.0,25.0,70.0,54.0,97.0,81.0,92.0,117.0,95.0,152.0,87.0,173.0,81.0,209.0,25.0,11.0,57.0,0.0,112.0,66.0,16.0,42.0,0.0,20.0,98.0,13.0
DDD,2013B,142998,F,North Western Region,HE Qualification,20-30%,35-55,0,120,Y,Withdrawn,-108.0,-47.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DDD,2013B,144923,M,Scotland,Lower Than A Level,70-80%,35-55,1,120,N,Fail,-29.0,NA,26.0,75.0,52.0,73.0,80.0,72.0,NA,NA,NA,NA,NA,NA,NA,NA,25.0,60.0,54.0,78.0,81.0,44.0,NA,NA,NA,NA,NA,NA,NA,NA,3.0,8.0,0.0,88.0,86.0,0.0,10.0,0.0,48.0,42.0,26.0
DDD,2013B,146089,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Fail,-53.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDD,2013B,146651,M,South Region,A Level or Equivalent,40-50%,0-35,2,60,N,Fail,-24.0,NA,24.0,74.0,53.0,84.0,81.0,81.0,120.0,90.0,NA,NA,NA,NA,229.0,49.0,25.0,77.0,54.0,83.0,81.0,67.0,117.0,52.0,152.0,93.0,173.0,44.0,NA,NA,14.0,206.0,0.0,208.0,57.0,0.0,92.0,0.0,7.0,56.0,10.0
DDD,2013B,147307,M,Yorkshire Region,Lower Than A Level,80-90%,35-55,1,60,N,Withdrawn,-79.0,30.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0,63.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,56.0,0.0,63.0,4.0,4.0,0.0,1.0,13.0,58.0,20.0
DDD,2013B,150578,F,North Region,Lower Than A Level,60-70%,35-55,0,60,N,Fail,-110.0,NA,25.0,69.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0,73.0,54.0,72.0,81.0,64.0,NA,NA,NA,NA,NA,NA,NA,NA,14.0,177.0,0.0,201.0,56.0,3.0,18.0,1.0,47.0,105.0,52.0
DDD,2013B,157298,M,South East Region,Lower Than A Level,20-30%,35-55,0,60,N,Pass,-78.0,NA,24.0,84.0,52.0,71.0,79.0,93.0,116.0,17.0,151.0,63.0,199.0,38.0,230.0,53.0,25.0,70.0,54.0,78.0,81.0,50.0,117.0,60.0,152.0,41.0,173.0,53.0,209.0,37.0,29.0,441.0,8.0,292.0,91.0,2.0,138.0,0.0,58.0,219.0,54.0
DDD,2013B,159596,M,South West Region,HE Qualification,80-90%,0-35,0,60,N,Withdrawn,-96.0,160.0,20.0,79.0,53.0,55.0,80.0,70.0,124.0,36.0,NA,NA,NA,NA,NA,NA,25.0,77.0,54.0,81.0,81.0,89.0,NA,NA,NA,NA,NA,NA,NA,NA,6.0,151.0,0.0,144.0,60.0,5.0,33.0,0.0,40.0,103.0,29.0
DDD,2013B,159925,F,London Region,A Level or Equivalent,80-90%,0-35,2,70,N,Pass,-128.0,NA,25.0,64.0,65.0,70.0,81.0,56.0,116.0,61.0,159.0,31.0,203.0,29.0,229.0,49.0,25.0,83.0,54.0,78.0,81.0,81.0,117.0,78.0,NA,NA,173.0,64.0,NA,NA,22.0,383.0,122.0,822.0,95.0,1.0,203.0,2.0,192.0,526.0,98.0
DDD,2013B,160005,F,Scotland,HE Qualification,10-20,35-55,0,60,N,Pass,-89.0,NA,16.0,91.0,48.0,90.0,51.0,96.0,102.0,92.0,149.0,84.0,199.0,81.0,231.0,69.0,25.0,90.0,54.0,100.0,81.0,94.0,117.0,100.0,152.0,98.0,173.0,100.0,209.0,91.0,52.0,1796.0,0.0,668.0,262.0,39.0,132.0,1.0,120.0,501.0,351.0
DDD,2013B,160401,M,Yorkshire Region,A Level or Equivalent,80-90%,0-35,1,60,N,Withdrawn,-116.0,96.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0,47.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,18.0,0.0,20.0,6.0,0.0,0.0,1.0,7.0,18.0,14.0
