code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,34886_date,34886_score,34887_date,34887_score,34888_date,34888_score,34889_date,34889_score,34890_date,34890_score,34891_date,34891_score,34892_date,34892_score,34893_date,34893_score,34894_date,34894_score,34895_date,34895_score,34896_date,34896_score,34897_date,34897_score,clicks_dataplus,clicks_dualpane,clicks_folder,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_ouwiki,clicks_page,clicks_questionnaire,clicks_quiz,clicks_resource,clicks_subpage,clicks_url
FFF,2014B,39882,F,Scotland,A Level or Equivalent,80-90%,0-35,1,120,N,Pass,-26.0,NA,23.0,90.0,51.0,82.0,93.0,68.0,129.0,65.0,NA,NA,52.0,80.0,80.0,89.0,73.0,88.0,122.0,82.0,123.0,86.0,201.0,65.0,200.0,68.0,0.0,0.0,3.0,57.0,10.0,213.0,0.0,679.0,6.0,3.0,0.0,600.0,14.0,174.0,2.0
FFF,2014B,41489,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail,-75.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,8.0,0.0,16.0,0.0,15.0,0.0,4.0,0.0,0.0,0.0,9.0,1.0
FFF,2014B,42746,F,South Region,HE Qualification,50-60%,35-55,0,60,N,Distinction,-135.0,NA,22.0,96.0,50.0,94.0,81.0,94.0,128.0,89.0,166.0,92.0,19.0,95.0,41.0,97.0,95.0,94.0,131.0,98.0,161.0,90.0,207.0,95.0,215.0,89.0,77.0,1.0,5.0,1630.0,101.0,1156.0,15.0,3275.0,202.0,52.0,43.0,559.0,98.0,922.0,134.0
FFF,2014B,46148,M,North Western Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,-23.0,NA,23.0,84.0,52.0,76.0,87.0,90.0,129.0,87.0,170.0,84.0,160.0,87.0,160.0,94.0,193.0,86.0,192.0,81.0,194.0,85.0,192.0,87.0,214.0,76.0,4.0,2.0,0.0,93.0,0.0,422.0,1.0,2043.0,64.0,11.0,19.0,758.0,35.0,241.0,31.0
FFF,2014B,48635,M,South Region,HE Qualification,90-100%,0-35,0,60,N,Pass,-19.0,NA,23.0,76.0,52.0,86.0,85.0,80.0,128.0,79.0,170.0,93.0,10.0,96.0,33.0,95.0,80.0,87.0,115.0,95.0,164.0,98.0,189.0,92.0,226.0,69.0,12.0,2.0,2.0,204.0,0.0,755.0,6.0,1798.0,27.0,17.0,34.0,1062.0,58.0,384.0,45.0
FFF,2014B,53136,F,London Region,A Level or Equivalent,30-40%,0-35,1,120,N,Pass,-1.0,NA,23.0,70.0,48.0,84.0,85.0,77.0,128.0,59.0,170.0,71.0,26.0,79.0,69.0,89.0,87.0,83.0,146.0,73.0,161.0,74.0,209.0,61.0,178.0,75.0,0.0,0.0,2.0,504.0,0.0,523.0,0.0,925.0,12.0,4.0,0.0,1168.0,19.0,323.0,13.0
FFF,2014B,53709,M,Wales,A Level or Equivalent,30-40%,0-35,1,60,N,Pass,-22.0,NA,-1.0,86.0,-1.0,82.0,-1.0,70.0,-1.0,75.0,184.0,76.0,-1.0,83.0,-1.0,90.0,-1.0,76.0,118.0,78.0,117.0,83.0,189.0,65.0,188.0,75.0,0.0,0.0,2.0,40.0,0.0,129.0,0.0,346.0,0.0,1.0,0.0,537.0,10.0,98.0,12.0
FFF,2014B,54867,F,South West Region,Lower Than A Level,20-30%,0-35,0,120,N,Fail,-82.0,NA,23.0,74.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,230.0,0.0,129.0,0.0,86.0,26.0,7.0,0.0,15.0,8.0,78.0,25.0
FFF,2014B,58221,M,East Midlands Region,Lower Than A Level,40-50%,0-35,0,120,N,Withdrawn,-57.0,-19.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFF,2014B,63958,M,South Region,Lower Than A Level,10-20,0-35,0,60,N,Fail,-81.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,6.0,0.0,28.0,0.0,31.0,0.0,3.0,0.0,0.0,8.0,32.0,2.0
FFF,2014B,67986,F,Scotland,Lower Than A Level,80-90%,0-35,0,60,N,Withdrawn,-75.0,51.0,23.0,72.0,NA,NA,NA,NA,NA,NA,NA,NA,11.0,85.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,239.0,0.0,138.0,0.0,96.0,2.0,6.0,0.0,83.0,9.0,74.0,13.0
FFF,2014B,72114,M,North Region,A Level or Equivalent,40-50%,0-35,1,120,Y,Pass,-122.0,NA,24.0,76.0,52.0,68.0,87.0,86.0,133.0,97.0,171.0,85.0,54.0,100.0,56.0,88.0,102.0,56.0,128.0,68.0,195.0,73.0,202.0,87.0,207.0,83.0,24.0,1.0,3.0,534.0,0.0,293.0,36.0,1570.0,21.0,15.0,37.0,1391.0,38.0,296.0,41.0
FFF,2014B,74521,M,North Region,HE Qualification,0-10%,35-55,0,120,N,Pass,-29.0,NA,23.0,56.0,NA,NA,86.0,52.0,128.0,64.0,173.0,68.0,180.0,84.0,181.0,95.0,182.0,87.0,188.0,86.0,188.0,76.0,199.0,90.0,196.0,93.0,0.0,0.0,2.0,70.0,0.0,176.0,0.0,390.0,0.0,3.0,0.0,478.0,10.0,160.0,8.0
FFF,2014B,74524,F,East Midlands Region,Lower Than A Level,70-80%,35-55,0,120,Y,Fail,-57.0,NA,39.0,86.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,6.0,0.0,16.0,0.0,37.0,0.0,1.0,0.0,3.0,7.0,26.0,0.0
FFF,2014B,77845,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,120,N,Fail,-54.0,NA,24.0,66.0,52.0,68.0,87.0,73.0,129.0,50.0,NA,NA,68.0,75.0,73.0,78.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,43.0,0.0,72.0,1.0,76.0,0.0,6.0,0.0,182.0,10.0,80.0,2.0
FFF,2014B,77998,M,Ireland,Lower Than A Level,NA,35-55,2,90,N,Pass,-23.0,NA,-1.0,76.0,-1.0,90.0,-1.0,50.0,-1.0,51.0,NA,NA,-1.0,86.0,-1.0,93.0,-1.0,80.0,213.0,77.0,214.0,82.0,219.0,88.0,215.0,63.0,0.0,0.0,1.0,7.0,0.0,90.0,0.0,95.0,0.0,1.0,0.0,534.0,0.0,66.0,0.0
FFF,2014B,79683,M,Wales,A Level or Equivalent,30-40%,0-35,0,60,Y,Withdrawn,-40.0,137.0,24.0,66.0,52.0,48.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,9.0,0.0,63.0,0.0,248.0,12.0,2.0,0.0,45.0,8.0,42.0,2.0
FFF,2014B,81216,M,South Region,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn,-27.0,-1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
FFF,2014B,82201,F,London Region,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn,10.0,130.0,31.0,68.0,61.0,62.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,136.0,0.0,98.0,1.0,218.0,1.0,8.0,0.0,17.0,9.0,99.0,2.0
FFF,2014B,83603,M,London Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-17.0,NA,24.0,84.0,52.0,68.0,89.0,64.0,129.0,72.0,172.0,50.0,199.0,88.0,199.0,91.0,224.0,85.0,227.0,86.0,227.0,78.0,228.0,84.0,228.0,87.0,0.0,0.0,1.0,154.0,0.0,371.0,9.0,1167.0,20.0,19.0,10.0,643.0,123.0,370.0,48.0
FFF,2014B,84299,M,London Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,-57.0,NA,23.0,98.0,53.0,80.0,87.0,84.0,128.0,76.0,170.0,90.0,209.0,80.0,209.0,94.0,213.0,80.0,213.0,88.0,213.0,85.0,214.0,83.0,214.0,90.0,0.0,0.0,4.0,81.0,0.0,178.0,0.0,230.0,5.0,6.0,0.0,556.0,12.0,149.0,6.0
FFF,2014B,85874,F,Scotland,HE Qualification,40-50%,35-55,0,60,N,Withdrawn,-44.0,123.0,23.0,78.0,52.0,80.0,NA,NA,NA,NA,NA,NA,47.0,70.0,82.0,68.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,0.0,477.0,1.0,274.0,0.0,455.0,11.0,14.0,9.0,298.0,27.0,263.0,22.0
FFF,2014B,99670,F,North Western Region,Lower Than A Level,0-10%,0-35,0,90,N,Fail,-27.0,NA,5.0,94.0,47.0,92.0,92.0,88.0,122.0,92.0,167.0,85.0,12.0,100.0,20.0,100.0,95.0,83.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,1.0,411.0,0.0,276.0,9.0,374.0,22.0,11.0,9.0,753.0,36.0,193.0,14.0
FFF,2014B,101634,M,Yorkshire Region,No Formal quals,0-10%,0-35,0,90,N,Fail,-50.0,NA,23.0,92.0,52.0,76.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,29.0,0.0,95.0,0.0,181.0,2.0,8.0,0.0,0.0,7.0,56.0,2.0
FFF,2014B,104316,M,London Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,-37.0,NA,24.0,98.0,52.0,82.0,93.0,47.0,NA,NA,NA,NA,67.0,74.0,87.0,98.0,101.0,84.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,31.0,0.0,109.0,2.0,186.0,8.0,2.0,0.0,324.0,81.0,171.0,14.0
FFF,2014B,106747,M,North Western Region,Lower Than A Level,10-20,0-35,1,180,Y,Withdrawn,-124.0,-51.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFF,2014B,108207,M,South Region,No Formal quals,50-60%,0-35,0,120,N,Pass,-268.0,NA,23.0,96.0,52.0,48.0,88.0,84.0,129.0,60.0,171.0,44.0,144.0,81.0,144.0,83.0,221.0,67.0,228.0,73.0,229.0,75.0,229.0,56.0,229.0,57.0,15.0,0.0,3.0,205.0,0.0,481.0,0.0,1646.0,20.0,4.0,21.0,566.0,27.0,249.0,23.0
FFF,2014B,108822,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Distinction,-44.0,NA,21.0,100.0,50.0,94.0,85.0,83.0,129.0,87.0,165.0,90.0,25.0,86.0,34.0,100.0,75.0,96.0,123.0,90.0,165.0,85.0,199.0,91.0,185.0,96.0,10.0,1.0,4.0,1521.0,0.0,903.0,15.0,2894.0,127.0,17.0,27.0,947.0,50.0,856.0,55.0
FFF,2014B,108949,M,North Western Region,Lower Than A Level,10-20,0-35,1,120,N,Withdrawn,-57.0,101.0,24.0,80.0,52.0,84.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,59.0,0.0,88.0,0.0,173.0,24.0,5.0,3.0,44.0,9.0,43.0,4.0
FFF,2014B,110529,M,Scotland,Lower Than A Level,50-60%,35-55,0,60,N,Withdrawn,-44.0,129.0,23.0,72.0,52.0,42.0,NA,NA,NA,NA,NA,NA,60.0,80.0,62.0,75.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,466.0,8.0,448.0,5.0,1326.0,67.0,11.0,11.0,199.0,85.0,389.0,24.0
FFF,2014B,115875,F,London Region,A Level or Equivalent,20-30%,0-35,1,90,N,Withdrawn,-138.0,-57.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFF,2014B,116174,M,London Region,A Level or Equivalent,40-50%,35-55,0,90,N,Withdrawn,-24.0,10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,17.0,0.0,18.0,0.0,30.0,0.0,6.0,0.0,1.0,97.0,11.0,1.0
FFF,2014B,116621,M,North Region,A Level or Equivalent,40-50%,0-35,0,60,N,Distinction,-78.0,NA,23.0,84.0,51.0,82.0,86.0,86.0,128.0,90.0,169.0,98.0,17.0,100.0,24.0,100.0,83.0,91.0,131.0,93.0,145.0,87.0,207.0,89.0,207.0,82.0,0.0,0.0,1.0,1050.0,0.0,960.0,3.0,1896.0,19.0,14.0,9.0,1188.0,60.0,286.0,68.0
FFF,2014B,117510,M,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,90,N,Pass,-26.0,NA,17.0,92.0,50.0,94.0,85.0,97.0,127.0,91.0,170.0,99.0,11.0,90.0,53.0,95.0,88.0,91.0,129.0,89.0,175.0,88.0,212.0,89.0,213.0,90.0,36.0,2.0,1.0,395.0,1.0,545.0,7.0,1644.0,51.0,23.0,41.0,907.0,34.0,325.0,58.0
FFF,2014B,117550,M,South East Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail,-17.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,102.0,0.0,59.0,0.0,23.0,0.0,0.0,0.0,23.0,24.0,20.0,1.0
FFF,2014B,124018,M,South East Region,A Level or Equivalent,90-100%,35-55,0,120,N,Withdrawn,-134.0,33.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,6.0,0.0,23.0,0.0,35.0,0.0,4.0,0.0,0.0,1.0,11.0,2.0
FFF,2014B,128132,M,London Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,-47.0,NA,23.0,86.0,51.0,80.0,83.0,77.0,128.0,82.0,170.0,74.0,214.0,85.0,215.0,86.0,220.0,82.0,220.0,77.0,221.0,84.0,221.0,70.0,221.0,86.0,1.0,0.0,3.0,126.0,0.0,201.0,0.0,514.0,32.0,7.0,11.0,195.0,27.0,228.0,12.0
FFF,2014B,128968,M,Yorkshire Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-46.0,NA,24.0,78.0,52.0,90.0,86.0,77.0,135.0,83.0,171.0,84.0,52.0,89.0,52.0,96.0,215.0,84.0,175.0,78.0,177.0,92.0,215.0,90.0,199.0,86.0,8.0,1.0,1.0,114.0,0.0,370.0,4.0,1468.0,20.0,18.0,29.0,895.0,33.0,214.0,17.0
FFF,2014B,130992,M,South Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,-121.0,NA,21.0,82.0,51.0,72.0,85.0,70.0,128.0,70.0,164.0,89.0,10.0,85.0,66.0,75.0,80.0,70.0,95.0,74.0,150.0,79.0,158.0,88.0,153.0,74.0,0.0,0.0,6.0,554.0,0.0,418.0,3.0,101.0,7.0,6.0,0.0,1296.0,55.0,254.0,2.0
FFF,2014B,131538,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-72.0,NA,23.0,90.0,51.0,94.0,86.0,81.0,129.0,83.0,171.0,88.0,221.0,80.0,221.0,89.0,221.0,83.0,221.0,78.0,221.0,76.0,221.0,73.0,221.0,77.0,4.0,0.0,1.0,250.0,0.0,343.0,0.0,1262.0,39.0,5.0,4.0,187.0,24.0,160.0,28.0
FFF,2014B,132157,M,London Region,A Level or Equivalent,80-90%,35-55,0,60,Y,Pass,-27.0,NA,22.0,82.0,50.0,58.0,86.0,58.0,128.0,66.0,170.0,66.0,70.0,75.0,171.0,91.0,215.0,79.0,219.0,76.0,219.0,85.0,224.0,75.0,221.0,80.0,5.0,0.0,2.0,181.0,0.0,234.0,0.0,944.0,22.0,7.0,15.0,473.0,20.0,153.0,16.0
FFF,2014B,132477,M,London Region,Lower Than A Level,20-30%,0-35,0,60,Y,Pass,-25.0,NA,23.0,74.0,50.0,70.0,85.0,81.0,127.0,76.0,170.0,85.0,17.0,88.0,119.0,69.0,212.0,55.0,212.0,60.0,212.0,69.0,214.0,55.0,212.0,58.0,0.0,0.0,1.0,70.0,0.0,66.0,0.0,97.0,1.0,4.0,0.0,666.0,13.0,74.0,4.0
FFF,2014B,133104,M,London Region,Lower Than A Level,10-20,0-35,0,120,Y,Pass,-26.0,NA,24.0,84.0,52.0,74.0,87.0,86.0,123.0,79.0,171.0,87.0,108.0,98.0,108.0,99.0,108.0,92.0,108.0,90.0,185.0,92.0,222.0,94.0,185.0,86.0,0.0,0.0,4.0,485.0,0.0,386.0,2.0,924.0,7.0,7.0,0.0,697.0,20.0,166.0,1.0
FFF,2014B,133322,M,North Western Region,HE Qualification,30-40%,0-35,0,60,N,Fail,-24.0,NA,22.0,84.0,51.0,74.0,87.0,52.0,144.0,51.0,171.0,62.0,17.0,63.0,213.0,73.0,228.0,49.0,227.0,60.0,227.0,66.0,228.0,51.0,228.0,59.0,0.0,0.0,3.0,187.0,0.0,245.0,8.0,1082.0,4.0,3.0,4.0,754.0,85.0,308.0,15.0
FFF,2014B,134847,M,Scotland,HE Qualification,30-40%,0-35,1,120,N,Pass,-24.0,NA,-1.0,62.0,52.0,88.0,87.0,72.0,129.0,91.0,171.0,90.0,-1.0,97.0,217.0,100.0,220.0,98.0,220.0,99.0,223.0,100.0,223.0,97.0,223.0,100.0,0.0,2.0,4.0,39.0,0.0,62.0,0.0,926.0,10.0,1.0,0.0,537.0,18.0,99.0,10.0
FFF,2014B,134851,M,South Region,Lower Than A Level,50-60%,0-35,1,120,N,Pass,-109.0,NA,27.0,88.0,51.0,50.0,100.0,58.0,129.0,52.0,170.0,66.0,23.0,80.0,41.0,90.0,102.0,77.0,208.0,83.0,209.0,82.0,215.0,80.0,210.0,86.0,51.0,5.0,5.0,492.0,0.0,725.0,6.0,3472.0,48.0,29.0,39.0,687.0,30.0,464.0,72.0
FFF,2014B,136054,F,North Region,HE Qualification,NA,0-35,0,90,N,Pass,-46.0,NA,21.0,82.0,51.0,68.0,86.0,76.0,128.0,84.0,170.0,80.0,222.0,73.0,158.0,85.0,158.0,0.0,NA,NA,222.0,79.0,222.0,74.0,222.0,74.0,0.0,0.0,1.0,193.0,0.0,392.0,9.0,832.0,8.0,6.0,0.0,632.0,32.0,242.0,15.0
FFF,2014B,136944,M,Scotland,A Level or Equivalent,40-50%,0-35,0,90,N,Withdrawn,-26.0,226.0,24.0,82.0,NA,NA,NA,NA,NA,NA,NA,NA,486.0,93.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,9.0,0.0,49.0,0.0,119.0,9.0,9.0,1.0,69.0,12.0,42.0,2.0
FFF,2014B,140108,M,London Region,No Formal quals,10-20,0-35,0,120,N,Fail,-137.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,11.0,0.0,17.0,0.0,15.0,0.0,6.0,0.0,0.0,1.0,10.0,1.0
FFF,2014B,141430,M,Yorkshire Region,A Level or Equivalent,40-50%,0-35,1,60,N,Pass,-59.0,NA,21.0,78.0,50.0,76.0,91.0,85.0,127.0,86.0,168.0,81.0,17.0,95.0,97.0,92.0,130.0,84.0,167.0,82.0,167.0,90.0,220.0,80.0,220.0,83.0,24.0,2.0,1.0,266.0,0.0,459.0,0.0,1331.0,37.0,12.0,16.0,818.0,30.0,204.0,28.0
FFF,2014B,150121,M,East Midlands Region,Lower Than A Level,20-30%,35-55,4,210,Y,Fail,-191.0,NA,23.0,50.0,68.0,50.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,93.0,0.0,197.0,2.0,515.0,39.0,16.0,3.0,76.0,19.0,115.0,38.0
FFF,2014B,152626,M,North Western Region,Lower Than A Level,0-10%,35-55,0,60,N,Pass,-34.0,NA,23.0,78.0,51.0,46.0,87.0,35.0,143.0,39.0,170.0,68.0,189.0,78.0,189.0,73.0,189.0,64.0,189.0,74.0,189.0,55.0,215.0,64.0,196.0,62.0,4.0,1.0,2.0,1699.0,0.0,1275.0,7.0,1941.0,80.0,27.0,8.0,1128.0,61.0,984.0,126.0
FFF,2014B,153611,F,East Anglian Region,Lower Than A Level,20-30%,35-55,0,60,Y,Fail,-29.0,NA,23.0,82.0,51.0,82.0,94.0,73.0,129.0,70.0,NA,NA,39.0,69.0,37.0,88.0,73.0,80.0,116.0,72.0,126.0,72.0,NA,NA,NA,NA,0.0,0.0,0.0,168.0,0.0,246.0,8.0,683.0,29.0,5.0,11.0,536.0,41.0,246.0,27.0
FFF,2014B,155158,M,London Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,-27.0,NA,22.0,78.0,49.0,60.0,84.0,74.0,101.0,67.0,160.0,83.0,45.0,72.0,45.0,70.0,91.0,67.0,95.0,71.0,95.0,72.0,167.0,67.0,167.0,62.0,0.0,0.0,3.0,131.0,0.0,316.0,10.0,361.0,3.0,9.0,0.0,1225.0,40.0,272.0,16.0
FFF,2014B,156788,M,East Midlands Region,Lower Than A Level,30-40%,35-55,0,180,N,Withdrawn,-57.0,31.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0
FFF,2014B,160262,M,East Anglian Region,Lower Than A Level,90-100%,0-35,0,150,N,Fail,-8.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,77.0,0.0,63.0,0.0,65.0,0.0,9.0,0.0,34.0,17.0,40.0,3.0
