code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,34899_date,34899_score,34900_date,34900_score,34901_date,34901_score,34902_date,34902_score,34903_date,34903_score,34904_date,34904_score,34905_date,34905_score,34906_date,34906_score,34907_date,34907_score,34908_date,34908_score,34909_date,34909_score,34910_date,34910_score,clicks_dataplus,clicks_dualpane,clicks_forumng,clicks_glossary,clicks_homepage,clicks_htmlactivity,clicks_oucollaborate,clicks_oucontent,clicks_ouwiki,clicks_page,clicks_questionnaire,clicks_quiz,clicks_repeatactivity,clicks_resource,clicks_subpage,clicks_url
FFF,2014J,63112,M,South East Region,Lower Than A Level,80-90%,35-55,0,60,N,Withdrawn,-150.0,130.0,23.0,64.0,52.0,42.0,92.0,42.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,121.0,0.0,83.0,4.0,3.0,145.0,2.0,1.0,0.0,0.0,0.0,44.0,90.0,8.0
FFF,2014J,64427,M,London Region,A Level or Equivalent,0-10%,0-35,0,60,N,Distinction,-78.0,NA,21.0,74.0,50.0,88.0,93.0,80.0,135.0,86.0,197.0,91.0,159.0,87.0,163.0,94.0,170.0,89.0,177.0,93.0,178.0,89.0,233.0,91.0,219.0,97.0,27.0,1.0,117.0,0.0,641.0,10.0,2.0,3651.0,26.0,15.0,36.0,531.0,0.0,73.0,477.0,33.0
FFF,2014J,64777,M,North Western Region,Lower Than A Level,30-40%,0-35,1,90,Y,Withdrawn,-123.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFF,2014J,66892,M,London Region,A Level or Equivalent,20-30%,0-35,1,60,N,Withdrawn,-17.0,72.0,32.0,66.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,39.0,0.0,50.0,0.0,1.0,147.0,0.0,1.0,0.0,0.0,0.0,20.0,70.0,1.0
FFF,2014J,69439,M,East Midlands Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,-24.0,12.0,23.0,56.0,52.0,72.0,NA,NA,NA,NA,NA,NA,11.0,75.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,62.0,0.0,54.0,3.0,2.0,46.0,0.0,0.0,3.0,84.0,0.0,8.0,28.0,3.0
FFF,2014J,71159,M,North Region,Lower Than A Level,NA,35-55,0,60,N,Pass,-44.0,NA,24.0,76.0,52.0,44.0,102.0,58.0,136.0,48.0,219.0,62.0,242.0,79.0,242.0,73.0,242.0,61.0,242.0,78.0,242.0,67.0,242.0,67.0,242.0,66.0,1.0,2.0,725.0,0.0,492.0,5.0,20.0,2543.0,31.0,7.0,13.0,770.0,0.0,101.0,483.0,43.0
FFF,2014J,74165,M,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-72.0,NA,23.0,90.0,49.0,76.0,94.0,75.0,141.0,84.0,198.0,84.0,35.0,98.0,62.0,93.0,70.0,93.0,143.0,97.0,184.0,88.0,224.0,87.0,184.0,86.0,0.0,0.0,117.0,0.0,225.0,3.0,11.0,750.0,2.0,1.0,0.0,607.0,0.0,23.0,141.0,17.0
FFF,2014J,75107,M,North Region,Lower Than A Level,NA,35-55,0,60,N,Distinction,-92.0,NA,20.0,84.0,49.0,96.0,93.0,92.0,133.0,96.0,187.0,96.0,121.0,98.0,121.0,99.0,137.0,95.0,154.0,88.0,191.0,81.0,219.0,96.0,234.0,84.0,62.0,2.0,855.0,0.0,1003.0,12.0,18.0,2430.0,171.0,19.0,42.0,548.0,0.0,43.0,597.0,112.0
FFF,2014J,77692,M,Wales,HE Qualification,50-60%,35-55,0,60,N,Pass,-46.0,NA,24.0,96.0,51.0,86.0,93.0,73.0,136.0,71.0,193.0,86.0,194.0,87.0,194.0,98.0,233.0,89.0,233.0,91.0,233.0,88.0,233.0,93.0,233.0,96.0,0.0,0.0,69.0,0.0,188.0,5.0,0.0,1412.0,29.0,4.0,3.0,545.0,0.0,26.0,264.0,23.0
FFF,2014J,77995,M,East Midlands Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,-15.0,NA,23.0,68.0,51.0,80.0,100.0,73.0,144.0,64.0,NA,NA,143.0,82.0,143.0,81.0,228.0,70.0,229.0,73.0,233.0,74.0,233.0,71.0,233.0,71.0,0.0,0.0,20.0,0.0,58.0,0.0,19.0,143.0,11.0,0.0,0.0,565.0,0.0,16.0,63.0,2.0
FFF,2014J,79610,M,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-61.0,NA,22.0,96.0,50.0,88.0,92.0,85.0,130.0,79.0,197.0,85.0,196.0,73.0,196.0,76.0,196.0,77.0,196.0,59.0,196.0,78.0,201.0,55.0,200.0,61.0,0.0,0.0,143.0,0.0,293.0,2.0,0.0,892.0,24.0,0.0,10.0,839.0,0.0,24.0,227.0,28.0
FFF,2014J,80438,M,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-86.0,NA,20.0,96.0,49.0,88.0,101.0,73.0,136.0,22.0,NA,NA,17.0,100.0,20.0,100.0,107.0,100.0,110.0,100.0,209.0,100.0,214.0,80.0,210.0,97.0,0.0,0.0,327.0,0.0,547.0,3.0,58.0,455.0,1.0,1.0,0.0,3364.0,0.0,40.0,272.0,15.0
FFF,2014J,82201,F,London Region,Lower Than A Level,50-60%,0-35,1,60,N,Fail,-16.0,NA,-1.0,68.0,-1.0,62.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FFF,2014J,84604,F,North Region,A Level or Equivalent,60-70%,35-55,0,90,N,Distinction,-79.0,NA,20.0,86.0,48.0,88.0,92.0,84.0,132.0,87.0,193.0,96.0,37.0,94.0,41.0,93.0,62.0,97.0,114.0,92.0,150.0,87.0,189.0,91.0,188.0,93.0,39.0,1.0,1043.0,0.0,1036.0,7.0,19.0,3854.0,42.0,22.0,38.0,693.0,0.0,73.0,715.0,116.0
FFF,2014J,85241,M,South West Region,Lower Than A Level,50-60%,0-35,0,120,Y,Withdrawn,-10.0,125.0,22.0,48.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,45.0,0.0,49.0,0.0,0.0,70.0,0.0,1.0,0.0,0.0,0.0,7.0,32.0,0.0
FFF,2014J,87264,M,South East Region,Lower Than A Level,30-40%,0-35,0,60,N,Distinction,-36.0,NA,22.0,92.0,51.0,96.0,95.0,89.0,136.0,87.0,199.0,94.0,49.0,100.0,111.0,100.0,143.0,96.0,153.0,96.0,202.0,98.0,223.0,86.0,220.0,91.0,73.0,13.0,936.0,0.0,1319.0,5.0,1.0,3633.0,41.0,21.0,53.0,1561.0,0.0,48.0,694.0,82.0
FFF,2014J,87322,M,Wales,Lower Than A Level,50-60%,0-35,0,120,Y,Pass,-28.0,NA,21.0,74.0,55.0,96.0,94.0,66.0,136.0,77.0,NA,NA,240.0,84.0,240.0,93.0,240.0,74.0,240.0,68.0,240.0,65.0,240.0,68.0,240.0,79.0,0.0,0.0,210.0,0.0,270.0,6.0,21.0,460.0,10.0,1.0,0.0,582.0,0.0,23.0,200.0,8.0
FFF,2014J,90651,M,South Region,A Level or Equivalent,90-100%,35-55,0,120,N,Withdrawn,-148.0,12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,26.0,0.0,40.0,6.0,0.0,68.0,1.0,5.0,0.0,0.0,0.0,3.0,32.0,14.0
FFF,2014J,91801,M,Yorkshire Region,Lower Than A Level,50-60%,35-55,1,60,N,Withdrawn,-146.0,79.0,22.0,76.0,NA,NA,NA,NA,NA,NA,NA,NA,11.0,62.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,288.0,0.0,231.0,6.0,0.0,421.0,66.0,1.0,3.0,100.0,0.0,30.0,195.0,13.0
FFF,2014J,94749,M,Wales,Lower Than A Level,90-100%,0-35,0,60,N,Fail,-22.0,NA,24.0,60.0,52.0,50.0,98.0,45.0,NA,NA,NA,NA,40.0,84.0,40.0,81.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,223.0,0.0,243.0,5.0,0.0,866.0,8.0,1.0,3.0,361.0,0.0,15.0,117.0,3.0
FFF,2014J,98256,M,West Midlands Region,Lower Than A Level,40-50%,0-35,0,120,N,Withdrawn,-101.0,12.0,25.0,94.0,52.0,42.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,164.0,0.0,72.0,5.0,0.0,58.0,0.0,0.0,0.0,9.0,0.0,7.0,37.0,3.0
FFF,2014J,101217,M,London Region,A Level or Equivalent,40-50%,35-55,2,60,Y,Fail,-44.0,NA,33.0,68.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,51.0,0.0,70.0,5.0,10.0,73.0,1.0,5.0,0.0,3.0,0.0,63.0,99.0,5.0
FFF,2014J,102854,M,South East Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,-116.0,NA,23.0,100.0,50.0,94.0,93.0,83.0,134.0,93.0,197.0,87.0,13.0,85.0,69.0,94.0,118.0,84.0,184.0,90.0,186.0,81.0,226.0,88.0,221.0,94.0,17.0,2.0,606.0,0.0,491.0,5.0,5.0,2234.0,21.0,13.0,21.0,501.0,0.0,44.0,398.0,42.0
FFF,2014J,103594,M,Wales,Lower Than A Level,50-60%,0-35,0,180,N,Withdrawn,-85.0,-60.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFF,2014J,105125,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn,-61.0,47.0,25.0,62.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,78.0,1.0,120.0,3.0,3.0,190.0,45.0,0.0,3.0,53.0,0.0,15.0,46.0,1.0
FFF,2014J,105939,M,North Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-50.0,NA,24.0,90.0,52.0,84.0,91.0,72.0,136.0,87.0,199.0,62.0,157.0,86.0,158.0,82.0,181.0,70.0,181.0,73.0,221.0,78.0,230.0,82.0,242.0,78.0,12.0,1.0,111.0,0.0,437.0,4.0,0.0,1366.0,27.0,9.0,9.0,651.0,0.0,23.0,235.0,15.0
FFF,2014J,107455,M,Ireland,HE Qualification,50-60%,0-35,0,120,N,Fail,-22.0,NA,24.0,72.0,51.0,60.0,94.0,74.0,149.0,77.0,199.0,76.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,109.0,0.0,168.0,9.0,0.0,320.0,0.0,2.0,0.0,141.0,0.0,21.0,251.0,19.0
FFF,2014J,108949,M,North Western Region,Lower Than A Level,10-20,0-35,2,60,N,Fail,-60.0,NA,-1.0,80.0,-1.0,84.0,99.0,80.0,141.0,75.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,32.0,0.0,0.0,28.0,3.0,0.0,0.0,0.0,0.0,9.0,31.0,2.0
FFF,2014J,109577,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,-50.0,NA,31.0,94.0,52.0,70.0,101.0,67.0,NA,NA,212.0,54.0,221.0,85.0,221.0,90.0,241.0,68.0,242.0,64.0,242.0,76.0,242.0,72.0,242.0,62.0,0.0,0.0,104.0,0.0,211.0,2.0,0.0,654.0,1.0,2.0,0.0,608.0,0.0,19.0,167.0,8.0
FFF,2014J,109907,F,London Region,Lower Than A Level,50-60%,35-55,0,120,N,Withdrawn,-41.0,-31.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFF,2014J,110820,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,Y,Withdrawn,-108.0,90.0,18.0,80.0,51.0,72.0,NA,NA,NA,NA,NA,NA,40.0,86.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,303.0,0.0,231.0,2.0,3.0,305.0,15.0,0.0,3.0,142.0,0.0,8.0,95.0,7.0
FFF,2014J,113702,M,Ireland,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,-10.0,115.0,22.0,94.0,50.0,90.0,NA,NA,NA,NA,NA,NA,NA,NA,63.0,70.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,312.0,1.0,344.0,7.0,5.0,712.0,131.0,3.0,3.0,169.0,0.0,14.0,214.0,21.0
FFF,2014J,116529,M,West Midlands Region,Lower Than A Level,30-40%,0-35,1,120,N,Fail,-46.0,NA,-1.0,82.0,-1.0,86.0,-1.0,86.0,NA,NA,NA,NA,-1.0,95.0,-1.0,91.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,26.0,0.0,0.0,42.0,0.0,1.0,0.0,7.0,0.0,0.0,12.0,1.0
FFF,2014J,119310,M,North Western Region,Lower Than A Level,20-30%,0-35,0,150,N,Pass,-57.0,NA,23.0,80.0,51.0,94.0,93.0,84.0,149.0,81.0,205.0,58.0,96.0,74.0,96.0,88.0,219.0,74.0,219.0,70.0,219.0,84.0,219.0,69.0,219.0,80.0,4.0,0.0,354.0,7.0,250.0,6.0,2.0,902.0,5.0,3.0,3.0,627.0,0.0,77.0,237.0,13.0
FFF,2014J,119865,M,South West Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction,-37.0,NA,20.0,86.0,51.0,84.0,93.0,85.0,134.0,88.0,197.0,92.0,33.0,96.0,53.0,99.0,166.0,90.0,166.0,88.0,166.0,96.0,216.0,87.0,215.0,86.0,0.0,0.0,426.0,0.0,406.0,2.0,4.0,698.0,1.0,6.0,10.0,725.0,0.0,27.0,194.0,28.0
FFF,2014J,125063,M,London Region,Lower Than A Level,60-70%,35-55,0,60,N,Fail,-136.0,NA,24.0,86.0,56.0,64.0,94.0,80.0,136.0,74.0,199.0,83.0,235.0,98.0,30.0,95.0,241.0,80.0,241.0,72.0,241.0,75.0,241.0,68.0,241.0,71.0,45.0,0.0,477.0,0.0,443.0,8.0,19.0,1477.0,53.0,11.0,29.0,706.0,0.0,33.0,293.0,82.0
FFF,2014J,127179,M,South West Region,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn,-81.0,12.0,52.0,66.0,52.0,72.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,25.0,0.0,59.0,2.0,0.0,203.0,3.0,0.0,0.0,3.0,0.0,10.0,48.0,5.0
FFF,2014J,129907,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Distinction,-18.0,NA,22.0,88.0,50.0,96.0,93.0,89.0,135.0,88.0,198.0,87.0,25.0,100.0,58.0,98.0,115.0,77.0,118.0,75.0,166.0,90.0,226.0,82.0,224.0,83.0,18.0,1.0,532.0,0.0,457.0,5.0,4.0,1779.0,46.0,10.0,25.0,772.0,0.0,29.0,427.0,34.0
FFF,2014J,130409,M,South East Region,Lower Than A Level,20-30%,0-35,0,60,Y,Pass,-143.0,NA,28.0,62.0,58.0,48.0,172.0,31.0,179.0,51.0,202.0,62.0,28.0,73.0,188.0,86.0,223.0,80.0,196.0,79.0,227.0,75.0,229.0,77.0,228.0,78.0,0.0,0.0,31.0,1.0,176.0,1.0,1.0,341.0,2.0,0.0,0.0,859.0,0.0,32.0,185.0,1.0
FFF,2014J,131597,M,Scotland,A Level or Equivalent,40-50%,0-35,0,430,N,Pass,-52.0,NA,46.0,92.0,52.0,96.0,108.0,70.0,150.0,30.0,NA,NA,233.0,83.0,233.0,87.0,233.0,71.0,237.0,71.0,237.0,61.0,240.0,78.0,238.0,71.0,0.0,1.0,215.0,0.0,852.0,1.0,4.0,1233.0,3.0,1.0,9.0,584.0,0.0,19.0,178.0,10.0
FFF,2014J,132423,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Withdrawn,-21.0,12.0,23.0,92.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,53.0,0.0,64.0,4.0,1.0,94.0,3.0,0.0,0.0,23.0,0.0,7.0,32.0,0.0
FFF,2014J,132475,F,Scotland,HE Qualification,20-30%,0-35,0,60,N,Pass,-100.0,NA,31.0,64.0,51.0,70.0,93.0,66.0,145.0,91.0,197.0,75.0,58.0,77.0,111.0,85.0,153.0,68.0,214.0,70.0,234.0,86.0,235.0,78.0,234.0,77.0,15.0,0.0,724.0,1.0,502.0,3.0,21.0,1525.0,56.0,2.0,2.0,859.0,0.0,79.0,476.0,35.0
FFF,2014J,135280,M,North Region,Lower Than A Level,NA,0-35,0,120,N,Distinction,-23.0,NA,24.0,82.0,51.0,100.0,94.0,87.0,136.0,85.0,199.0,95.0,149.0,95.0,149.0,98.0,149.0,87.0,149.0,87.0,195.0,90.0,240.0,89.0,240.0,97.0,10.0,1.0,803.0,7.0,264.0,6.0,1.0,433.0,24.0,11.0,10.0,443.0,0.0,41.0,280.0,78.0
FFF,2014J,136944,M,Scotland,A Level or Equivalent,40-50%,0-35,1,90,N,Pass,-15.0,NA,-1.0,82.0,NA,NA,94.0,76.0,136.0,NA,220.0,47.0,-1.0,93.0,240.0,92.0,240.0,78.0,240.0,87.0,240.0,92.0,240.0,86.0,240.0,95.0,0.0,0.0,35.0,0.0,90.0,3.0,2.0,501.0,6.0,0.0,0.0,440.0,0.0,8.0,58.0,9.0
FFF,2014J,139206,M,Wales,Lower Than A Level,30-40%,0-35,0,60,N,Distinction,-23.0,NA,23.0,78.0,51.0,88.0,93.0,82.0,135.0,95.0,198.0,88.0,40.0,98.0,137.0,91.0,205.0,94.0,206.0,79.0,219.0,93.0,224.0,93.0,221.0,77.0,34.0,3.0,378.0,4.0,524.0,3.0,0.0,2412.0,36.0,12.0,27.0,624.0,0.0,32.0,469.0,46.0
FFF,2014J,142310,M,Scotland,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,-94.0,NA,19.0,72.0,50.0,80.0,91.0,73.0,135.0,88.0,211.0,69.0,18.0,88.0,51.0,94.0,100.0,83.0,142.0,80.0,142.0,85.0,171.0,79.0,165.0,88.0,15.0,0.0,77.0,0.0,256.0,1.0,0.0,1147.0,23.0,4.0,17.0,604.0,0.0,24.0,162.0,19.0
FFF,2014J,143755,F,East Midlands Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,-144.0,NA,22.0,92.0,51.0,98.0,94.0,90.0,NA,NA,NA,NA,23.0,100.0,23.0,99.0,63.0,96.0,97.0,92.0,136.0,76.0,178.0,85.0,178.0,79.0,1.0,1.0,971.0,2.0,585.0,7.0,35.0,1223.0,55.0,12.0,11.0,1122.0,0.0,72.0,383.0,49.0
FFF,2014J,144959,M,Ireland,A Level or Equivalent,90-100%,0-35,1,90,N,Withdrawn,-11.0,188.0,24.0,82.0,52.0,54.0,NA,NA,NA,NA,NA,NA,93.0,76.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,10.0,0.0,40.0,0.0,0.0,258.0,0.0,0.0,0.0,87.0,0.0,1.0,55.0,1.0
FFF,2014J,149178,M,London Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,-18.0,NA,24.0,90.0,51.0,86.0,91.0,86.0,136.0,90.0,NA,NA,0.0,80.0,35.0,87.0,58.0,83.0,114.0,66.0,200.0,60.0,241.0,64.0,200.0,66.0,0.0,0.0,460.0,1.0,460.0,6.0,7.0,820.0,13.0,2.0,0.0,697.0,0.0,49.0,300.0,9.0
