code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,14984_date,14984_score,14985_date,14985_score,14986_date,14986_score,14987_date,14987_score,14988_date,14988_score,14989_date,14989_score,14991_date,14991_score,14992_date,14992_score,14993_date,14993_score,14994_date,14994_score,14995_date,14995_score,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucontent,clicks_ouelluminate,clicks_quiz,clicks_resource,clicks_sharedsubpage,clicks_subpage,clicks_url
BBB,2013B,34756,F,East Midlands Region,Lower Than A Level,10-20,0-35,1,150,N,Withdrawn,-43.0,59.0,21.0,71.0,45.0,51.0,NA,NA,NA,NA,NA,NA,NA,NA,60.0,80.0,NA,NA,NA,NA,NA,NA,NA,NA,59.0,0.0,32.0,0.0,0.0,14.0,7.0,0.0,11.0,6.0
BBB,2013B,34863,F,London Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-65.0,NA,20.0,64.0,47.0,40.0,89.0,59.0,124.0,67.0,159.0,70.0,193.0,73.0,60.0,100.0,95.0,80.0,126.0,100.0,164.0,80.0,189.0,80.0,37.0,0.0,63.0,1.0,0.0,64.0,8.0,0.0,19.0,6.0
BBB,2013B,35812,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,-53.0,NA,19.0,71.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
BBB,2013B,39655,F,Scotland,Lower Than A Level,50-60%,0-35,0,120,N,Distinction,-22.0,NA,18.0,78.0,46.0,70.0,88.0,75.0,123.0,92.0,158.0,84.0,183.0,95.0,60.0,80.0,95.0,80.0,126.0,100.0,164.0,60.0,189.0,100.0,152.0,0.0,129.0,2.0,0.0,92.0,15.0,0.0,28.0,14.0
BBB,2013B,50993,F,Scotland,Lower Than A Level,0-10%,0-35,0,60,Y,Fail,-53.0,NA,19.0,61.0,47.0,35.0,89.0,35.0,NA,NA,162.0,20.0,187.0,5.0,60.0,80.0,95.0,60.0,126.0,80.0,NA,NA,189.0,40.0,42.0,0.0,40.0,0.0,0.0,78.0,2.0,0.0,5.0,9.0
BBB,2013B,52899,F,East Midlands Region,Lower Than A Level,50-60%,35-55,0,60,N,Withdrawn,-117.0,86.0,26.0,72.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.0,80.0,NA,NA,NA,NA,NA,NA,NA,NA,643.0,0.0,161.0,4.0,1.0,19.0,23.0,0.0,50.0,27.0
BBB,2013B,58089,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,2,90,N,Fail,-58.0,NA,18.0,75.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.0,100.0,NA,NA,NA,NA,NA,NA,NA,NA,46.0,0.0,17.0,0.0,0.0,13.0,13.0,0.0,12.0,1.0
BBB,2013B,62631,F,North Western Region,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,-45.0,NA,18.0,75.0,60.0,75.0,89.0,64.0,127.0,69.0,NA,NA,NA,NA,60.0,100.0,95.0,100.0,126.0,80.0,NA,NA,NA,NA,331.0,0.0,116.0,1.0,0.0,42.0,11.0,0.0,17.0,7.0
BBB,2013B,70608,F,South East Region,HE Qualification,70-80%,35-55,0,240,N,Distinction,-17.0,NA,18.0,81.0,45.0,78.0,87.0,50.0,130.0,86.0,157.0,87.0,186.0,84.0,60.0,80.0,95.0,100.0,126.0,100.0,164.0,100.0,189.0,80.0,53.0,1.0,84.0,0.0,0.0,67.0,15.0,0.0,45.0,5.0
BBB,2013B,71433,F,North Western Region,A Level or Equivalent,50-60%,0-35,1,150,N,Fail,-19.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.0,0.0,10.0,0.0,0.0,0.0,7.0,0.0,3.0,2.0
BBB,2013B,72070,M,South East Region,A Level or Equivalent,60-70%,35-55,0,60,N,Withdrawn,-24.0,10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2013B,74695,F,North Region,Lower Than A Level,40-50%,0-35,0,90,N,Distinction,-64.0,NA,18.0,90.0,45.0,91.0,87.0,92.0,121.0,90.0,156.0,95.0,NA,NA,60.0,100.0,95.0,100.0,126.0,100.0,164.0,80.0,189.0,80.0,2626.0,2.0,609.0,4.0,1.0,80.0,103.0,0.0,219.0,35.0
BBB,2013B,74734,F,North Western Region,Lower Than A Level,0-10%,0-35,0,180,N,Pass,2.0,NA,18.0,78.0,50.0,80.0,89.0,68.0,124.0,71.0,146.0,74.0,187.0,79.0,NA,NA,95.0,100.0,126.0,80.0,164.0,100.0,189.0,100.0,46.0,2.0,56.0,1.0,0.0,69.0,12.0,0.0,19.0,3.0
BBB,2013B,75399,F,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,-24.0,NA,19.0,65.0,46.0,60.0,89.0,50.0,NA,NA,158.0,64.0,187.0,70.0,60.0,80.0,95.0,80.0,126.0,100.0,164.0,80.0,189.0,80.0,95.0,5.0,175.0,0.0,3.0,104.0,43.0,0.0,56.0,8.0
BBB,2013B,78645,F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,60,N,Fail,-28.0,NA,17.0,75.0,44.0,79.0,102.0,59.0,NA,NA,NA,NA,NA,NA,60.0,80.0,NA,NA,NA,NA,NA,NA,NA,NA,278.0,2.0,89.0,2.0,0.0,20.0,8.0,0.0,20.0,7.0
BBB,2013B,79378,F,London Region,Lower Than A Level,20-30%,35-55,4,120,Y,Fail,-24.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2013B,82535,F,Wales,Lower Than A Level,20-30%,0-35,0,180,N,Pass,-19.0,NA,18.0,73.0,47.0,65.0,81.0,54.0,106.0,57.0,159.0,60.0,167.0,64.0,60.0,80.0,95.0,80.0,126.0,60.0,164.0,100.0,189.0,60.0,80.0,0.0,122.0,0.0,0.0,73.0,18.0,0.0,46.0,13.0
BBB,2013B,82741,F,East Anglian Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,-60.0,NA,15.0,68.0,46.0,84.0,85.0,63.0,128.0,33.0,157.0,76.0,182.0,60.0,60.0,100.0,95.0,100.0,126.0,80.0,164.0,100.0,189.0,60.0,334.0,0.0,218.0,1.0,0.0,76.0,97.0,0.0,131.0,22.0
BBB,2013B,83254,F,London Region,HE Qualification,10-20,35-55,0,60,N,Pass,-51.0,NA,25.0,77.0,47.0,75.0,97.0,76.0,131.0,50.0,160.0,65.0,187.0,40.0,60.0,60.0,95.0,100.0,126.0,100.0,164.0,80.0,189.0,80.0,260.0,1.0,203.0,0.0,2.0,87.0,117.0,0.0,246.0,38.0
BBB,2013B,84245,M,Wales,A Level or Equivalent,50-60%,0-35,0,120,N,Distinction,-27.0,NA,-4.0,82.0,29.0,77.0,83.0,90.0,114.0,77.0,125.0,89.0,153.0,96.0,60.0,100.0,95.0,60.0,126.0,100.0,164.0,100.0,NA,NA,74.0,0.0,238.0,0.0,2.0,63.0,88.0,0.0,172.0,20.0
BBB,2013B,84664,F,North Western Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-92.0,NA,17.0,87.0,46.0,85.0,88.0,69.0,123.0,74.0,156.0,77.0,NA,NA,60.0,100.0,95.0,100.0,126.0,100.0,164.0,100.0,189.0,100.0,220.0,1.0,107.0,4.0,1.0,90.0,12.0,0.0,49.0,11.0
BBB,2013B,86291,F,Wales,HE Qualification,50-60%,35-55,0,60,N,Withdrawn,-15.0,72.0,72.0,87.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBB,2013B,87604,F,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn,-111.0,-75.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2013B,87732,M,East Midlands Region,A Level or Equivalent,30-40%,35-55,0,75,N,Pass,-66.0,NA,19.0,81.0,53.0,75.0,89.0,74.0,NA,NA,159.0,65.0,187.0,71.0,60.0,100.0,95.0,100.0,126.0,80.0,164.0,80.0,189.0,60.0,345.0,3.0,240.0,0.0,0.0,118.0,56.0,0.0,200.0,56.0
BBB,2013B,88580,F,London Region,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn,-23.0,-8.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2013B,91322,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-19.0,NA,20.0,78.0,45.0,74.0,86.0,69.0,123.0,70.0,158.0,77.0,185.0,74.0,NA,NA,95.0,100.0,126.0,100.0,164.0,80.0,189.0,100.0,1154.0,2.0,251.0,1.0,0.0,67.0,47.0,0.0,81.0,13.0
BBB,2013B,92274,F,East Anglian Region,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn,-96.0,132.0,18.0,67.0,49.0,45.0,89.0,40.0,NA,NA,NA,NA,NA,NA,60.0,100.0,95.0,80.0,NA,NA,NA,NA,NA,NA,186.0,2.0,95.0,1.0,0.0,54.0,40.0,0.0,57.0,12.0
BBB,2013B,92832,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-65.0,NA,17.0,62.0,46.0,68.0,87.0,61.0,124.0,62.0,159.0,68.0,NA,NA,60.0,100.0,95.0,100.0,126.0,80.0,164.0,80.0,189.0,80.0,645.0,0.0,260.0,1.0,0.0,76.0,33.0,0.0,45.0,7.0
BBB,2013B,92947,F,Wales,HE Qualification,10-20,35-55,0,120,N,Distinction,-227.0,NA,17.0,70.0,36.0,85.0,84.0,80.0,114.0,80.0,170.0,90.0,187.0,90.0,60.0,100.0,95.0,80.0,126.0,100.0,NA,NA,189.0,40.0,623.0,25.0,482.0,0.0,2.0,69.0,55.0,0.0,88.0,6.0
BBB,2013B,92993,F,East Anglian Region,Lower Than A Level,10-20,0-35,3,135,N,Pass,-43.0,NA,18.0,63.0,39.0,65.0,NA,NA,121.0,71.0,152.0,68.0,187.0,60.0,60.0,100.0,95.0,100.0,126.0,80.0,164.0,100.0,189.0,60.0,681.0,0.0,137.0,0.0,2.0,96.0,14.0,0.0,35.0,9.0
BBB,2013B,94616,F,South Region,Lower Than A Level,80-90%,0-35,1,60,N,Fail,-22.0,NA,25.0,70.0,54.0,65.0,89.0,77.0,131.0,85.0,166.0,40.0,NA,NA,60.0,80.0,95.0,100.0,126.0,100.0,164.0,80.0,NA,NA,27.0,0.0,69.0,1.0,0.0,79.0,9.0,0.0,10.0,4.0
BBB,2013B,96291,F,South Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,-51.0,42.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.0,0.0,17.0,0.0,0.0,0.0,10.0,0.0,11.0,7.0
BBB,2013B,97154,F,North Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-50.0,NA,18.0,85.0,46.0,75.0,88.0,77.0,NA,NA,158.0,92.0,176.0,98.0,60.0,100.0,95.0,100.0,126.0,100.0,164.0,100.0,189.0,80.0,195.0,0.0,237.0,1.0,0.0,75.0,152.0,0.0,300.0,24.0
BBB,2013B,98313,F,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass,-22.0,NA,16.0,74.0,47.0,73.0,88.0,73.0,128.0,82.0,157.0,88.0,185.0,78.0,60.0,80.0,95.0,80.0,126.0,80.0,164.0,80.0,189.0,100.0,10.0,0.0,30.0,0.0,0.0,63.0,18.0,0.0,24.0,0.0
BBB,2013B,102849,F,East Anglian Region,A Level or Equivalent,20-30%,35-55,0,180,N,Withdrawn,-51.0,-4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBB,2013B,104054,F,South East Region,Lower Than A Level,90-100%,35-55,0,120,N,Distinction,-19.0,NA,18.0,87.0,47.0,90.0,89.0,97.0,121.0,85.0,158.0,87.0,186.0,95.0,60.0,100.0,95.0,100.0,126.0,100.0,164.0,100.0,189.0,100.0,752.0,2.0,412.0,1.0,0.0,112.0,33.0,0.0,106.0,33.0
BBB,2013B,108377,F,South Region,Lower Than A Level,30-40%,35-55,0,120,Y,Pass,-53.0,NA,6.0,87.0,43.0,83.0,88.0,77.0,130.0,72.0,158.0,67.0,NA,NA,60.0,80.0,95.0,100.0,126.0,80.0,164.0,60.0,189.0,80.0,1501.0,5.0,690.0,2.0,17.0,122.0,9.0,0.0,35.0,18.0
BBB,2013B,108589,F,Ireland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-108.0,NA,18.0,73.0,47.0,92.0,89.0,73.0,124.0,71.0,159.0,83.0,187.0,84.0,60.0,100.0,95.0,100.0,126.0,100.0,164.0,100.0,189.0,100.0,68.0,0.0,141.0,3.0,0.0,76.0,36.0,0.0,66.0,21.0
BBB,2013B,109938,F,Wales,HE Qualification,60-70%,0-35,0,120,N,Distinction,-44.0,NA,16.0,87.0,46.0,81.0,87.0,85.0,123.0,90.0,159.0,93.0,183.0,92.0,60.0,80.0,95.0,100.0,126.0,80.0,164.0,100.0,189.0,100.0,107.0,2.0,138.0,1.0,0.0,72.0,28.0,0.0,44.0,4.0
BBB,2013B,110881,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,-43.0,NA,18.0,75.0,44.0,59.0,92.0,64.0,123.0,69.0,158.0,64.0,184.0,66.0,60.0,100.0,95.0,100.0,126.0,80.0,164.0,80.0,189.0,100.0,315.0,5.0,260.0,1.0,0.0,80.0,30.0,0.0,38.0,25.0
BBB,2013B,116603,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Distinction,-28.0,NA,18.0,83.0,46.0,76.0,89.0,79.0,123.0,85.0,NA,NA,187.0,81.0,60.0,100.0,95.0,100.0,126.0,100.0,164.0,100.0,189.0,100.0,662.0,0.0,307.0,2.0,0.0,95.0,39.0,0.0,67.0,7.0
BBB,2013B,117071,M,London Region,A Level or Equivalent,40-50%,35-55,0,60,N,Fail,-25.0,NA,NA,NA,48.0,46.0,NA,NA,NA,NA,NA,NA,NA,NA,60.0,100.0,NA,NA,NA,NA,NA,NA,NA,NA,31.0,0.0,16.0,0.0,0.0,21.0,0.0,0.0,3.0,3.0
BBB,2013B,120994,F,London Region,Lower Than A Level,30-40%,35-55,0,70,Y,Fail,-19.0,NA,41.0,70.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.0,100.0,95.0,100.0,126.0,100.0,164.0,60.0,189.0,100.0,273.0,0.0,190.0,1.0,4.0,95.0,51.0,0.0,96.0,30.0
BBB,2013B,122524,F,Wales,Lower Than A Level,20-30%,0-35,2,120,N,Fail,-68.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2013B,123379,F,East Midlands Region,A Level or Equivalent,70-80%,0-35,1,180,N,Withdrawn,-131.0,-59.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2013B,123860,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,Y,Pass,-29.0,NA,18.0,60.0,46.0,75.0,89.0,77.0,124.0,65.0,159.0,75.0,187.0,85.0,60.0,100.0,95.0,60.0,126.0,100.0,164.0,80.0,189.0,80.0,356.0,4.0,331.0,7.0,1.0,127.0,191.0,0.0,214.0,61.0
BBB,2013B,126322,F,Scotland,A Level or Equivalent,10-20,35-55,1,60,N,Pass,-106.0,NA,18.0,65.0,NA,NA,70.0,78.0,119.0,86.0,NA,NA,NA,NA,-1.0,80.0,-1.0,100.0,196.0,100.0,196.0,80.0,NA,NA,307.0,2.0,126.0,0.0,0.0,31.0,14.0,0.0,38.0,8.0
BBB,2013B,126411,F,West Midlands Region,Lower Than A Level,0-10%,0-35,2,60,Y,Fail,-124.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.0,100.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,11.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0
BBB,2013B,127209,F,Scotland,A Level or Equivalent,40-50%,0-35,1,180,Y,Withdrawn,-255.0,-225.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2013B,128776,F,Yorkshire Region,Lower Than A Level,40-50%,35-55,1,120,N,Withdrawn,-97.0,24.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.0,0.0,42.0,1.0,0.0,1.0,19.0,0.0,28.0,6.0
BBB,2013B,133155,F,Yorkshire Region,HE Qualification,50-60%,35-55,0,60,N,Pass,-55.0,NA,19.0,87.0,47.0,85.0,89.0,90.0,130.0,83.0,159.0,90.0,187.0,88.0,60.0,100.0,95.0,100.0,126.0,100.0,164.0,100.0,189.0,100.0,1022.0,0.0,188.0,0.0,1.0,71.0,15.0,0.0,54.0,9.0
BBB,2013B,133531,F,Wales,Lower Than A Level,30-40%,0-35,0,60,N,Fail,-24.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2013B,133748,F,Scotland,Lower Than A Level,0-10%,35-55,0,70,N,Fail,-61.0,NA,13.0,74.0,46.0,61.0,88.0,65.0,136.0,56.0,NA,NA,NA,NA,60.0,100.0,95.0,100.0,NA,NA,NA,NA,NA,NA,165.0,0.0,140.0,1.0,1.0,31.0,21.0,0.0,29.0,20.0
BBB,2013B,141823,F,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,120,N,Withdrawn,-47.0,86.0,10.0,58.0,46.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.0,0.0,75.0,0.0,0.0,2.0,7.0,0.0,22.0,5.0
BBB,2013B,142324,F,East Anglian Region,Lower Than A Level,30-40%,35-55,0,60,N,Fail,-23.0,NA,18.0,70.0,46.0,71.0,88.0,68.0,124.0,55.0,NA,NA,NA,NA,60.0,100.0,95.0,100.0,126.0,80.0,NA,NA,NA,NA,104.0,0.0,36.0,0.0,0.0,46.0,4.0,0.0,7.0,2.0
BBB,2013B,143741,F,London Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Distinction,-16.0,NA,18.0,74.0,47.0,70.0,88.0,75.0,124.0,75.0,159.0,78.0,187.0,95.0,60.0,100.0,95.0,100.0,126.0,100.0,164.0,80.0,189.0,100.0,364.0,0.0,159.0,1.0,0.0,97.0,23.0,0.0,50.0,10.0
BBB,2013B,143854,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Withdrawn,-23.0,27.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2013B,145544,M,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-45.0,NA,19.0,77.0,47.0,82.0,88.0,78.0,124.0,66.0,159.0,74.0,187.0,69.0,60.0,100.0,95.0,100.0,126.0,100.0,164.0,100.0,189.0,100.0,432.0,0.0,217.0,2.0,1.0,70.0,55.0,0.0,73.0,12.0
BBB,2013B,147876,M,South West Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,-53.0,NA,22.0,84.0,47.0,58.0,107.0,58.0,124.0,70.0,NA,NA,NA,NA,60.0,100.0,95.0,100.0,126.0,80.0,NA,NA,NA,NA,48.0,0.0,79.0,1.0,0.0,56.0,73.0,0.0,72.0,13.0
BBB,2013B,151697,F,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,60,Y,Pass,-23.0,NA,17.0,86.0,45.0,81.0,86.0,74.0,122.0,79.0,156.0,80.0,185.0,80.0,60.0,100.0,95.0,100.0,126.0,100.0,164.0,100.0,189.0,100.0,230.0,0.0,66.0,1.0,0.0,74.0,16.0,0.0,31.0,6.0
BBB,2013B,152153,F,East Anglian Region,Lower Than A Level,40-50%,0-35,1,60,N,Withdrawn,-93.0,157.0,18.0,67.0,60.0,10.0,89.0,56.0,138.0,13.0,NA,NA,NA,NA,60.0,100.0,95.0,40.0,126.0,80.0,NA,NA,NA,NA,234.0,0.0,159.0,2.0,0.0,49.0,25.0,0.0,24.0,7.0
BBB,2013B,152910,M,West Midlands Region,A Level or Equivalent,NA,0-35,0,60,N,Pass,-8.0,NA,18.0,72.0,47.0,74.0,88.0,76.0,123.0,80.0,144.0,78.0,NA,NA,60.0,100.0,95.0,100.0,126.0,80.0,164.0,80.0,NA,NA,1494.0,0.0,432.0,1.0,0.0,76.0,44.0,0.0,119.0,28.0
BBB,2013B,152929,F,North Western Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,-104.0,NA,18.0,73.0,54.0,68.0,89.0,56.0,124.0,65.0,NA,NA,187.0,82.0,60.0,100.0,95.0,100.0,126.0,80.0,NA,NA,189.0,100.0,34.0,0.0,106.0,0.0,0.0,94.0,16.0,0.0,45.0,4.0
BBB,2013B,153212,F,South West Region,Lower Than A Level,40-50%,35-55,1,120,N,Distinction,-82.0,NA,18.0,90.0,51.0,73.0,99.0,73.0,141.0,81.0,161.0,76.0,184.0,86.0,60.0,100.0,95.0,100.0,126.0,100.0,164.0,60.0,189.0,80.0,503.0,0.0,190.0,1.0,0.0,75.0,26.0,0.0,39.0,8.0
BBB,2013B,153704,F,West Midlands Region,Lower Than A Level,0-10%,0-35,1,120,N,Withdrawn,-166.0,166.0,18.0,83.0,53.0,84.0,89.0,74.0,NA,NA,NA,NA,NA,NA,60.0,100.0,95.0,100.0,126.0,80.0,NA,NA,NA,NA,191.0,2.0,84.0,2.0,0.0,60.0,14.0,0.0,50.0,12.0
BBB,2013B,154027,F,South East Region,Lower Than A Level,70-80%,0-35,0,60,N,Pass,-19.0,NA,18.0,76.0,47.0,81.0,89.0,50.0,128.0,66.0,159.0,60.0,NA,NA,60.0,80.0,95.0,80.0,126.0,60.0,164.0,80.0,189.0,100.0,246.0,0.0,163.0,0.0,0.0,76.0,26.0,0.0,51.0,7.0
BBB,2013B,154125,F,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,60,N,Fail,-17.0,NA,18.0,79.0,50.0,80.0,86.0,80.0,123.0,86.0,160.0,83.0,NA,NA,60.0,100.0,95.0,100.0,126.0,80.0,164.0,100.0,NA,NA,22.0,0.0,8.0,0.0,0.0,52.0,3.0,0.0,11.0,1.0
