code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,1758_date,1758_score,1759_date,1759_score,1760_date,1760_score,1761_date,1761_score,1762_date,1762_score,clicks_dataplus,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_resource,clicks_subpage,clicks_url
AAA,2014J,85092,F,South West Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,-52.0,NA,22.0,58.0,NA,NA,116.0,68.0,166.0,48.0,214.0,58.0,0.0,181.0,0.0,121.0,0.0,262.0,9.0,66.0,26.0
AAA,2014J,85144,M,Scotland,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-41.0,NA,18.0,68.0,54.0,85.0,117.0,77.0,166.0,78.0,215.0,80.0,0.0,202.0,1.0,190.0,0.0,185.0,11.0,48.0,19.0
AAA,2014J,85302,M,London Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,-72.0,NA,18.0,76.0,56.0,67.0,116.0,70.0,165.0,69.0,218.0,74.0,21.0,186.0,1.0,649.0,0.0,1058.0,35.0,220.0,110.0
AAA,2014J,87431,M,South East Region,Lower Than A Level,10-20,35-55,0,60,N,Withdrawn,-106.0,235.0,40.0,50.0,75.0,58.0,138.0,42.0,NA,NA,NA,NA,1.0,170.0,0.0,161.0,0.0,362.0,2.0,78.0,28.0
AAA,2014J,94961,M,South Region,Lower Than A Level,70-80%,35-55,1,60,N,Pass,-150.0,NA,-1.0,74.0,51.0,67.0,122.0,57.0,166.0,65.0,211.0,55.0,0.0,131.0,0.0,228.0,0.0,373.0,18.0,116.0,35.0
AAA,2014J,95755,M,South East Region,Lower Than A Level,90-100%,0-35,0,60,N,Withdrawn,-80.0,241.0,23.0,58.0,69.0,32.0,NA,NA,NA,NA,NA,NA,0.0,37.0,0.0,107.0,0.0,205.0,4.0,26.0,2.0
AAA,2014J,101116,F,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,-80.0,NA,19.0,83.0,54.0,75.0,117.0,79.0,169.0,90.0,215.0,86.0,5.0,705.0,2.0,382.0,0.0,495.0,47.0,103.0,30.0
AAA,2014J,107489,F,London Region,HE Qualification,20-30%,0-35,0,60,N,Pass,-81.0,NA,18.0,89.0,53.0,88.0,125.0,79.0,173.0,80.0,215.0,74.0,14.0,1185.0,0.0,883.0,2.0,1235.0,19.0,256.0,128.0
AAA,2014J,108872,M,London Region,HE Qualification,80-90%,55<=,0,60,N,Pass,-80.0,NA,19.0,62.0,53.0,57.0,117.0,70.0,165.0,67.0,214.0,53.0,0.0,333.0,0.0,313.0,0.0,626.0,25.0,73.0,7.0
AAA,2014J,109155,F,South Region,HE Qualification,90-100%,0-35,0,60,N,Pass,-80.0,NA,19.0,69.0,54.0,68.0,116.0,72.0,165.0,67.0,213.0,63.0,7.0,1084.0,0.0,506.0,0.0,1254.0,15.0,97.0,56.0
AAA,2014J,111512,M,Wales,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,-16.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,76.0,1.0,119.0,1.0,164.0,29.0,46.0,2.0
AAA,2014J,117818,F,London Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-92.0,NA,22.0,65.0,53.0,61.0,120.0,49.0,166.0,59.0,215.0,54.0,2.0,22.0,4.0,318.0,0.0,1066.0,68.0,148.0,67.0
AAA,2014J,119902,F,South West Region,A Level or Equivalent,60-70%,35-55,0,60,N,Withdrawn,-31.0,207.0,19.0,75.0,57.0,67.0,117.0,61.0,180.0,65.0,NA,NA,7.0,524.0,2.0,558.0,3.0,1208.0,15.0,179.0,94.0
AAA,2014J,121349,F,South West Region,A Level or Equivalent,40-50%,35-55,1,60,N,Pass,-28.0,NA,19.0,73.0,54.0,65.0,116.0,88.0,165.0,68.0,214.0,86.0,13.0,41.0,0.0,261.0,0.0,1744.0,26.0,114.0,60.0
AAA,2014J,124064,F,South East Region,A Level or Equivalent,60-70%,0-35,0,120,N,Distinction,-44.0,NA,19.0,86.0,54.0,83.0,120.0,90.0,167.0,87.0,215.0,90.0,0.0,430.0,0.0,573.0,3.0,732.0,32.0,193.0,79.0
AAA,2014J,125018,M,South Region,HE Qualification,70-80%,35-55,0,60,N,Pass,-36.0,NA,18.0,67.0,53.0,66.0,116.0,67.0,165.0,62.0,214.0,62.0,8.0,704.0,0.0,375.0,2.0,978.0,8.0,87.0,33.0
AAA,2014J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,N,Withdrawn,-143.0,143.0,-1.0,85.0,-1.0,82.0,-1.0,76.0,NA,NA,NA,NA,21.0,3.0,0.0,161.0,0.0,680.0,1.0,11.0,0.0
AAA,2014J,130034,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-82.0,NA,18.0,78.0,52.0,87.0,116.0,79.0,165.0,78.0,213.0,70.0,3.0,199.0,0.0,536.0,0.0,702.0,44.0,220.0,127.0
AAA,2014J,130547,F,South Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,-25.0,NA,19.0,63.0,58.0,52.0,120.0,47.0,172.0,71.0,216.0,59.0,14.0,110.0,1.0,162.0,0.0,832.0,15.0,88.0,30.0
AAA,2014J,130636,M,South East Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,-68.0,NA,16.0,57.0,54.0,60.0,117.0,64.0,166.0,65.0,215.0,54.0,0.0,30.0,0.0,49.0,0.0,189.0,15.0,43.0,6.0
AAA,2014J,131390,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,-115.0,NA,18.0,81.0,54.0,73.0,117.0,77.0,166.0,80.0,215.0,82.0,0.0,34.0,0.0,36.0,0.0,73.0,7.0,7.0,0.0
AAA,2014J,133816,F,South Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,-15.0,NA,18.0,64.0,53.0,58.0,116.0,70.0,166.0,65.0,215.0,70.0,3.0,1570.0,0.0,780.0,1.0,1381.0,9.0,162.0,94.0
AAA,2014J,133922,M,North Region,Lower Than A Level,0-10%,0-35,0,60,N,Pass,-110.0,NA,24.0,78.0,61.0,85.0,132.0,80.0,173.0,73.0,218.0,75.0,0.0,56.0,0.0,144.0,0.0,290.0,11.0,55.0,18.0
AAA,2014J,135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,1,120,N,Withdrawn,-82.0,24.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,8.0,0.0,7.0,0.0,1.0,0.0
AAA,2014J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,1,60,Y,Pass,-51.0,NA,18.0,57.0,62.0,47.0,120.0,56.0,180.0,46.0,227.0,43.0,0.0,4.0,0.0,45.0,0.0,227.0,2.0,29.0,16.0
AAA,2014J,135471,M,East Anglian Region,Lower Than A Level,90-100%,35-55,0,60,N,Distinction,-149.0,NA,15.0,86.0,51.0,78.0,112.0,83.0,162.0,85.0,210.0,88.0,9.0,122.0,1.0,435.0,0.0,1525.0,26.0,112.0,61.0
AAA,2014J,139033,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Fail,-46.0,NA,19.0,55.0,53.0,59.0,117.0,63.0,166.0,66.0,215.0,62.0,0.0,105.0,0.0,203.0,2.0,413.0,8.0,53.0,6.0
AAA,2014J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,1,210,N,Pass,-127.0,NA,19.0,65.0,52.0,52.0,125.0,39.0,176.0,53.0,215.0,39.0,0.0,160.0,0.0,111.0,0.0,272.0,13.0,54.0,3.0
AAA,2014J,141506,M,Scotland,A Level or Equivalent,20-30%,35-55,0,60,N,Fail,-28.0,NA,19.0,75.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,153.0,12.0,97.0,0.0,99.0,8.0,39.0,7.0
AAA,2014J,146503,M,East Anglian Region,Lower Than A Level,30-40%,35-55,0,120,Y,Pass,-30.0,NA,18.0,67.0,53.0,64.0,116.0,68.0,165.0,66.0,215.0,52.0,0.0,43.0,1.0,108.0,0.0,128.0,13.0,70.0,5.0
AAA,2014J,147756,M,North Region,Lower Than A Level,60-70%,0-35,1,120,N,Pass,-41.0,NA,26.0,69.0,61.0,32.0,138.0,82.0,178.0,72.0,219.0,68.0,1.0,123.0,48.0,188.0,0.0,662.0,24.0,61.0,0.0
AAA,2014J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,1,60,Y,Pass,-154.0,NA,21.0,86.0,59.0,85.0,124.0,90.0,166.0,73.0,215.0,86.0,0.0,1133.0,0.0,475.0,0.0,269.0,17.0,42.0,12.0
AAA,2014J,149741,F,Scotland,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,-74.0,NA,15.0,70.0,53.0,62.0,112.0,58.0,163.0,64.0,211.0,78.0,14.0,564.0,6.0,398.0,5.0,1132.0,27.0,128.0,68.0
AAA,2014J,149962,M,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-92.0,NA,19.0,67.0,54.0,64.0,116.0,73.0,166.0,66.0,221.0,72.0,0.0,54.0,0.0,21.0,0.0,54.0,1.0,10.0,1.0
AAA,2014J,151587,F,Wales,A Level or Equivalent,0-10%,0-35,0,120,N,Withdrawn,-129.0,234.0,19.0,73.0,69.0,56.0,139.0,72.0,NA,NA,NA,NA,0.0,12.0,0.0,64.0,1.0,71.0,4.0,14.0,0.0
AAA,2014J,152668,F,South Region,Lower Than A Level,90-100%,0-35,0,60,N,Withdrawn,-72.0,104.0,19.0,71.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,97.0,0.0,164.0,0.0,396.0,7.0,63.0,38.0
AAA,2014J,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,1,120,N,Pass,-156.0,NA,20.0,67.0,55.0,76.0,117.0,78.0,178.0,83.0,215.0,83.0,9.0,230.0,0.0,428.0,0.0,862.0,8.0,121.0,79.0
AAA,2014J,158707,F,South East Region,A Level or Equivalent,80-90%,0-35,0,60,N,Withdrawn,-57.0,172.0,18.0,75.0,53.0,70.0,117.0,77.0,NA,NA,NA,NA,3.0,2183.0,3.0,990.0,0.0,1258.0,16.0,198.0,95.0
AAA,2014J,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,1,60,N,Withdrawn,-24.0,201.0,-1.0,65.0,-1.0,68.0,129.0,75.0,NA,NA,NA,NA,0.0,74.0,1.0,196.0,0.0,506.0,32.0,60.0,8.0
AAA,2014J,164944,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,Y,Pass,-148.0,NA,17.0,59.0,53.0,65.0,114.0,64.0,172.0,62.0,216.0,62.0,0.0,690.0,1.0,277.0,0.0,204.0,13.0,86.0,29.0
AAA,2014J,165226,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,-22.0,NA,19.0,77.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,142.0,0.0,199.0,2.0,607.0,11.0,75.0,26.0
AAA,2014J,167961,M,South West Region,HE Qualification,70-80%,55<=,0,60,N,Pass,-44.0,NA,19.0,87.0,54.0,71.0,117.0,50.0,166.0,82.0,215.0,90.0,3.0,243.0,5.0,432.0,9.0,1194.0,15.0,127.0,101.0
AAA,2014J,174024,M,North Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,-85.0,NA,18.0,55.0,53.0,62.0,115.0,53.0,163.0,68.0,212.0,64.0,3.0,2.0,0.0,110.0,0.0,647.0,8.0,35.0,7.0
AAA,2014J,174094,F,South East Region,Lower Than A Level,30-40%,35-55,0,60,Y,Pass,-89.0,NA,19.0,72.0,53.0,76.0,123.0,74.0,175.0,77.0,214.0,78.0,1.0,85.0,0.0,971.0,1.0,3352.0,28.0,210.0,193.0
AAA,2014J,174745,F,East Midlands Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,-30.0,NA,18.0,56.0,51.0,68.0,116.0,66.0,165.0,68.0,214.0,67.0,0.0,238.0,1.0,199.0,0.0,1077.0,11.0,80.0,4.0
AAA,2014J,175447,M,London Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-115.0,NA,18.0,65.0,52.0,74.0,119.0,69.0,165.0,71.0,214.0,69.0,1.0,1411.0,1.0,616.0,0.0,1590.0,16.0,105.0,39.0
AAA,2014J,175772,F,East Anglian Region,HE Qualification,90-100%,35-55,0,270,N,Withdrawn,-45.0,67.0,22.0,85.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,1461.0,1.0,602.0,0.0,833.0,12.0,87.0,22.0
AAA,2014J,183057,M,Wales,Lower Than A Level,90-100%,0-35,0,60,N,Pass,-23.0,NA,30.0,62.0,75.0,72.0,144.0,60.0,194.0,64.0,237.0,70.0,1.0,195.0,1.0,284.0,0.0,249.0,24.0,69.0,10.0
AAA,2014J,185350,M,Yorkshire Region,Lower Than A Level,10-20,35-55,0,60,N,Fail,-22.0,NA,18.0,75.0,68.0,52.0,116.0,60.0,187.0,57.0,237.0,54.0,0.0,27.0,0.0,51.0,0.0,121.0,4.0,33.0,0.0
AAA,2014J,188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,1,60,N,Pass,-64.0,NA,19.0,79.0,54.0,73.0,121.0,63.0,166.0,72.0,216.0,67.0,7.0,607.0,0.0,768.0,2.0,1262.0,11.0,247.0,159.0
AAA,2014J,199636,M,East Anglian Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-30.0,NA,19.0,88.0,53.0,66.0,116.0,77.0,169.0,80.0,214.0,68.0,2.0,123.0,0.0,350.0,0.0,1159.0,38.0,111.0,53.0
AAA,2014J,199897,M,East Midlands Region,HE Qualification,10-20,35-55,0,60,N,Pass,3.0,NA,25.0,77.0,66.0,83.0,124.0,83.0,178.0,25.0,215.0,79.0,1.0,166.0,0.0,442.0,2.0,1262.0,33.0,153.0,76.0
AAA,2014J,200804,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-80.0,NA,19.0,64.0,54.0,78.0,121.0,68.0,172.0,75.0,215.0,45.0,0.0,163.0,0.0,103.0,2.0,601.0,14.0,40.0,7.0
AAA,2014J,205494,M,South West Region,HE Qualification,30-40%,35-55,0,60,N,Pass,-45.0,NA,15.0,82.0,45.0,58.0,108.0,66.0,155.0,68.0,210.0,58.0,0.0,64.0,0.0,156.0,0.0,804.0,6.0,53.0,31.0
AAA,2014J,228021,M,Scotland,A Level or Equivalent,40-50%,35-55,0,60,N,Distinction,-68.0,NA,19.0,88.0,54.0,85.0,117.0,77.0,166.0,85.0,215.0,80.0,24.0,860.0,0.0,1065.0,2.0,1829.0,39.0,171.0,38.0
AAA,2014J,228383,M,Yorkshire Region,HE Qualification,50-60%,0-35,0,60,N,Pass,-21.0,NA,18.0,76.0,61.0,70.0,125.0,63.0,173.0,73.0,215.0,71.0,8.0,44.0,0.0,419.0,1.0,1642.0,20.0,176.0,76.0
AAA,2014J,232307,M,South Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,-107.0,NA,18.0,78.0,53.0,60.0,116.0,60.0,172.0,68.0,214.0,65.0,7.0,103.0,1.0,129.0,0.0,381.0,19.0,57.0,5.0
AAA,2014J,235068,F,East Midlands Region,Lower Than A Level,30-40%,35-55,0,60,N,Pass,-156.0,NA,17.0,58.0,54.0,57.0,115.0,63.0,164.0,62.0,213.0,58.0,9.0,260.0,0.0,757.0,1.0,1438.0,9.0,196.0,141.0
AAA,2014J,235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,1,180,N,Pass,-135.0,NA,25.0,62.0,54.0,30.0,116.0,69.0,173.0,60.0,214.0,61.0,11.0,181.0,1.0,282.0,1.0,470.0,33.0,78.0,10.0
AAA,2014J,236875,M,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,-20.0,NA,29.0,42.0,61.0,45.0,117.0,50.0,173.0,50.0,216.0,45.0,0.0,6.0,0.0,42.0,0.0,119.0,2.0,32.0,0.0
AAA,2014J,237274,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,-155.0,NA,18.0,70.0,52.0,71.0,116.0,73.0,164.0,80.0,213.0,68.0,13.0,500.0,0.0,401.0,4.0,965.0,34.0,101.0,7.0
AAA,2014J,243510,F,South West Region,Lower Than A Level,60-70%,0-35,0,60,N,Fail,-16.0,NA,19.0,46.0,53.0,37.0,119.0,62.0,173.0,38.0,215.0,35.0,0.0,137.0,0.0,140.0,0.0,212.0,6.0,41.0,13.0
AAA,2014J,244246,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-137.0,NA,17.0,65.0,53.0,52.0,116.0,70.0,180.0,78.0,215.0,71.0,0.0,114.0,0.0,304.0,3.0,779.0,14.0,95.0,56.0
AAA,2014J,248581,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,N,Distinction,-61.0,NA,19.0,90.0,53.0,80.0,117.0,78.0,166.0,87.0,214.0,90.0,3.0,272.0,0.0,570.0,1.0,1913.0,36.0,78.0,10.0
AAA,2014J,252073,F,Yorkshire Region,A Level or Equivalent,30-40%,35-55,0,120,N,Pass,-5.0,NA,19.0,55.0,54.0,50.0,125.0,52.0,187.0,53.0,215.0,35.0,3.0,31.0,0.0,170.0,0.0,455.0,25.0,139.0,42.0
AAA,2014J,254625,M,Wales,A Level or Equivalent,20-30%,35-55,0,60,N,Distinction,-50.0,NA,19.0,86.0,59.0,83.0,117.0,78.0,178.0,85.0,214.0,82.0,7.0,249.0,0.0,338.0,0.0,1170.0,12.0,122.0,89.0
AAA,2014J,258587,M,South West Region,A Level or Equivalent,10-20,35-55,0,60,N,Distinction,-109.0,NA,18.0,74.0,52.0,87.0,109.0,80.0,160.0,83.0,208.0,79.0,21.0,542.0,0.0,1315.0,0.0,3976.0,32.0,443.0,280.0
AAA,2014J,260355,F,London Region,A Level or Equivalent,80-90%,35-55,1,120,N,Withdrawn,-156.0,-87.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AAA,2014J,260623,M,South East Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass,-28.0,NA,19.0,69.0,54.0,72.0,127.0,74.0,166.0,74.0,218.0,62.0,0.0,257.0,0.0,295.0,0.0,504.0,4.0,75.0,43.0
AAA,2014J,263251,M,East Anglian Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-73.0,NA,18.0,68.0,54.0,85.0,117.0,78.0,165.0,71.0,215.0,68.0,6.0,983.0,1.0,344.0,0.0,991.0,31.0,87.0,42.0
AAA,2014J,263543,M,East Anglian Region,Lower Than A Level,90-100%,35-55,0,60,N,Pass,-56.0,NA,17.0,81.0,53.0,87.0,117.0,77.0,166.0,80.0,214.0,73.0,2.0,113.0,0.0,372.0,0.0,785.0,19.0,166.0,137.0
AAA,2014J,263952,M,North Region,Lower Than A Level,NA,35-55,0,60,N,Distinction,-38.0,NA,18.0,82.0,58.0,90.0,132.0,88.0,166.0,91.0,215.0,93.0,0.0,307.0,1.0,327.0,1.0,705.0,24.0,58.0,21.0
AAA,2014J,266524,F,South Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,-134.0,NA,19.0,46.0,69.0,50.0,121.0,57.0,166.0,59.0,215.0,57.0,0.0,75.0,0.0,104.0,0.0,114.0,28.0,38.0,0.0
AAA,2014J,268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,1,120,N,Fail,-10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
AAA,2014J,273346,M,East Midlands Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,-155.0,NA,18.0,81.0,53.0,78.0,115.0,82.0,165.0,84.0,213.0,84.0,17.0,242.0,0.0,615.0,0.0,936.0,20.0,151.0,99.0
AAA,2014J,274947,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,120,N,Withdrawn,-43.0,229.0,29.0,82.0,54.0,46.0,129.0,54.0,166.0,47.0,215.0,41.0,0.0,57.0,0.0,70.0,0.0,88.0,5.0,31.0,0.0
AAA,2014J,275674,F,London Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,-155.0,132.0,18.0,50.0,54.0,40.0,116.0,45.0,NA,NA,NA,NA,6.0,271.0,1.0,493.0,0.0,1032.0,11.0,161.0,115.0
AAA,2014J,275792,F,East Anglian Region,HE Qualification,50-60%,0-35,0,60,N,Pass,-37.0,NA,19.0,69.0,51.0,74.0,126.0,74.0,164.0,73.0,214.0,75.0,0.0,50.0,0.0,155.0,2.0,312.0,19.0,63.0,4.0
AAA,2014J,277123,F,East Midlands Region,A Level or Equivalent,70-80%,35-55,0,60,N,Fail,-20.0,NA,19.0,58.0,53.0,47.0,117.0,35.0,166.0,50.0,215.0,40.0,0.0,34.0,0.0,120.0,0.0,282.0,5.0,64.0,32.0
AAA,2014J,277880,F,South East Region,A Level or Equivalent,60-70%,0-35,1,120,N,Withdrawn,-11.0,158.0,-1.0,70.0,-1.0,65.0,-1.0,68.0,NA,NA,NA,NA,0.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0
AAA,2014J,281077,F,East Anglian Region,HE Qualification,50-60%,0-35,0,60,N,Pass,-103.0,NA,18.0,74.0,67.0,72.0,114.0,77.0,175.0,63.0,215.0,76.0,0.0,138.0,0.0,253.0,0.0,277.0,60.0,124.0,43.0
AAA,2014J,281636,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-73.0,NA,18.0,87.0,53.0,74.0,117.0,88.0,166.0,78.0,215.0,88.0,1.0,360.0,0.0,520.0,0.0,1385.0,67.0,234.0,115.0
AAA,2014J,285315,M,East Anglian Region,HE Qualification,70-80%,0-35,0,60,N,Pass,-36.0,NA,19.0,86.0,54.0,87.0,117.0,86.0,166.0,85.0,215.0,87.0,0.0,106.0,3.0,219.0,0.0,628.0,22.0,132.0,47.0
AAA,2014J,287040,F,East Anglian Region,A Level or Equivalent,40-50%,35-55,0,90,N,Pass,-155.0,NA,18.0,70.0,51.0,76.0,115.0,68.0,178.0,77.0,214.0,73.0,6.0,435.0,0.0,390.0,0.0,1183.0,56.0,144.0,53.0
AAA,2014J,287204,M,Scotland,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,-79.0,NA,19.0,72.0,54.0,65.0,124.0,71.0,166.0,80.0,215.0,80.0,0.0,399.0,0.0,319.0,0.0,954.0,53.0,112.0,8.0
AAA,2014J,287210,M,Scotland,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,-156.0,NA,14.0,73.0,38.0,78.0,79.0,78.0,157.0,70.0,184.0,68.0,16.0,68.0,0.0,752.0,0.0,2072.0,15.0,236.0,116.0
AAA,2014J,288994,M,Scotland,A Level or Equivalent,30-40%,0-35,0,120,N,Fail,-10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,21.0,0.0,13.0,0.0,97.0,1.0,2.0,0.0
