code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,30709_date,30709_score,30710_date,30710_score,30711_date,30711_score,30712_date,30712_score,clicks_dualpane,clicks_forumng,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_ouwiki,clicks_page,clicks_quiz,clicks_resource,clicks_subpage,clicks_url
EEE,2013J,100758,F,London Region,A Level or Equivalent,10-20,0-35,0,150,N,Withdrawn,-92.0,-23.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EEE,2013J,101414,M,Yorkshire Region,Lower Than A Level,70-80%,35-55,0,105,N,Withdrawn,-163.0,-11.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EEE,2013J,105168,M,Scotland,HE Qualification,70-80%,0-35,0,90,N,Fail,-39.0,NA,33.0,88.0,74.0,87.0,NA,NA,NA,NA,1.0,44.0,115.0,0.0,235.0,0.0,0.0,95.0,2.0,45.0,30.0
EEE,2013J,107339,F,Scotland,HE Qualification,10-20,0-35,0,60,N,Distinction,-59.0,NA,32.0,99.0,68.0,99.0,124.0,100.0,159.0,89.0,3.0,509.0,464.0,0.0,762.0,238.0,0.0,134.0,4.0,37.0,70.0
EEE,2013J,110461,M,Scotland,HE Qualification,10-20,0-35,0,80,N,Withdrawn,-122.0,16.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,3.0,0.0
EEE,2013J,111383,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Withdrawn,-183.0,-51.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EEE,2013J,113698,M,South West Region,Lower Than A Level,60-70%,0-35,0,30,N,Fail,-52.0,NA,33.0,55.0,74.0,67.0,NA,NA,NA,NA,1.0,4.0,89.0,1.0,131.0,0.0,0.0,27.0,2.0,10.0,6.0
EEE,2013J,113824,M,East Anglian Region,Lower Than A Level,90-100%,0-35,0,120,Y,Fail,-108.0,NA,34.0,93.0,69.0,59.0,NA,NA,NA,NA,5.0,15.0,101.0,0.0,324.0,0.0,0.0,101.0,5.0,23.0,16.0
EEE,2013J,117197,F,South Region,A Level or Equivalent,40-50%,0-35,0,130,N,Pass,-66.0,NA,31.0,71.0,65.0,95.0,120.0,97.0,157.0,92.0,1.0,250.0,183.0,1.0,178.0,139.0,0.0,198.0,5.0,33.0,21.0
EEE,2013J,125619,M,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,Y,Withdrawn,-123.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EEE,2013J,126337,M,West Midlands Region,Lower Than A Level,20-30%,0-35,0,90,N,Withdrawn,-183.0,153.0,32.0,90.0,70.0,64.0,124.0,40.0,NA,NA,3.0,516.0,289.0,5.0,582.0,153.0,0.0,133.0,19.0,46.0,39.0
EEE,2013J,128929,F,North Region,A Level or Equivalent,10-20,0-35,0,145,N,Distinction,-150.0,NA,33.0,100.0,66.0,92.0,123.0,95.0,158.0,82.0,4.0,38.0,209.0,0.0,659.0,224.0,0.0,165.0,14.0,48.0,49.0
EEE,2013J,132123,M,South East Region,HE Qualification,90-100%,0-35,0,60,N,Pass,-23.0,NA,29.0,96.0,64.0,90.0,116.0,83.0,158.0,89.0,10.0,232.0,177.0,0.0,185.0,244.0,0.0,150.0,11.0,24.0,21.0
EEE,2013J,134982,M,Wales,Lower Than A Level,90-100%,0-35,0,60,N,Pass,-113.0,NA,32.0,80.0,68.0,61.0,128.0,74.0,159.0,45.0,4.0,120.0,185.0,0.0,395.0,148.0,0.0,99.0,8.0,41.0,44.0
EEE,2013J,140060,M,West Midlands Region,A Level or Equivalent,90-100%,35-55,0,50,N,Distinction,-30.0,NA,32.0,87.0,67.0,86.0,123.0,88.0,158.0,93.0,10.0,184.0,305.0,15.0,982.0,364.0,0.0,164.0,2.0,59.0,25.0
EEE,2013J,140518,M,West Midlands Region,Lower Than A Level,80-90%,0-35,0,60,N,Fail,-96.0,NA,33.0,92.0,NA,NA,NA,NA,NA,NA,0.0,57.0,55.0,1.0,82.0,0.0,0.0,100.0,0.0,0.0,2.0
EEE,2013J,141301,M,West Midlands Region,Lower Than A Level,10-20,0-35,0,150,N,Withdrawn,-159.0,-134.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EEE,2013J,143711,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,N,Distinction,-43.0,NA,32.0,88.0,68.0,89.0,120.0,87.0,158.0,93.0,1.0,308.0,291.0,0.0,712.0,545.0,0.0,175.0,40.0,48.0,7.0
EEE,2013J,144448,M,North Western Region,Lower Than A Level,30-40%,35-55,0,110,N,Distinction,-61.0,NA,31.0,94.0,68.0,95.0,123.0,92.0,158.0,95.0,3.0,1692.0,692.0,1.0,1277.0,421.0,0.0,114.0,13.0,71.0,81.0
EEE,2013J,146125,M,Yorkshire Region,Lower Than A Level,80-90%,0-35,0,60,N,Withdrawn,-36.0,33.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,273.0,131.0,1.0,101.0,0.0,0.0,50.0,6.0,15.0,11.0
EEE,2013J,146974,F,London Region,A Level or Equivalent,10-20,0-35,0,90,N,Pass,-44.0,NA,33.0,87.0,75.0,71.0,124.0,80.0,159.0,62.0,2.0,136.0,136.0,0.0,341.0,213.0,0.0,107.0,55.0,51.0,13.0
EEE,2013J,153788,M,North Western Region,No Formal quals,20-30%,0-35,0,60,N,Fail,-153.0,NA,32.0,58.0,68.0,74.0,118.0,62.0,180.0,72.0,1.0,1840.0,446.0,2.0,324.0,171.0,0.0,139.0,24.0,62.0,91.0
EEE,2013J,160536,F,South Region,Lower Than A Level,30-40%,0-35,0,180,Y,Pass,-26.0,NA,31.0,99.0,68.0,96.0,124.0,78.0,159.0,80.0,4.0,252.0,302.0,0.0,252.0,306.0,0.0,179.0,4.0,21.0,80.0
EEE,2013J,164968,M,Scotland,HE Qualification,90-100%,0-35,0,45,N,Pass,-157.0,NA,32.0,90.0,67.0,99.0,128.0,86.0,158.0,90.0,0.0,79.0,212.0,0.0,569.0,200.0,0.0,202.0,5.0,6.0,33.0
EEE,2013J,165509,M,Yorkshire Region,A Level or Equivalent,0-10%,0-35,0,90,N,Pass,-186.0,NA,33.0,81.0,69.0,73.0,124.0,63.0,NA,NA,7.0,29.0,97.0,0.0,295.0,129.0,0.0,1.0,3.0,5.0,8.0
EEE,2013J,171107,F,West Midlands Region,A Level or Equivalent,10-20,0-35,0,270,Y,Withdrawn,-167.0,-45.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EEE,2013J,173710,M,East Anglian Region,HE Qualification,80-90%,35-55,0,90,N,Distinction,-102.0,NA,31.0,95.0,67.0,88.0,122.0,83.0,157.0,95.0,4.0,268.0,595.0,1.0,819.0,1003.0,0.0,189.0,20.0,50.0,151.0
EEE,2013J,173834,F,West Midlands Region,HE Qualification,90-100%,35-55,0,30,N,Pass,-59.0,NA,30.0,99.0,64.0,94.0,123.0,84.0,157.0,92.0,5.0,336.0,481.0,6.0,1006.0,137.0,0.0,173.0,44.0,117.0,73.0
EEE,2013J,174010,M,East Midlands Region,Lower Than A Level,10-20,0-35,0,30,N,Fail,-47.0,NA,32.0,97.0,67.0,91.0,124.0,67.0,NA,NA,1.0,479.0,393.0,1.0,522.0,0.0,0.0,132.0,10.0,72.0,65.0
EEE,2013J,176086,M,Wales,Lower Than A Level,20-30%,0-35,0,30,N,Fail,-43.0,NA,29.0,68.0,NA,NA,NA,NA,NA,NA,3.0,84.0,74.0,0.0,113.0,0.0,0.0,141.0,0.0,18.0,10.0
EEE,2013J,188273,F,East Anglian Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,-53.0,NA,31.0,97.0,66.0,93.0,119.0,89.0,158.0,90.0,0.0,40.0,145.0,5.0,495.0,137.0,0.0,73.0,6.0,8.0,43.0
EEE,2013J,189629,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,30,Y,Pass,-23.0,NA,41.0,72.0,68.0,77.0,NA,NA,174.0,60.0,2.0,415.0,263.0,6.0,393.0,224.0,0.0,212.0,22.0,121.0,12.0
EEE,2013J,191000,M,Scotland,Post Graduate Qualification,80-90%,0-35,0,60,N,Withdrawn,-29.0,193.0,33.0,72.0,67.0,89.0,124.0,87.0,NA,NA,6.0,71.0,136.0,0.0,506.0,0.0,0.0,102.0,193.0,16.0,23.0
EEE,2013J,195234,M,Scotland,Lower Than A Level,90-100%,0-35,0,30,N,Fail,-100.0,NA,33.0,57.0,68.0,55.0,NA,NA,NA,NA,14.0,115.0,163.0,0.0,373.0,0.0,0.0,187.0,1.0,17.0,30.0
EEE,2013J,197486,M,Wales,HE Qualification,60-70%,0-35,0,60,N,Pass,-124.0,NA,32.0,74.0,67.0,73.0,115.0,64.0,157.0,89.0,11.0,139.0,384.0,1.0,1203.0,164.0,0.0,246.0,27.0,114.0,45.0
EEE,2013J,197730,M,Scotland,HE Qualification,90-100%,35-55,0,140,N,Withdrawn,-81.0,-60.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EEE,2013J,200095,M,East Anglian Region,HE Qualification,80-90%,35-55,0,30,N,Pass,-44.0,NA,32.0,97.0,68.0,90.0,124.0,90.0,159.0,79.0,18.0,1161.0,998.0,0.0,2950.0,1102.0,0.0,275.0,18.0,54.0,98.0
EEE,2013J,202677,M,London Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,-67.0,NA,36.0,76.0,73.0,78.0,128.0,49.0,159.0,78.0,7.0,146.0,448.0,2.0,986.0,230.0,0.0,132.0,15.0,30.0,84.0
EEE,2013J,205425,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,N,Distinction,-125.0,NA,32.0,98.0,66.0,91.0,122.0,97.0,156.0,93.0,0.0,209.0,302.0,1.0,732.0,332.0,0.0,167.0,13.0,26.0,31.0
EEE,2013J,227192,M,London Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass,-31.0,NA,32.0,79.0,68.0,88.0,124.0,77.0,158.0,65.0,6.0,509.0,463.0,0.0,892.0,108.0,0.0,160.0,28.0,75.0,57.0
EEE,2013J,227811,M,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,30,N,Withdrawn,-166.0,-50.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EEE,2013J,231673,M,North Western Region,HE Qualification,70-80%,0-35,0,60,N,Withdrawn,-94.0,-45.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EEE,2013J,233311,F,South West Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass,-149.0,NA,29.0,95.0,67.0,94.0,120.0,94.0,157.0,91.0,2.0,1164.0,431.0,0.0,944.0,392.0,0.0,232.0,6.0,88.0,69.0
EEE,2013J,233771,M,South West Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-43.0,NA,31.0,93.0,67.0,87.0,123.0,81.0,158.0,80.0,3.0,107.0,166.0,2.0,268.0,120.0,0.0,163.0,8.0,19.0,27.0
EEE,2013J,234311,M,Scotland,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-15.0,NA,29.0,81.0,68.0,75.0,123.0,75.0,157.0,83.0,4.0,244.0,284.0,2.0,660.0,172.0,0.0,183.0,19.0,22.0,40.0
EEE,2013J,238249,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,30,N,Fail,-106.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EEE,2013J,242778,M,Scotland,HE Qualification,90-100%,35-55,0,150,N,Pass,-66.0,NA,31.0,85.0,67.0,83.0,123.0,76.0,159.0,86.0,5.0,159.0,288.0,0.0,384.0,218.0,0.0,145.0,8.0,13.0,49.0
EEE,2013J,242858,M,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-65.0,NA,33.0,89.0,68.0,89.0,124.0,88.0,159.0,94.0,10.0,334.0,506.0,0.0,1211.0,325.0,0.0,205.0,8.0,54.0,67.0
EEE,2013J,245316,M,North Western Region,Lower Than A Level,20-30%,0-35,0,30,N,Fail,-36.0,NA,32.0,87.0,68.0,88.0,NA,NA,NA,NA,1.0,94.0,236.0,0.0,476.0,0.0,0.0,133.0,2.0,12.0,27.0
EEE,2013J,245494,M,Scotland,HE Qualification,60-70%,35-55,0,90,N,Pass,-103.0,NA,31.0,90.0,67.0,86.0,124.0,82.0,159.0,84.0,2.0,1280.0,413.0,3.0,1163.0,403.0,1.0,442.0,72.0,104.0,84.0
EEE,2013J,245605,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Distinction,-186.0,NA,29.0,94.0,67.0,90.0,123.0,87.0,159.0,95.0,4.0,34.0,214.0,1.0,734.0,333.0,0.0,169.0,14.0,1.0,21.0
EEE,2013J,246060,M,West Midlands Region,Lower Than A Level,60-70%,0-35,0,120,N,Distinction,-39.0,NA,32.0,100.0,68.0,99.0,124.0,100.0,159.0,100.0,5.0,449.0,284.0,2.0,373.0,163.0,1.0,126.0,23.0,41.0,19.0
EEE,2013J,248734,M,North Region,A Level or Equivalent,NA,0-35,0,30,N,Withdrawn,-107.0,55.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EEE,2013J,250047,M,Scotland,HE Qualification,30-40%,35-55,0,90,N,Pass,-33.0,NA,28.0,90.0,64.0,92.0,121.0,86.0,154.0,81.0,11.0,2167.0,605.0,1.0,1329.0,265.0,0.0,204.0,33.0,112.0,117.0
EEE,2013J,255449,M,Scotland,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,-51.0,65.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,14.0,0.0,19.0,0.0,0.0,7.0,0.0,0.0,1.0
EEE,2013J,259662,M,West Midlands Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,-61.0,NA,27.0,79.0,64.0,78.0,120.0,78.0,155.0,92.0,10.0,2679.0,1064.0,20.0,1957.0,584.0,0.0,234.0,42.0,124.0,203.0
EEE,2013J,265769,F,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,90,N,Pass,-71.0,NA,32.0,88.0,75.0,94.0,124.0,50.0,166.0,87.0,21.0,12.0,139.0,0.0,700.0,78.0,1.0,181.0,6.0,107.0,19.0
EEE,2013J,266915,M,North Western Region,Lower Than A Level,60-70%,35-55,0,60,N,Withdrawn,-47.0,165.0,33.0,56.0,68.0,62.0,NA,NA,NA,NA,3.0,11.0,67.0,0.0,187.0,0.0,0.0,105.0,1.0,15.0,2.0
EEE,2013J,269764,M,Scotland,HE Qualification,60-70%,0-35,0,215,N,Pass,-12.0,NA,33.0,86.0,75.0,89.0,124.0,13.0,NA,NA,17.0,47.0,198.0,0.0,324.0,0.0,0.0,91.0,30.0,95.0,25.0
EEE,2013J,270638,M,South West Region,Lower Than A Level,20-30%,35-55,0,60,N,Pass,-36.0,NA,32.0,82.0,67.0,80.0,114.0,72.0,157.0,67.0,11.0,221.0,476.0,0.0,976.0,157.0,0.0,209.0,24.0,66.0,62.0
EEE,2013J,275162,M,South West Region,HE Qualification,30-40%,35-55,0,55,N,Fail,-19.0,NA,33.0,88.0,83.0,75.0,NA,NA,NA,NA,2.0,390.0,236.0,1.0,358.0,0.0,0.0,85.0,13.0,23.0,38.0
EEE,2013J,278786,M,Scotland,Lower Than A Level,40-50%,35-55,0,255,N,Withdrawn,-100.0,-93.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EEE,2013J,280017,M,South Region,A Level or Equivalent,20-30%,0-35,0,150,N,Pass,-108.0,NA,33.0,83.0,68.0,65.0,131.0,74.0,166.0,71.0,15.0,128.0,265.0,0.0,970.0,54.0,0.0,158.0,110.0,52.0,45.0
EEE,2013J,281656,M,North Region,Lower Than A Level,30-40%,0-35,0,210,Y,Fail,-75.0,NA,33.0,95.0,NA,NA,NA,NA,NA,NA,3.0,18.0,99.0,2.0,104.0,0.0,0.0,125.0,6.0,21.0,9.0
EEE,2013J,282585,M,Scotland,Lower Than A Level,10-20,0-35,0,90,N,Fail,-102.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,7.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0
EEE,2013J,283133,M,East Midlands Region,HE Qualification,50-60%,0-35,0,120,N,Distinction,-99.0,NA,32.0,91.0,67.0,93.0,122.0,97.0,157.0,90.0,1.0,1095.0,258.0,0.0,508.0,229.0,0.0,189.0,7.0,15.0,27.0
EEE,2013J,283811,M,North Western Region,HE Qualification,40-50%,35-55,0,60,N,Withdrawn,-130.0,-10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EEE,2013J,286262,M,South Region,Lower Than A Level,90-100%,0-35,0,30,Y,Withdrawn,-9.0,103.0,40.0,78.0,NA,NA,NA,NA,NA,NA,4.0,51.0,27.0,0.0,169.0,0.0,0.0,87.0,0.0,11.0,0.0
EEE,2013J,286527,F,North Western Region,A Level or Equivalent,70-80%,0-35,0,120,N,Withdrawn,-26.0,145.0,33.0,59.0,68.0,68.0,127.0,46.0,NA,NA,4.0,48.0,63.0,1.0,134.0,0.0,0.0,3.0,0.0,37.0,0.0
EEE,2013J,288282,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,30,N,Pass,-145.0,NA,32.0,76.0,67.0,74.0,124.0,80.0,158.0,82.0,1.0,764.0,868.0,3.0,1163.0,780.0,0.0,258.0,18.0,23.0,140.0
EEE,2013J,288769,F,South West Region,A Level or Equivalent,40-50%,0-35,0,60,N,Withdrawn,-100.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
EEE,2013J,290382,M,London Region,Lower Than A Level,10-20,0-35,0,60,N,Distinction,-59.0,NA,32.0,92.0,68.0,92.0,124.0,94.0,154.0,96.0,5.0,637.0,346.0,2.0,893.0,556.0,0.0,137.0,21.0,29.0,58.0
EEE,2013J,297853,M,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Distinction,-78.0,NA,31.0,100.0,67.0,99.0,123.0,94.0,157.0,90.0,6.0,160.0,383.0,0.0,1212.0,444.0,0.0,133.0,6.0,19.0,114.0
EEE,2013J,300592,M,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,90,N,Pass,-31.0,NA,33.0,60.0,68.0,85.0,132.0,75.0,159.0,64.0,19.0,104.0,134.0,0.0,517.0,33.0,0.0,108.0,11.0,20.0,0.0
EEE,2013J,305036,M,North Western Region,Lower Than A Level,50-60%,0-35,0,30,N,Pass,-25.0,NA,33.0,79.0,68.0,74.0,139.0,66.0,172.0,46.0,3.0,16.0,90.0,0.0,259.0,77.0,0.0,126.0,1.0,8.0,5.0
EEE,2013J,305783,M,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Pass,-79.0,NA,32.0,94.0,67.0,85.0,123.0,98.0,157.0,90.0,3.0,318.0,505.0,2.0,780.0,341.0,0.0,201.0,22.0,22.0,105.0
EEE,2013J,306150,M,Scotland,A Level or Equivalent,80-90%,0-35,0,90,N,Pass,-157.0,NA,31.0,79.0,66.0,63.0,123.0,60.0,159.0,66.0,28.0,146.0,513.0,8.0,1242.0,265.0,0.0,355.0,25.0,60.0,58.0
EEE,2013J,311845,M,Scotland,A Level or Equivalent,80-90%,35-55,0,30,N,Distinction,-19.0,NA,32.0,97.0,68.0,93.0,126.0,90.0,159.0,96.0,3.0,1072.0,633.0,1.0,899.0,707.0,0.0,261.0,30.0,112.0,142.0
EEE,2013J,313501,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,30,N,Pass,-102.0,NA,34.0,91.0,68.0,88.0,124.0,82.0,166.0,86.0,4.0,13.0,229.0,0.0,1282.0,192.0,0.0,108.0,19.0,27.0,32.0
EEE,2013J,324332,F,South Region,A Level or Equivalent,NA,0-35,0,60,N,Pass,-53.0,NA,33.0,89.0,68.0,78.0,124.0,77.0,159.0,80.0,8.0,417.0,384.0,3.0,697.0,392.0,0.0,203.0,7.0,28.0,56.0
EEE,2013J,328844,M,South East Region,A Level or Equivalent,20-30%,0-35,0,70,N,Pass,-145.0,NA,35.0,79.0,67.0,87.0,118.0,69.0,157.0,88.0,4.0,40.0,173.0,1.0,596.0,159.0,0.0,187.0,22.0,31.0,49.0
EEE,2013J,328942,M,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,40,N,Pass,-49.0,NA,19.0,96.0,63.0,90.0,114.0,89.0,152.0,93.0,4.0,421.0,495.0,0.0,951.0,729.0,0.0,178.0,16.0,89.0,125.0
EEE,2013J,329673,M,North Region,Lower Than A Level,NA,35-55,0,60,N,Pass,-54.0,NA,31.0,92.0,66.0,85.0,123.0,78.0,158.0,87.0,17.0,3254.0,2130.0,22.0,2590.0,582.0,1.0,344.0,93.0,267.0,299.0
EEE,2013J,330354,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Withdrawn,-179.0,-121.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EEE,2013J,330530,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,-53.0,159.0,32.0,64.0,74.0,51.0,NA,NA,NA,NA,5.0,19.0,46.0,0.0,181.0,0.0,0.0,4.0,8.0,20.0,1.0
EEE,2013J,330937,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,60,N,Withdrawn,-75.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,12.0,31.0,0.0,20.0,0.0,0.0,112.0,24.0,0.0,1.0
EEE,2013J,333493,M,South Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass,-158.0,NA,31.0,97.0,67.0,92.0,123.0,78.0,159.0,49.0,3.0,53.0,468.0,1.0,1860.0,123.0,0.0,167.0,6.0,24.0,38.0
EEE,2013J,333976,M,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,30,N,Fail,-36.0,NA,43.0,70.0,NA,NA,NA,NA,NA,NA,2.0,43.0,107.0,3.0,151.0,0.0,0.0,111.0,2.0,25.0,25.0
EEE,2013J,334154,M,West Midlands Region,A Level or Equivalent,10-20,0-35,0,30,N,Pass,-36.0,NA,32.0,92.0,66.0,96.0,124.0,49.0,NA,NA,4.0,129.0,149.0,0.0,462.0,57.0,0.0,116.0,6.0,21.0,44.0
EEE,2013J,336277,M,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,Withdrawn,-32.0,47.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEE,2013J,336402,F,North Western Region,A Level or Equivalent,10-20,0-35,0,40,N,Pass,-58.0,NA,47.0,84.0,68.0,90.0,124.0,92.0,166.0,83.0,1.0,122.0,257.0,0.0,620.0,201.0,0.0,183.0,10.0,27.0,41.0
EEE,2013J,338894,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,160,N,Pass,-45.0,NA,30.0,50.0,67.0,66.0,124.0,82.0,158.0,60.0,3.0,38.0,100.0,0.0,135.0,0.0,0.0,93.0,2.0,8.0,1.0
EEE,2013J,339353,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Withdrawn,-81.0,-75.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
