code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,37415_date,37415_score,37416_date,37416_score,37417_date,37417_score,37418_date,37418_score,37419_date,37419_score,37420_date,37420_score,37421_date,37421_score,37422_date,37422_score,37423_date,37423_score,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucontent,clicks_quiz,clicks_resource,clicks_subpage
GGG,2013J,138710,M,East Midlands Region,A Level or Equivalent,60-70%,0-35,0,30,N,Pass,-74.0,NA,29.0,40.0,128.0,5.0,172.0,75.0,180.0,80.0,180.0,60.0,227.0,80.0,227.0,80.0,227.0,80.0,227.0,100.0,102.0,2.0,142.0,197.0,199.0,62.0,33.0
GGG,2013J,142990,M,South West Region,Lower Than A Level,20-30%,0-35,0,30,Y,Fail,-75.0,NA,59.0,14.0,185.0,73.0,195.0,68.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,27.0,69.0,4.0,14.0,20.0
GGG,2013J,155256,M,South East Region,A Level or Equivalent,30-40%,0-35,0,30,N,Distinction,-24.0,NA,57.0,70.0,121.0,75.0,169.0,85.0,90.0,100.0,132.0,100.0,153.0,100.0,199.0,100.0,213.0,100.0,214.0,100.0,42.0,2.0,67.0,200.0,83.0,10.0,3.0
GGG,2013J,156127,F,North Western Region,Lower Than A Level,0-10%,0-35,0,30,N,Fail,-36.0,NA,53.0,50.0,126.0,60.0,NA,NA,112.0,100.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.0,4.0,48.0,93.0,35.0,20.0,4.0
GGG,2013J,159484,F,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,30,N,Fail,-110.0,NA,93.0,50.0,170.0,0.0,NA,NA,180.0,100.0,181.0,100.0,181.0,100.0,NA,NA,NA,NA,NA,NA,0.0,0.0,25.0,34.0,36.0,5.0,1.0
GGG,2013J,164922,F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,30,N,Pass,-32.0,NA,60.0,85.0,107.0,90.0,163.0,95.0,94.0,100.0,150.0,100.0,154.0,100.0,185.0,100.0,200.0,100.0,213.0,100.0,7.0,2.0,95.0,270.0,102.0,13.0,18.0
GGG,2013J,166183,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,30,Y,Fail,-44.0,NA,61.0,80.0,145.0,85.0,228.0,0.0,230.0,80.0,231.0,80.0,231.0,100.0,231.0,80.0,NA,NA,NA,NA,3.0,0.0,27.0,14.0,62.0,4.0,2.0
GGG,2013J,189664,F,West Midlands Region,Lower Than A Level,0-10%,35-55,0,30,Y,Pass,-145.0,NA,43.0,85.0,91.0,85.0,163.0,75.0,88.0,100.0,129.0,40.0,149.0,100.0,185.0,100.0,199.0,80.0,222.0,60.0,71.0,0.0,134.0,78.0,111.0,21.0,32.0
GGG,2013J,204745,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,Fail,-33.0,NA,61.0,65.0,NA,NA,NA,NA,110.0,100.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.0,1.0,102.0,125.0,25.0,68.0,27.0
GGG,2013J,233153,F,South East Region,Lower Than A Level,50-60%,0-35,0,150,N,Pass,-36.0,NA,58.0,80.0,115.0,85.0,172.0,85.0,96.0,100.0,171.0,40.0,164.0,100.0,207.0,100.0,231.0,60.0,231.0,80.0,181.0,2.0,279.0,591.0,123.0,51.0,24.0
GGG,2013J,236848,F,South Region,A Level or Equivalent,50-60%,0-35,0,30,N,Fail,-75.0,NA,61.0,84.0,122.0,45.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GGG,2013J,239095,F,Yorkshire Region,HE Qualification,0-10%,35-55,0,30,N,Pass,-75.0,NA,52.0,65.0,117.0,70.0,170.0,74.0,87.0,80.0,132.0,100.0,151.0,40.0,201.0,100.0,207.0,100.0,214.0,100.0,125.0,1.0,90.0,185.0,122.0,15.0,15.0
GGG,2013J,249965,F,North Western Region,Lower Than A Level,20-30%,0-35,0,30,Y,Distinction,-32.0,NA,60.0,90.0,120.0,90.0,178.0,90.0,89.0,80.0,143.0,100.0,171.0,100.0,207.0,100.0,223.0,100.0,227.0,100.0,115.0,1.0,180.0,331.0,81.0,52.0,17.0
GGG,2013J,253208,F,North Region,A Level or Equivalent,60-70%,0-35,0,30,N,Distinction,-39.0,NA,61.0,90.0,131.0,85.0,180.0,90.0,214.0,100.0,214.0,80.0,214.0,100.0,229.0,100.0,231.0,80.0,231.0,40.0,2.0,5.0,152.0,266.0,122.0,26.0,15.0
GGG,2013J,253567,M,West Midlands Region,Lower Than A Level,20-30%,35-55,0,30,N,Fail,-39.0,NA,58.0,85.0,119.0,85.0,173.0,50.0,94.0,100.0,230.0,40.0,230.0,60.0,230.0,80.0,230.0,80.0,230.0,80.0,40.0,6.0,61.0,61.0,86.0,10.0,16.0
GGG,2013J,261718,F,South East Region,Lower Than A Level,50-60%,0-35,0,30,N,Pass,-38.0,NA,NA,NA,124.0,80.0,184.0,70.0,110.0,100.0,151.0,80.0,167.0,80.0,209.0,100.0,NA,NA,221.0,100.0,4.0,6.0,90.0,231.0,117.0,28.0,17.0
GGG,2013J,266626,F,East Anglian Region,Lower Than A Level,20-30%,35-55,0,30,N,Pass,-113.0,NA,61.0,65.0,124.0,85.0,176.0,95.0,229.0,80.0,229.0,100.0,229.0,80.0,229.0,100.0,229.0,60.0,229.0,100.0,89.0,4.0,161.0,309.0,100.0,71.0,24.0
GGG,2013J,268391,F,West Midlands Region,No Formal quals,0-10%,0-35,0,30,N,Fail,-18.0,NA,38.0,72.0,117.0,58.0,190.0,69.0,111.0,60.0,173.0,40.0,222.0,60.0,228.0,60.0,228.0,60.0,NA,NA,33.0,2.0,131.0,315.0,111.0,17.0,18.0
GGG,2013J,276830,F,East Midlands Region,Lower Than A Level,20-30%,0-35,0,30,N,Distinction,-64.0,NA,60.0,65.0,124.0,75.0,173.0,80.0,122.0,100.0,150.0,100.0,NA,NA,223.0,100.0,228.0,80.0,NA,NA,5.0,0.0,49.0,170.0,51.0,4.0,4.0
GGG,2013J,279747,F,South Region,Lower Than A Level,20-30%,35-55,0,30,N,Distinction,-81.0,NA,53.0,80.0,119.0,80.0,169.0,84.0,87.0,100.0,129.0,100.0,149.0,100.0,185.0,100.0,199.0,100.0,213.0,100.0,4724.0,11.0,3102.0,2354.0,144.0,243.0,190.0
GGG,2013J,281619,F,South East Region,A Level or Equivalent,30-40%,35-55,0,30,Y,Pass,-29.0,NA,59.0,45.0,121.0,50.0,172.0,40.0,214.0,100.0,199.0,60.0,224.0,60.0,199.0,80.0,NA,NA,NA,NA,2.0,7.0,89.0,115.0,139.0,6.0,4.0
GGG,2013J,285705,F,South Region,A Level or Equivalent,40-50%,0-35,0,30,N,Pass,-29.0,NA,NA,NA,123.0,75.0,139.0,60.0,154.0,100.0,154.0,100.0,154.0,100.0,185.0,80.0,NA,NA,NA,NA,4.0,0.0,90.0,237.0,105.0,16.0,32.0
GGG,2013J,286160,F,North Region,A Level or Equivalent,60-70%,0-35,0,30,N,Distinction,-46.0,NA,53.0,80.0,121.0,85.0,170.0,85.0,95.0,100.0,136.0,100.0,151.0,100.0,194.0,100.0,208.0,80.0,227.0,100.0,240.0,3.0,234.0,508.0,157.0,26.0,15.0
GGG,2013J,286762,F,North Region,Lower Than A Level,20-30%,35-55,0,30,N,Pass,-39.0,NA,59.0,70.0,120.0,75.0,171.0,60.0,102.0,100.0,137.0,100.0,159.0,100.0,209.0,100.0,209.0,80.0,217.0,100.0,32.0,0.0,39.0,207.0,133.0,7.0,25.0
GGG,2013J,290658,F,North Western Region,Lower Than A Level,70-80%,0-35,0,90,N,Fail,-23.0,NA,12.0,80.0,113.0,65.0,190.0,75.0,195.0,80.0,195.0,40.0,208.0,60.0,208.0,80.0,208.0,100.0,NA,NA,24.0,1.0,109.0,7.0,74.0,4.0,6.0
GGG,2013J,292136,F,North Western Region,Lower Than A Level,50-60%,0-35,0,30,N,Distinction,-50.0,NA,57.0,80.0,123.0,75.0,178.0,80.0,158.0,100.0,158.0,100.0,158.0,100.0,220.0,100.0,NA,NA,229.0,100.0,3.0,2.0,128.0,181.0,80.0,34.0,32.0
GGG,2013J,296993,F,Yorkshire Region,HE Qualification,30-40%,0-35,0,30,N,Pass,-80.0,NA,53.0,55.0,118.0,55.0,172.0,55.0,87.0,100.0,145.0,100.0,157.0,80.0,200.0,100.0,NA,NA,NA,NA,78.0,0.0,135.0,257.0,66.0,19.0,19.0
GGG,2013J,297990,M,North Western Region,Lower Than A Level,20-30%,35-55,0,30,N,Distinction,-114.0,NA,55.0,80.0,121.0,55.0,171.0,65.0,90.0,100.0,145.0,40.0,173.0,80.0,201.0,100.0,NA,NA,NA,NA,153.0,66.0,92.0,165.0,83.0,14.0,19.0
GGG,2013J,298186,F,East Midlands Region,Lower Than A Level,10-20,35-55,0,45,N,Pass,-38.0,NA,52.0,60.0,122.0,70.0,171.0,69.0,154.0,60.0,158.0,40.0,158.0,60.0,228.0,60.0,227.0,40.0,228.0,80.0,17.0,0.0,132.0,100.0,149.0,53.0,65.0
GGG,2013J,300508,F,East Midlands Region,Lower Than A Level,30-40%,35-55,0,30,N,Pass,-36.0,NA,58.0,75.0,121.0,70.0,172.0,84.0,94.0,100.0,157.0,80.0,157.0,100.0,194.0,100.0,199.0,100.0,213.0,100.0,104.0,7.0,176.0,184.0,122.0,14.0,21.0
GGG,2013J,303165,F,Yorkshire Region,Lower Than A Level,10-20,35-55,0,30,N,Pass,-29.0,NA,57.0,60.0,124.0,65.0,173.0,70.0,102.0,100.0,144.0,80.0,NA,NA,230.0,100.0,230.0,60.0,230.0,40.0,514.0,28.0,219.0,355.0,160.0,64.0,38.0
GGG,2013J,306610,F,South East Region,Lower Than A Level,70-80%,35-55,0,30,N,Fail,-75.0,NA,59.0,80.0,122.0,85.0,192.0,62.0,90.0,100.0,136.0,100.0,164.0,100.0,208.0,100.0,NA,NA,NA,NA,73.0,38.0,225.0,386.0,146.0,77.0,73.0
GGG,2013J,308634,M,London Region,No Formal quals,20-30%,35-55,0,30,N,Fail,-24.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GGG,2013J,311158,F,South Region,Lower Than A Level,40-50%,0-35,0,30,Y,Pass,-93.0,NA,38.0,65.0,122.0,75.0,180.0,75.0,94.0,100.0,135.0,100.0,157.0,80.0,216.0,100.0,220.0,80.0,223.0,80.0,103.0,4.0,131.0,308.0,110.0,21.0,30.0
GGG,2013J,313070,M,London Region,A Level or Equivalent,80-90%,35-55,0,30,N,Withdrawn,-45.0,-17.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GGG,2013J,319331,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,30,N,Distinction,-26.0,NA,60.0,95.0,135.0,85.0,194.0,20.0,108.0,100.0,194.0,60.0,196.0,80.0,214.0,100.0,230.0,100.0,214.0,100.0,56.0,0.0,142.0,83.0,82.0,38.0,28.0
GGG,2013J,324095,F,London Region,A Level or Equivalent,0-10%,0-35,0,30,N,Pass,-157.0,NA,59.0,50.0,121.0,70.0,165.0,55.0,102.0,80.0,179.0,100.0,179.0,80.0,192.0,100.0,NA,NA,NA,NA,12.0,0.0,131.0,151.0,65.0,25.0,14.0
GGG,2013J,325909,F,South Region,Lower Than A Level,20-30%,0-35,0,30,N,Fail,-128.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0,1.0,10.0,6.0,0.0,8.0,10.0
GGG,2013J,330177,M,East Midlands Region,Lower Than A Level,40-50%,0-35,0,60,Y,Pass,-43.0,NA,59.0,84.0,123.0,85.0,172.0,60.0,117.0,80.0,144.0,80.0,173.0,80.0,217.0,100.0,221.0,80.0,227.0,100.0,250.0,34.0,367.0,499.0,131.0,115.0,59.0
GGG,2013J,332715,F,South Region,Lower Than A Level,80-90%,0-35,0,30,N,Distinction,-143.0,NA,60.0,70.0,117.0,65.0,170.0,80.0,95.0,100.0,147.0,100.0,160.0,80.0,195.0,100.0,201.0,100.0,223.0,100.0,0.0,2.0,79.0,401.0,111.0,14.0,9.0
GGG,2013J,338446,F,Yorkshire Region,Lower Than A Level,50-60%,0-35,0,30,N,Fail,-39.0,NA,72.0,70.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.0,1.0,8.0,0.0,0.0,0.0,1.0
GGG,2013J,339727,F,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Distinction,-49.0,NA,57.0,95.0,121.0,85.0,186.0,90.0,101.0,100.0,222.0,100.0,224.0,80.0,227.0,100.0,227.0,100.0,227.0,100.0,23.0,2.0,29.0,150.0,108.0,5.0,3.0
GGG,2013J,339853,F,South West Region,Lower Than A Level,40-50%,0-35,0,30,Y,Pass,-67.0,NA,58.0,41.0,121.0,85.0,173.0,80.0,108.0,60.0,131.0,80.0,158.0,80.0,213.0,100.0,213.0,100.0,213.0,100.0,68.0,0.0,141.0,132.0,98.0,26.0,21.0
GGG,2013J,340486,F,East Midlands Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction,-109.0,NA,54.0,65.0,122.0,60.0,171.0,75.0,97.0,100.0,137.0,100.0,151.0,100.0,194.0,100.0,210.0,80.0,227.0,100.0,120.0,2.0,191.0,639.0,222.0,45.0,21.0
GGG,2013J,348579,F,North Western Region,A Level or Equivalent,40-50%,0-35,0,30,Y,Pass,-49.0,NA,59.0,88.0,122.0,58.0,170.0,57.0,96.0,100.0,140.0,100.0,172.0,100.0,188.0,100.0,201.0,100.0,227.0,100.0,68.0,0.0,134.0,262.0,130.0,14.0,9.0
GGG,2013J,349360,F,London Region,A Level or Equivalent,50-60%,35-55,0,30,N,Pass,-89.0,NA,59.0,65.0,118.0,60.0,166.0,72.0,108.0,80.0,129.0,100.0,158.0,100.0,185.0,100.0,199.0,100.0,213.0,80.0,220.0,2.0,154.0,105.0,180.0,19.0,23.0
GGG,2013J,352382,F,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,30,N,Pass,-53.0,NA,52.0,80.0,119.0,65.0,172.0,58.0,94.0,100.0,136.0,100.0,151.0,100.0,189.0,100.0,207.0,40.0,230.0,100.0,96.0,2.0,222.0,282.0,113.0,70.0,32.0
GGG,2013J,360683,F,South Region,A Level or Equivalent,50-60%,0-35,0,30,N,Pass,-24.0,NA,77.0,85.0,123.0,95.0,172.0,85.0,213.0,100.0,213.0,60.0,213.0,100.0,213.0,100.0,213.0,60.0,213.0,100.0,12.0,0.0,60.0,194.0,126.0,5.0,25.0
GGG,2013J,365192,F,South West Region,A Level or Equivalent,0-10%,35-55,0,90,N,Pass,-31.0,NA,NA,NA,121.0,62.0,171.0,62.0,130.0,100.0,130.0,100.0,161.0,60.0,210.0,100.0,NA,NA,NA,NA,0.0,1.0,198.0,309.0,75.0,74.0,126.0
GGG,2013J,368245,F,North Western Region,A Level or Equivalent,0-10%,0-35,0,30,N,Fail,-16.0,NA,60.0,60.0,103.0,85.0,187.0,84.0,89.0,100.0,129.0,100.0,158.0,80.0,207.0,100.0,207.0,60.0,228.0,80.0,44.0,3.0,205.0,289.0,114.0,48.0,44.0
GGG,2013J,368969,F,South West Region,Lower Than A Level,80-90%,35-55,0,30,N,Pass,-29.0,NA,NA,NA,NA,NA,NA,NA,223.0,80.0,223.0,60.0,223.0,100.0,223.0,100.0,223.0,100.0,223.0,80.0,6.0,0.0,64.0,168.0,160.0,27.0,16.0
GGG,2013J,369378,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,30,N,Withdrawn,-135.0,166.0,44.0,85.0,116.0,81.0,NA,NA,101.0,100.0,136.0,80.0,NA,NA,NA,NA,NA,NA,NA,NA,122.0,0.0,82.0,97.0,32.0,11.0,10.0
GGG,2013J,372691,F,East Midlands Region,Lower Than A Level,70-80%,0-35,0,30,N,Pass,-23.0,NA,57.0,78.0,123.0,75.0,179.0,73.0,97.0,100.0,161.0,80.0,161.0,100.0,207.0,100.0,207.0,100.0,213.0,100.0,0.0,0.0,82.0,316.0,123.0,14.0,13.0
GGG,2013J,375600,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,30,N,Pass,-99.0,NA,35.0,70.0,119.0,70.0,172.0,58.0,101.0,80.0,143.0,100.0,152.0,80.0,187.0,100.0,200.0,80.0,NA,NA,19.0,2.0,98.0,244.0,85.0,21.0,24.0
GGG,2013J,375882,F,London Region,Lower Than A Level,0-10%,35-55,0,60,N,Fail,-71.0,NA,61.0,64.0,123.0,50.0,184.0,52.0,192.0,100.0,228.0,100.0,231.0,100.0,231.0,100.0,231.0,100.0,231.0,100.0,63.0,0.0,197.0,294.0,98.0,54.0,18.0
GGG,2013J,379113,F,London Region,A Level or Equivalent,0-10%,35-55,0,30,N,Fail,-114.0,NA,61.0,45.0,135.0,35.0,177.0,50.0,NA,NA,NA,NA,230.0,80.0,230.0,60.0,230.0,80.0,230.0,60.0,0.0,10.0,52.0,103.0,117.0,5.0,8.0
GGG,2013J,379844,M,South East Region,Lower Than A Level,30-40%,35-55,0,30,N,Pass,-44.0,NA,56.0,56.0,123.0,65.0,172.0,80.0,117.0,80.0,171.0,100.0,174.0,100.0,220.0,100.0,220.0,100.0,220.0,100.0,62.0,0.0,70.0,281.0,88.0,9.0,22.0
GGG,2013J,383420,M,North Region,A Level or Equivalent,0-10%,0-35,0,60,Y,Withdrawn,-101.0,-33.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GGG,2013J,387550,F,London Region,Lower Than A Level,10-20,35-55,0,30,N,Fail,-58.0,NA,60.0,65.0,124.0,70.0,NA,NA,94.0,100.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0,0.0,35.0,208.0,11.0,16.0,24.0
GGG,2013J,392215,F,South Region,Lower Than A Level,80-90%,0-35,0,30,N,Pass,-36.0,NA,60.0,54.0,124.0,60.0,180.0,52.0,109.0,80.0,220.0,40.0,220.0,72.0,220.0,100.0,220.0,80.0,220.0,80.0,56.0,0.0,52.0,33.0,86.0,20.0,19.0
GGG,2013J,393451,F,East Anglian Region,Lower Than A Level,50-60%,35-55,0,30,N,Fail,-89.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.0,0.0,36.0,23.0,0.0,3.0,8.0
GGG,2013J,395954,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,30,N,Fail,-24.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,30.0,18.0,0.0,24.0,4.0
GGG,2013J,396145,F,North Western Region,Lower Than A Level,10-20,0-35,0,30,N,Pass,-35.0,NA,53.0,80.0,120.0,85.0,162.0,69.0,88.0,100.0,135.0,100.0,151.0,80.0,195.0,100.0,200.0,100.0,213.0,80.0,61.0,1.0,121.0,232.0,126.0,10.0,20.0
GGG,2013J,401139,F,East Anglian Region,Lower Than A Level,0-10%,0-35,0,30,N,Pass,-33.0,NA,58.0,60.0,121.0,65.0,173.0,65.0,94.0,100.0,137.0,100.0,164.0,100.0,195.0,100.0,207.0,40.0,NA,NA,61.0,0.0,64.0,243.0,114.0,6.0,11.0
GGG,2013J,404325,F,London Region,A Level or Equivalent,10-20,0-35,0,30,N,Fail,-11.0,NA,82.0,66.0,128.0,71.0,179.0,60.0,125.0,100.0,130.0,100.0,181.0,80.0,223.0,80.0,223.0,60.0,223.0,100.0,22.0,0.0,43.0,55.0,127.0,14.0,12.0
GGG,2013J,410573,F,East Midlands Region,Lower Than A Level,10-20,0-35,0,30,N,Fail,-59.0,NA,56.0,65.0,115.0,70.0,180.0,50.0,140.0,20.0,230.0,100.0,230.0,88.0,230.0,80.0,230.0,20.0,230.0,60.0,20.0,0.0,140.0,53.0,105.0,89.0,49.0
GGG,2013J,411105,F,South Region,A Level or Equivalent,10-20,0-35,0,30,N,Pass,-36.0,NA,53.0,65.0,124.0,45.0,184.0,60.0,193.0,60.0,207.0,100.0,207.0,60.0,213.0,100.0,220.0,80.0,229.0,80.0,44.0,4.0,106.0,181.0,153.0,14.0,16.0
GGG,2013J,416355,F,London Region,A Level or Equivalent,30-40%,35-55,0,30,N,Pass,-24.0,NA,NA,NA,119.0,65.0,179.0,85.0,112.0,100.0,186.0,80.0,186.0,80.0,227.0,100.0,227.0,80.0,227.0,100.0,56.0,4.0,123.0,227.0,168.0,48.0,47.0
GGG,2013J,417220,F,London Region,A Level or Equivalent,20-30%,0-35,0,30,Y,Fail,-38.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,6.0,1.0,0.0,6.0,5.0
GGG,2013J,418032,F,South Region,A Level or Equivalent,60-70%,35-55,0,30,N,Distinction,-45.0,NA,73.0,70.0,124.0,70.0,173.0,76.0,111.0,80.0,153.0,100.0,207.0,100.0,209.0,100.0,213.0,100.0,215.0,100.0,121.0,5.0,139.0,358.0,297.0,6.0,15.0
GGG,2013J,421999,F,South Region,Lower Than A Level,10-20,0-35,0,90,N,Fail,-15.0,NA,42.0,60.0,114.0,50.0,154.0,58.0,90.0,60.0,131.0,60.0,149.0,80.0,187.0,80.0,203.0,80.0,213.0,80.0,24.0,0.0,89.0,197.0,92.0,11.0,11.0
