code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,25362_date,25362_score,25363_date,25363_score,25364_date,25364_score,25365_date,25365_score,25366_date,25366_score,25367_date,25367_score,25368_date,25368_score,clicks_externalquiz,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_ouwiki,clicks_resource,clicks_subpage,clicks_url
DDD,2014J,51033,F,South Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,-154.0,NA,6.0,95.0,34.0,100.0,60.0,98.0,110.0,83.0,146.0,88.0,194.0,81.0,243.0,53.0,15.0,284.0,0.0,181.0,17.0,109.0,0.0,61.0,221.0,25.0
DDD,2014J,51153,F,East Midlands Region,HE Qualification,30-40%,35-55,0,60,N,Pass,-149.0,NA,18.0,75.0,39.0,60.0,61.0,75.0,111.0,75.0,145.0,71.0,195.0,23.0,243.0,53.0,10.0,609.0,9.0,260.0,28.0,51.0,0.0,104.0,81.0,27.0
DDD,2014J,51253,F,North Western Region,Lower Than A Level,40-50%,0-35,0,120,N,Withdrawn,-161.0,-109.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DDD,2014J,51955,M,Scotland,A Level or Equivalent,80-90%,0-35,0,60,Y,Fail,-51.0,NA,19.0,50.0,40.0,45.0,62.0,55.0,111.0,70.0,149.0,64.0,195.0,42.0,242.0,22.0,2.0,5.0,0.0,128.0,1.0,106.0,0.0,48.0,112.0,3.0
DDD,2014J,53632,M,Wales,Lower Than A Level,90-100%,0-35,2,60,N,Fail,-32.0,NA,-1.0,80.0,-1.0,91.0,-1.0,91.0,-1.0,98.0,-1.0,75.0,NA,NA,NA,NA,0.0,6.0,0.0,20.0,0.0,19.0,0.0,7.0,17.0,4.0
DDD,2014J,54810,M,South Region,HE Qualification,40-50%,0-35,1,60,N,Pass,-96.0,NA,-1.0,90.0,-1.0,82.0,-1.0,82.0,113.0,77.0,152.0,44.0,201.0,47.0,242.0,53.0,7.0,3.0,1.0,118.0,1.0,183.0,0.0,41.0,81.0,6.0
DDD,2014J,58731,F,South West Region,A Level or Equivalent,40-50%,0-35,1,110,Y,Pass,4.0,NA,34.0,55.0,40.0,60.0,61.0,55.0,110.0,66.0,146.0,60.0,195.0,58.0,245.0,40.0,1.0,0.0,8.0,50.0,0.0,34.0,0.0,40.0,41.0,3.0
DDD,2014J,63015,F,East Anglian Region,Lower Than A Level,70-80%,35-55,1,60,N,Fail,-18.0,NA,16.0,75.0,39.0,95.0,62.0,75.0,108.0,91.0,146.0,81.0,195.0,67.0,243.0,42.0,2.0,226.0,0.0,163.0,9.0,47.0,0.0,50.0,162.0,35.0
DDD,2014J,63827,M,South West Region,Lower Than A Level,40-50%,0-35,1,60,N,Withdrawn,-68.0,148.0,20.0,85.0,41.0,90.0,62.0,60.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,39.0,0.0,20.0,0.0,20.0,17.0,11.0
DDD,2014J,68417,M,Scotland,Lower Than A Level,70-80%,0-35,0,60,N,Pass,-86.0,NA,15.0,90.0,39.0,85.0,60.0,83.0,110.0,77.0,144.0,70.0,193.0,72.0,243.0,58.0,12.0,488.0,68.0,237.0,15.0,261.0,0.0,54.0,129.0,6.0
DDD,2014J,69239,F,East Midlands Region,Lower Than A Level,50-60%,0-35,0,90,Y,Withdrawn,-99.0,-85.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DDD,2014J,71676,F,East Midlands Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass,-59.0,NA,19.0,70.0,38.0,70.0,61.0,60.0,110.0,74.0,145.0,49.0,194.0,50.0,243.0,47.0,24.0,121.0,6.0,300.0,43.0,145.0,0.0,74.0,336.0,28.0
DDD,2014J,73019,M,Scotland,HE Qualification,50-60%,0-35,0,60,N,Fail,-8.0,NA,20.0,60.0,41.0,90.0,62.0,38.0,111.0,63.0,146.0,6.0,194.0,16.0,242.0,42.0,0.0,105.0,16.0,129.0,2.0,259.0,0.0,20.0,8.0,1.0
DDD,2014J,73664,M,North Western Region,A Level or Equivalent,40-50%,0-35,0,120,N,Fail,-95.0,NA,25.0,40.0,NA,NA,NA,NA,115.0,10.0,NA,NA,NA,NA,NA,NA,0.0,0.0,2.0,35.0,0.0,15.0,0.0,11.0,40.0,0.0
DDD,2014J,75309,F,East Midlands Region,A Level or Equivalent,50-60%,35-55,1,180,N,Withdrawn,-162.0,-32.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DDD,2014J,75427,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail,-30.0,NA,18.0,75.0,39.0,80.0,59.0,73.0,110.0,69.0,146.0,49.0,195.0,72.0,243.0,47.0,7.0,66.0,2.0,330.0,6.0,398.0,0.0,88.0,153.0,23.0
DDD,2014J,76081,F,East Midlands Region,Lower Than A Level,60-70%,0-35,1,150,Y,Pass,-149.0,NA,-1.0,61.0,-1.0,83.0,-1.0,83.0,-1.0,65.0,143.0,72.0,184.0,61.0,243.0,58.0,11.0,137.0,0.0,274.0,29.0,41.0,0.0,27.0,141.0,20.0
DDD,2014J,80329,M,South Region,Lower Than A Level,80-90%,0-35,2,90,N,Pass,-21.0,NA,20.0,85.0,41.0,85.0,62.0,88.0,116.0,82.0,NA,NA,NA,NA,243.0,84.0,6.0,93.0,24.0,204.0,52.0,68.0,0.0,39.0,130.0,20.0
DDD,2014J,80775,M,Wales,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-45.0,NA,17.0,65.0,37.0,85.0,61.0,93.0,110.0,93.0,146.0,88.0,195.0,81.0,243.0,76.0,5.0,128.0,10.0,191.0,31.0,136.0,0.0,91.0,74.0,32.0
DDD,2014J,83553,M,West Midlands Region,Lower Than A Level,30-40%,0-35,1,60,N,Fail,-16.0,NA,24.0,50.0,41.0,95.0,62.0,40.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,119.0,32.0,92.0,4.0,89.0,0.0,29.0,25.0,2.0
DDD,2014J,88439,F,East Anglian Region,HE Qualification,30-40%,0-35,0,60,N,Pass,-43.0,NA,18.0,85.0,44.0,90.0,62.0,88.0,110.0,89.0,146.0,87.0,195.0,91.0,243.0,73.0,10.0,98.0,19.0,220.0,20.0,128.0,0.0,81.0,221.0,12.0
DDD,2014J,91470,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-51.0,NA,17.0,60.0,34.0,75.0,59.0,85.0,108.0,84.0,145.0,61.0,192.0,73.0,243.0,27.0,3.0,420.0,7.0,391.0,24.0,313.0,0.0,76.0,215.0,72.0
DDD,2014J,96874,F,South East Region,Lower Than A Level,60-70%,0-35,0,90,N,Fail,-43.0,NA,20.0,70.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,11.0,0.0,66.0,0.0,19.0,0.0,4.0,19.0,0.0
DDD,2014J,99075,M,South Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,-59.0,NA,20.0,60.0,45.0,75.0,62.0,33.0,111.0,58.0,146.0,45.0,NA,NA,242.0,40.0,17.0,297.0,0.0,240.0,28.0,198.0,0.0,187.0,381.0,21.0
DDD,2014J,99609,F,South East Region,Lower Than A Level,80-90%,0-35,0,70,N,Withdrawn,-151.0,27.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,53.0,0.0,24.0,6.0,29.0,0.0,6.0,19.0,0.0
DDD,2014J,100561,M,East Anglian Region,Lower Than A Level,70-80%,0-35,1,60,N,Fail,-35.0,NA,20.0,70.0,41.0,85.0,62.0,70.0,110.0,87.0,146.0,68.0,195.0,59.0,243.0,31.0,32.0,331.0,0.0,222.0,11.0,88.0,0.0,76.0,158.0,32.0
DDD,2014J,101187,F,London Region,HE Qualification,30-40%,35-55,0,120,N,Withdrawn,-157.0,-74.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DDD,2014J,101279,F,Yorkshire Region,A Level or Equivalent,0-10%,35-55,0,60,N,Fail,-144.0,NA,34.0,55.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,18.0,13.0,32.0,2.0,25.0,0.0,10.0,9.0,3.0
DDD,2014J,102221,F,Scotland,HE Qualification,50-60%,35-55,0,60,N,Pass,-58.0,NA,18.0,70.0,41.0,90.0,60.0,90.0,111.0,79.0,155.0,81.0,202.0,69.0,243.0,49.0,2.0,536.0,0.0,256.0,20.0,46.0,0.0,44.0,100.0,21.0
DDD,2014J,103891,M,South Region,HE Qualification,70-80%,0-35,1,90,N,Withdrawn,-25.0,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,7.0,2.0,17.0,1.0,48.0,0.0,0.0,5.0,3.0
DDD,2014J,104215,M,Scotland,A Level or Equivalent,0-10%,0-35,0,270,N,Withdrawn,-103.0,-43.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DDD,2014J,104772,M,South West Region,A Level or Equivalent,70-80%,35-55,1,60,N,Fail,-50.0,NA,-1.0,67.0,-1.0,56.0,-1.0,56.0,110.0,79.0,149.0,75.0,NA,NA,NA,NA,2.0,18.0,0.0,97.0,0.0,198.0,0.0,8.0,14.0,4.0
DDD,2014J,106553,F,Yorkshire Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass,-136.0,NA,20.0,85.0,47.0,75.0,62.0,93.0,111.0,80.0,153.0,77.0,192.0,68.0,243.0,44.0,4.0,0.0,0.0,174.0,0.0,212.0,0.0,50.0,92.0,16.0
DDD,2014J,110524,M,Ireland,Lower Than A Level,50-60%,35-55,0,60,N,Pass,-22.0,NA,19.0,80.0,40.0,95.0,60.0,75.0,110.0,86.0,153.0,78.0,195.0,84.0,243.0,44.0,1.0,201.0,1.0,170.0,22.0,66.0,0.0,66.0,297.0,52.0
DDD,2014J,110640,F,East Anglian Region,HE Qualification,70-80%,35-55,0,120,N,Pass,-162.0,NA,19.0,100.0,37.0,80.0,61.0,100.0,110.0,92.0,145.0,76.0,194.0,73.0,243.0,64.0,7.0,362.0,481.0,327.0,39.0,239.0,0.0,56.0,259.0,35.0
DDD,2014J,111415,M,South Region,A Level or Equivalent,50-60%,35-55,1,60,N,Withdrawn,-44.0,-32.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DDD,2014J,111926,M,East Anglian Region,Lower Than A Level,30-40%,0-35,2,60,N,Pass,-92.0,NA,22.0,70.0,54.0,85.0,NA,NA,113.0,86.0,186.0,64.0,NA,NA,243.0,71.0,1.0,197.0,35.0,190.0,12.0,93.0,0.0,25.0,30.0,3.0
DDD,2014J,118578,F,Scotland,A Level or Equivalent,60-70%,0-35,2,60,Y,Withdrawn,-30.0,151.0,15.0,65.0,46.0,65.0,71.0,85.0,118.0,24.0,NA,NA,NA,NA,NA,NA,1.0,8.0,22.0,191.0,16.0,288.0,0.0,45.0,201.0,20.0
DDD,2014J,123053,M,East Anglian Region,Lower Than A Level,60-70%,0-35,1,120,N,Withdrawn,-44.0,170.0,9.0,80.0,33.0,70.0,58.0,93.0,95.0,95.0,140.0,91.0,NA,NA,NA,NA,4.0,43.0,13.0,117.0,1.0,67.0,0.0,22.0,73.0,2.0
DDD,2014J,123183,M,Wales,HE Qualification,50-60%,35-55,0,60,N,Pass,-123.0,NA,11.0,100.0,36.0,90.0,NA,NA,108.0,96.0,145.0,82.0,194.0,87.0,243.0,76.0,22.0,497.0,1127.0,583.0,16.0,83.0,0.0,153.0,352.0,60.0
DDD,2014J,123957,F,North Western Region,Lower Than A Level,70-80%,0-35,1,60,N,Fail,-39.0,NA,-1.0,47.0,-1.0,67.0,-1.0,67.0,-1.0,69.0,NA,NA,NA,NA,NA,NA,0.0,0.0,1.0,25.0,0.0,4.0,0.0,8.0,24.0,2.0
DDD,2014J,124210,F,North Western Region,A Level or Equivalent,0-10%,0-35,0,120,N,Withdrawn,-89.0,-31.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DDD,2014J,124728,F,North Western Region,A Level or Equivalent,10-20,35-55,1,60,Y,Withdrawn,-153.0,156.0,20.0,70.0,40.0,80.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0,805.0,14.0,392.0,69.0,182.0,0.0,121.0,193.0,23.0
DDD,2014J,125830,F,South West Region,HE Qualification,40-50%,35-55,0,120,Y,Withdrawn,-9.0,195.0,19.0,85.0,41.0,65.0,84.0,68.0,111.0,59.0,NA,NA,NA,NA,NA,NA,5.0,643.0,0.0,360.0,24.0,501.0,0.0,90.0,151.0,36.0
DDD,2014J,129989,M,South West Region,A Level or Equivalent,20-30%,0-35,0,60,N,Distinction,-86.0,NA,18.0,95.0,41.0,95.0,61.0,95.0,109.0,96.0,144.0,98.0,194.0,93.0,242.0,100.0,23.0,705.0,0.0,311.0,7.0,76.0,0.0,84.0,164.0,44.0
DDD,2014J,131152,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,120,N,Fail,-143.0,NA,19.0,95.0,40.0,85.0,61.0,80.0,109.0,83.0,146.0,55.0,195.0,26.0,244.0,0.0,5.0,136.0,0.0,113.0,0.0,35.0,0.0,32.0,51.0,5.0
DDD,2014J,131612,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-107.0,NA,18.0,100.0,36.0,90.0,60.0,78.0,109.0,89.0,145.0,84.0,194.0,85.0,243.0,84.0,27.0,522.0,31.0,530.0,40.0,224.0,0.0,68.0,155.0,58.0
DDD,2014J,132157,M,London Region,A Level or Equivalent,80-90%,35-55,0,60,Y,Fail,-32.0,NA,18.0,80.0,39.0,85.0,60.0,55.0,109.0,69.0,145.0,40.0,194.0,57.0,242.0,47.0,16.0,162.0,1.0,195.0,3.0,194.0,0.0,43.0,81.0,3.0
DDD,2014J,132511,F,East Anglian Region,A Level or Equivalent,0-10%,0-35,0,120,N,Fail,-144.0,NA,18.0,75.0,39.0,65.0,61.0,60.0,110.0,71.0,NA,NA,NA,NA,NA,NA,1.0,125.0,0.0,123.0,1.0,85.0,0.0,29.0,33.0,6.0
DDD,2014J,133365,F,East Midlands Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,-45.0,NA,12.0,65.0,38.0,90.0,57.0,90.0,106.0,95.0,144.0,79.0,193.0,71.0,243.0,67.0,23.0,662.0,34.0,491.0,68.0,219.0,0.0,137.0,388.0,88.0
DDD,2014J,134243,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,90,N,Pass,-93.0,NA,16.0,70.0,39.0,85.0,57.0,75.0,110.0,75.0,142.0,52.0,195.0,35.0,243.0,42.0,31.0,809.0,32.0,673.0,37.0,179.0,0.0,125.0,336.0,53.0
DDD,2014J,134920,F,South Region,A Level or Equivalent,50-60%,0-35,0,60,N,Fail,-32.0,NA,19.0,60.0,40.0,85.0,62.0,68.0,111.0,13.0,146.0,28.0,195.0,40.0,242.0,36.0,4.0,26.0,1.0,60.0,3.0,70.0,0.0,23.0,48.0,1.0
DDD,2014J,135999,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,-28.0,12.0,20.0,55.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,56.0,10.0,82.0,4.0,15.0,0.0,3.0,13.0,4.0
DDD,2014J,136135,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,2,90,N,Pass,-17.0,NA,20.0,65.0,40.0,95.0,62.0,73.0,102.0,85.0,146.0,46.0,185.0,50.0,243.0,42.0,7.0,153.0,24.0,184.0,11.0,287.0,0.0,67.0,134.0,11.0
DDD,2014J,136793,M,Yorkshire Region,HE Qualification,60-70%,0-35,1,60,N,Pass,-28.0,NA,20.0,75.0,41.0,55.0,62.0,65.0,132.0,80.0,168.0,23.0,NA,NA,243.0,51.0,5.0,178.0,8.0,119.0,6.0,178.0,0.0,100.0,76.0,8.0
DDD,2014J,138715,M,South East Region,A Level or Equivalent,0-10%,0-35,1,60,N,Fail,-38.0,NA,-1.0,62.0,-1.0,75.0,-1.0,75.0,-1.0,83.0,NA,NA,NA,NA,NA,NA,0.0,4.0,0.0,17.0,0.0,13.0,0.0,0.0,2.0,0.0
DDD,2014J,145188,M,Wales,Lower Than A Level,30-40%,35-55,0,60,N,Fail,-60.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,7.0,0.0,7.0,0.0,5.0,6.0,0.0
DDD,2014J,145578,F,Scotland,HE Qualification,80-90%,0-35,0,120,N,Withdrawn,-68.0,68.0,19.0,65.0,47.0,60.0,61.0,53.0,NA,NA,NA,NA,NA,NA,NA,NA,8.0,303.0,0.0,230.0,8.0,71.0,0.0,9.0,22.0,8.0
DDD,2014J,146943,F,North Western Region,Lower Than A Level,30-40%,35-55,0,120,Y,Withdrawn,-161.0,96.0,20.0,85.0,40.0,85.0,69.0,88.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,312.0,29.0,202.0,13.0,84.0,0.0,47.0,123.0,10.0
DDD,2014J,147328,F,South Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,-96.0,NA,20.0,80.0,39.0,65.0,61.0,75.0,110.0,77.0,152.0,69.0,194.0,73.0,242.0,29.0,1.0,1105.0,23.0,520.0,42.0,142.0,0.0,142.0,429.0,53.0
DDD,2014J,147715,F,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Fail,-43.0,NA,18.0,85.0,36.0,100.0,61.0,63.0,109.0,78.0,149.0,67.0,194.0,66.0,243.0,29.0,18.0,160.0,15.0,240.0,18.0,111.0,5.0,62.0,200.0,32.0
DDD,2014J,148414,M,South West Region,Lower Than A Level,60-70%,0-35,1,60,N,Pass,-155.0,NA,16.0,90.0,38.0,75.0,61.0,98.0,107.0,91.0,143.0,89.0,193.0,85.0,242.0,69.0,48.0,216.0,13.0,360.0,52.0,303.0,0.0,98.0,221.0,17.0
DDD,2014J,151745,M,Scotland,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,-80.0,NA,18.0,60.0,38.0,80.0,61.0,80.0,112.0,78.0,146.0,61.0,197.0,60.0,244.0,40.0,15.0,73.0,11.0,209.0,3.0,44.0,0.0,52.0,158.0,26.0
DDD,2014J,152320,M,South Region,A Level or Equivalent,80-90%,0-35,1,90,Y,Pass,-52.0,NA,-1.0,78.0,-1.0,80.0,-1.0,80.0,-1.0,90.0,-1.0,75.0,195.0,34.0,243.0,71.0,15.0,123.0,0.0,180.0,21.0,37.0,0.0,17.0,123.0,2.0
DDD,2014J,153170,F,Wales,A Level or Equivalent,0-10%,0-35,0,120,Y,Pass,-37.0,NA,20.0,85.0,41.0,70.0,69.0,85.0,111.0,82.0,153.0,54.0,NA,NA,244.0,47.0,7.0,230.0,14.0,334.0,27.0,226.0,0.0,42.0,162.0,14.0
DDD,2014J,154073,M,South East Region,A Level or Equivalent,80-90%,0-35,0,90,N,Fail,-149.0,NA,19.0,65.0,41.0,70.0,61.0,65.0,111.0,58.0,146.0,37.0,195.0,62.0,242.0,16.0,1.0,43.0,10.0,105.0,9.0,27.0,0.0,35.0,99.0,14.0
DDD,2014J,158575,M,South West Region,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn,-156.0,114.0,18.0,70.0,36.0,65.0,61.0,65.0,NA,NA,NA,NA,NA,NA,NA,NA,10.0,28.0,18.0,128.0,1.0,60.0,0.0,73.0,112.0,27.0
DDD,2014J,160181,M,East Midlands Region,Lower Than A Level,80-90%,0-35,0,60,N,Withdrawn,-120.0,166.0,11.0,40.0,28.0,75.0,51.0,75.0,96.0,72.0,143.0,71.0,NA,NA,NA,NA,26.0,676.0,45.0,1024.0,59.0,316.0,0.0,172.0,366.0,62.0
DDD,2014J,162337,F,West Midlands Region,Lower Than A Level,30-40%,0-35,1,120,N,Fail,-86.0,NA,20.0,55.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,176.0,12.0,138.0,1.0,74.0,1.0,5.0,32.0,3.0
DDD,2014J,163996,M,South East Region,Lower Than A Level,10-20,0-35,0,90,N,Fail,-154.0,NA,11.0,45.0,33.0,65.0,59.0,63.0,89.0,52.0,146.0,32.0,189.0,43.0,242.0,29.0,8.0,288.0,4.0,259.0,0.0,43.0,0.0,19.0,146.0,8.0
DDD,2014J,167945,F,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,90,N,Withdrawn,-30.0,101.0,17.0,35.0,78.0,60.0,67.0,43.0,NA,NA,NA,NA,NA,NA,NA,NA,7.0,139.0,1.0,97.0,7.0,97.0,0.0,50.0,67.0,14.0
DDD,2014J,168843,F,South Region,A Level or Equivalent,80-90%,0-35,1,120,N,Withdrawn,-27.0,152.0,19.0,85.0,41.0,70.0,NA,NA,111.0,36.0,146.0,13.0,NA,NA,NA,NA,2.0,83.0,15.0,144.0,0.0,102.0,0.0,23.0,89.0,7.0
DDD,2014J,169894,M,South West Region,HE Qualification,20-30%,0-35,3,60,N,Pass,-93.0,NA,20.0,100.0,40.0,95.0,62.0,93.0,118.0,94.0,146.0,75.0,195.0,95.0,242.0,56.0,2.0,272.0,0.0,125.0,0.0,91.0,0.0,26.0,46.0,14.0
DDD,2014J,172965,M,Scotland,Post Graduate Qualification,60-70%,35-55,2,60,N,Pass,-117.0,NA,18.0,100.0,37.0,95.0,61.0,75.0,110.0,97.0,145.0,76.0,186.0,56.0,242.0,82.0,11.0,442.0,4.0,126.0,4.0,75.0,0.0,48.0,268.0,25.0
DDD,2014J,175804,M,West Midlands Region,A Level or Equivalent,60-70%,0-35,1,180,N,Withdrawn,-31.0,12.0,19.0,80.0,41.0,70.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0,0.0,0.0,56.0,0.0,20.0,0.0,15.0,23.0,3.0
DDD,2014J,177781,M,Scotland,HE Qualification,10-20,35-55,0,60,N,Fail,-58.0,NA,20.0,80.0,41.0,95.0,62.0,75.0,NA,NA,NA,NA,NA,NA,NA,NA,2.0,80.0,22.0,86.0,1.0,94.0,0.0,17.0,35.0,6.0
DDD,2014J,184409,M,North Region,Lower Than A Level,NA,35-55,0,60,N,Distinction,-95.0,NA,8.0,100.0,36.0,95.0,50.0,98.0,92.0,89.0,132.0,90.0,175.0,90.0,244.0,91.0,24.0,1348.0,1.0,644.0,23.0,32.0,0.0,121.0,340.0,43.0
DDD,2014J,185024,F,West Midlands Region,Lower Than A Level,0-10%,0-35,1,60,Y,Withdrawn,-22.0,233.0,48.0,80.0,127.0,100.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0,146.0,35.0,149.0,8.0,108.0,0.0,24.0,85.0,18.0
DDD,2014J,189143,F,South East Region,HE Qualification,90-100%,35-55,0,120,N,Distinction,-60.0,NA,8.0,90.0,30.0,95.0,61.0,60.0,84.0,70.0,135.0,89.0,188.0,75.0,242.0,96.0,18.0,178.0,30.0,194.0,36.0,159.0,0.0,38.0,172.0,9.0
DDD,2014J,190279,F,Scotland,Post Graduate Qualification,60-70%,35-55,3,60,N,Pass,-15.0,NA,15.0,85.0,36.0,90.0,62.0,83.0,113.0,93.0,153.0,68.0,195.0,62.0,244.0,78.0,28.0,7847.0,15.0,4391.0,115.0,520.0,0.0,134.0,339.0,332.0
