code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,15020_date,15020_score,15021_date,15021_score,15022_date,15022_score,15023_date,15023_score,15024_date,15024_score,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_questionnaire,clicks_quiz,clicks_resource,clicks_subpage,clicks_url
BBB,2014J,53236,F,Yorkshire Region,Lower Than A Level,60-70%,0-35,1,180,N,Withdrawn,-81.0,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,11.0,0.0,29.0,0.0,0.0,3.0,0.0,0.0
BBB,2014J,57285,F,London Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,-29.0,NA,18.0,1.0,54.0,70.0,110.0,72.0,151.0,78.0,200.0,50.0,4.0,3.0,43.0,1.0,143.0,0.0,16.0,14.0,58.0,1.0
BBB,2014J,58520,F,South Region,A Level or Equivalent,50-60%,35-55,0,120,Y,Withdrawn,-45.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2014J,58653,F,North Western Region,Lower Than A Level,80-90%,35-55,1,120,N,Pass,-80.0,NA,18.0,1.0,54.0,70.0,126.0,71.0,152.0,69.0,201.0,65.0,2.0,0.0,102.0,5.0,203.0,0.0,0.0,64.0,5.0,2.0
BBB,2014J,59272,F,South East Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass,-58.0,NA,NA,NA,47.0,64.0,106.0,66.0,149.0,63.0,199.0,72.0,220.0,2.0,206.0,19.0,763.0,11.0,146.0,37.0,19.0,2.0
BBB,2014J,61352,F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,2,60,N,Withdrawn,-144.0,39.0,-3.0,100.0,NA,NA,NA,NA,NA,NA,NA,NA,50.0,1.0,51.0,0.0,59.0,0.0,0.0,11.0,9.0,0.0
BBB,2014J,63467,F,North Western Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass,-143.0,NA,16.0,1.0,53.0,78.0,109.0,84.0,148.0,72.0,200.0,78.0,0.0,0.0,101.0,0.0,448.0,0.0,71.0,73.0,18.0,1.0
BBB,2014J,65807,F,North Western Region,HE Qualification,10-20,0-35,2,180,N,Withdrawn,-101.0,-23.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2014J,70569,F,Wales,Lower Than A Level,0-10%,0-35,3,60,N,Pass,-36.0,NA,2.0,1.0,46.0,68.0,109.0,76.0,152.0,68.0,200.0,66.0,0.0,0.0,154.0,0.0,552.0,9.0,165.0,35.0,31.0,1.0
BBB,2014J,70750,F,London Region,Lower Than A Level,50-60%,0-35,1,120,N,Withdrawn,-31.0,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,24.0,0.0,59.0,0.0,0.0,11.0,9.0,0.0
BBB,2014J,71504,F,East Anglian Region,A Level or Equivalent,20-30%,35-55,0,120,N,Pass,-93.0,NA,9.0,100.0,53.0,88.0,110.0,85.0,152.0,72.0,191.0,74.0,95.0,0.0,163.0,0.0,600.0,13.0,84.0,55.0,39.0,0.0
BBB,2014J,72349,F,Scotland,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn,-60.0,58.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.0,0.0,39.0,0.0,52.0,0.0,0.0,5.0,11.0,0.0
BBB,2014J,73584,F,South West Region,Lower Than A Level,30-40%,0-35,1,60,N,Withdrawn,-121.0,92.0,4.0,1.0,53.0,55.0,NA,NA,NA,NA,NA,NA,9.0,1.0,44.0,3.0,68.0,0.0,89.0,17.0,12.0,0.0
BBB,2014J,73874,F,Wales,Lower Than A Level,90-100%,35-55,2,60,N,Withdrawn,-39.0,150.0,19.0,100.0,51.0,85.0,109.0,68.0,NA,NA,NA,NA,134.0,5.0,163.0,4.0,418.0,0.0,48.0,95.0,62.0,2.0
BBB,2014J,74574,F,Scotland,Lower Than A Level,10-20,0-35,0,120,Y,Withdrawn,-29.0,-22.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2014J,82611,F,Wales,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn,-123.0,-12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2014J,84541,F,North Region,A Level or Equivalent,10-20,0-35,0,120,N,Fail,-25.0,NA,23.0,1.0,50.0,67.0,NA,NA,NA,NA,NA,NA,0.0,0.0,50.0,0.0,41.0,0.0,52.0,18.0,17.0,1.0
BBB,2014J,89850,F,South Region,HE Qualification,90-100%,0-35,0,120,N,Distinction,-8.0,NA,16.0,1.0,52.0,90.0,110.0,83.0,151.0,84.0,200.0,74.0,290.0,1.0,305.0,24.0,284.0,0.0,148.0,110.0,64.0,1.0
BBB,2014J,98452,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,Y,Withdrawn,-137.0,12.0,16.0,100.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,16.0,0.0,14.0,0.0,0.0,2.0,2.0,1.0
BBB,2014J,98842,F,South Region,Lower Than A Level,10-20,0-35,0,60,N,Pass,-25.0,NA,18.0,100.0,53.0,54.0,109.0,48.0,151.0,45.0,200.0,50.0,103.0,1.0,78.0,2.0,90.0,0.0,52.0,15.0,25.0,2.0
BBB,2014J,99088,F,Yorkshire Region,Lower Than A Level,20-30%,0-35,2,60,N,Withdrawn,-31.0,131.0,16.0,1.0,49.0,43.0,105.0,45.0,NA,NA,NA,NA,65.0,0.0,76.0,0.0,114.0,0.0,90.0,7.0,5.0,2.0
BBB,2014J,102067,F,North Western Region,A Level or Equivalent,10-20,0-35,1,120,N,Withdrawn,-24.0,12.0,19.0,100.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,25.0,0.0,34.0,0.0,1.0,6.0,1.0,0.0
BBB,2014J,103496,F,Ireland,Lower Than A Level,10-20,35-55,0,60,N,Pass,12.0,NA,17.0,100.0,48.0,60.0,110.0,55.0,150.0,48.0,200.0,53.0,96.0,3.0,201.0,10.0,561.0,0.0,204.0,76.0,63.0,7.0
BBB,2014J,103998,F,South Region,Lower Than A Level,60-70%,0-35,0,60,N,Fail,-42.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.0,0.0,6.0,0.0,27.0,0.0,0.0,2.0,0.0,0.0
BBB,2014J,106095,F,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-161.0,NA,10.0,1.0,45.0,89.0,110.0,69.0,151.0,62.0,200.0,77.0,21.0,2.0,282.0,2.0,555.0,11.0,250.0,76.0,40.0,4.0
BBB,2014J,106383,F,Scotland,HE Qualification,50-60%,35-55,0,60,N,Withdrawn,-44.0,151.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2014J,106793,M,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Fail,-23.0,NA,18.0,100.0,51.0,40.0,110.0,48.0,154.0,60.0,201.0,41.0,8.0,0.0,59.0,0.0,291.0,0.0,0.0,41.0,4.0,1.0
BBB,2014J,108859,M,South West Region,A Level or Equivalent,70-80%,0-35,0,60,Y,Pass,-131.0,NA,18.0,1.0,53.0,65.0,110.0,68.0,150.0,68.0,185.0,75.0,279.0,8.0,462.0,23.0,713.0,6.0,147.0,278.0,78.0,2.0
BBB,2014J,109441,F,South East Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,-89.0,NA,18.0,1.0,51.0,86.0,109.0,88.0,147.0,92.0,201.0,83.0,46.0,6.0,130.0,2.0,366.0,0.0,67.0,22.0,38.0,1.0
BBB,2014J,110911,F,Scotland,Lower Than A Level,80-90%,0-35,0,60,N,Pass,-39.0,NA,16.0,100.0,52.0,85.0,108.0,65.0,151.0,67.0,200.0,67.0,29.0,0.0,121.0,1.0,290.0,0.0,45.0,14.0,20.0,0.0
BBB,2014J,114402,F,South East Region,Lower Than A Level,50-60%,0-35,0,90,Y,Distinction,-9.0,NA,-4.0,100.0,48.0,80.0,108.0,84.0,151.0,86.0,199.0,88.0,46.0,8.0,134.0,15.0,867.0,0.0,0.0,35.0,18.0,0.0
BBB,2014J,116606,M,East Midlands Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-89.0,NA,17.0,1.0,53.0,45.0,109.0,63.0,152.0,88.0,199.0,93.0,6.0,0.0,92.0,4.0,321.0,0.0,18.0,20.0,50.0,0.0
BBB,2014J,117544,F,South West Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,-141.0,NA,15.0,100.0,52.0,70.0,109.0,67.0,151.0,65.0,200.0,49.0,804.0,0.0,512.0,35.0,810.0,16.0,247.0,91.0,59.0,6.0
BBB,2014J,117545,F,Wales,Lower Than A Level,10-20,0-35,4,120,N,Fail,-4.0,NA,20.0,100.0,59.0,82.0,NA,NA,NA,NA,NA,NA,17.0,1.0,78.0,0.0,299.0,0.0,28.0,10.0,6.0,3.0
BBB,2014J,118213,F,London Region,HE Qualification,20-30%,35-55,0,60,N,Fail,-29.0,NA,18.0,1.0,52.0,40.0,110.0,45.0,152.0,30.0,201.0,37.0,4.0,1.0,8.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0
BBB,2014J,118877,F,Wales,Lower Than A Level,70-80%,0-35,3,60,N,Withdrawn,-35.0,170.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BBB,2014J,119437,F,West Midlands Region,Lower Than A Level,0-10%,0-35,2,60,N,Withdrawn,-45.0,12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2014J,119444,F,East Midlands Region,Lower Than A Level,20-30%,0-35,0,120,N,Withdrawn,-28.0,95.0,25.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,9.0,0.0,43.0,0.0,3.0,0.0,0.0,8.0,15.0,5.0
BBB,2014J,123087,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass,-162.0,NA,14.0,100.0,37.0,74.0,103.0,71.0,151.0,65.0,196.0,60.0,51.0,0.0,80.0,3.0,267.0,0.0,0.0,38.0,31.0,0.0
BBB,2014J,125535,F,Scotland,A Level or Equivalent,30-40%,35-55,2,120,N,Pass,-45.0,NA,19.0,1.0,54.0,45.0,117.0,45.0,152.0,45.0,222.0,55.0,7.0,0.0,53.0,5.0,67.0,0.0,0.0,18.0,46.0,0.0
BBB,2014J,125874,F,South East Region,Lower Than A Level,40-50%,35-55,1,60,Y,Withdrawn,-95.0,12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,5.0,0.0,32.0,0.0,0.0,3.0,0.0,0.0
BBB,2014J,126769,F,West Midlands Region,Lower Than A Level,0-10%,0-35,1,60,N,Pass,-107.0,NA,12.0,100.0,53.0,40.0,135.0,40.0,152.0,60.0,201.0,60.0,40.0,5.0,225.0,5.0,790.0,13.0,197.0,30.0,56.0,1.0
BBB,2014J,126800,F,East Midlands Region,A Level or Equivalent,60-70%,35-55,0,120,N,Pass,-71.0,NA,5.0,1.0,50.0,70.0,106.0,82.0,145.0,95.0,199.0,92.0,312.0,1.0,288.0,7.0,697.0,13.0,130.0,18.0,34.0,1.0
BBB,2014J,132055,F,East Anglian Region,HE Qualification,90-100%,0-35,0,60,N,Withdrawn,-71.0,-15.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2014J,132924,F,South West Region,Lower Than A Level,10-20,35-55,0,60,N,Fail,-150.0,NA,18.0,1.0,54.0,62.0,110.0,52.0,152.0,42.0,NA,NA,0.0,0.0,14.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0
BBB,2014J,138407,F,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Withdrawn,-157.0,163.0,14.0,1.0,67.0,80.0,131.0,68.0,NA,NA,NA,NA,56.0,4.0,205.0,3.0,364.0,0.0,138.0,117.0,53.0,2.0
BBB,2014J,142324,F,East Anglian Region,Lower Than A Level,30-40%,35-55,1,120,N,Pass,-65.0,NA,15.0,100.0,36.0,82.0,108.0,75.0,148.0,78.0,200.0,62.0,107.0,0.0,113.0,2.0,226.0,0.0,92.0,28.0,10.0,1.0
BBB,2014J,145280,F,East Midlands Region,Lower Than A Level,20-30%,35-55,1,60,N,Pass,-116.0,NA,8.0,100.0,53.0,40.0,116.0,55.0,158.0,55.0,211.0,61.0,16.0,0.0,181.0,0.0,345.0,0.0,30.0,52.0,37.0,1.0
BBB,2014J,150398,F,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,60,Y,Distinction,-77.0,NA,15.0,1.0,46.0,85.0,99.0,83.0,144.0,90.0,187.0,91.0,227.0,2.0,376.0,6.0,1311.0,13.0,126.0,42.0,25.0,1.0
BBB,2014J,151917,F,West Midlands Region,A Level or Equivalent,10-20,0-35,4,60,N,Pass,-29.0,NA,15.0,100.0,42.0,55.0,112.0,60.0,145.0,39.0,201.0,40.0,45.0,3.0,169.0,28.0,144.0,0.0,203.0,50.0,70.0,1.0
BBB,2014J,152973,F,Scotland,Lower Than A Level,60-70%,35-55,0,120,N,Pass,-5.0,NA,18.0,1.0,54.0,76.0,110.0,75.0,151.0,75.0,201.0,67.0,111.0,4.0,153.0,12.0,302.0,0.0,165.0,19.0,17.0,1.0
BBB,2014J,155484,F,South West Region,Lower Than A Level,60-70%,35-55,0,120,N,Distinction,-93.0,NA,16.0,1.0,52.0,93.0,109.0,97.0,151.0,98.0,189.0,94.0,602.0,2.0,425.0,1.0,770.0,10.0,171.0,43.0,67.0,1.0
BBB,2014J,156358,F,Ireland,Lower Than A Level,60-70%,0-35,2,60,N,Withdrawn,-53.0,197.0,0.0,100.0,52.0,63.0,109.0,62.0,156.0,60.0,NA,NA,11.0,1.0,160.0,4.0,222.0,0.0,170.0,39.0,44.0,1.0
BBB,2014J,157752,F,Wales,A Level or Equivalent,0-10%,0-35,0,120,N,Fail,-28.0,NA,17.0,1.0,54.0,74.0,110.0,65.0,151.0,58.0,209.0,50.0,19.0,0.0,146.0,2.0,128.0,0.0,28.0,23.0,21.0,1.0
BBB,2014J,160026,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,2,60,N,Pass,-53.0,NA,19.0,100.0,54.0,56.0,110.0,74.0,152.0,68.0,201.0,60.0,0.0,0.0,5.0,0.0,67.0,0.0,15.0,3.0,5.0,0.0
BBB,2014J,161811,F,South West Region,A Level or Equivalent,40-50%,0-35,0,60,N,Withdrawn,-161.0,-1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2014J,165099,F,East Midlands Region,Lower Than A Level,20-30%,0-35,0,180,N,Fail,-142.0,NA,1.0,1.0,53.0,50.0,110.0,60.0,151.0,62.0,201.0,50.0,30.0,11.0,93.0,14.0,139.0,0.0,10.0,92.0,40.0,0.0
BBB,2014J,165498,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,270,Y,Withdrawn,-82.0,-11.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.0,0.0,47.0,0.0,20.0,0.0,0.0,10.0,5.0,0.0
BBB,2014J,169008,M,Ireland,Lower Than A Level,10-20,35-55,0,60,N,Pass,9.0,NA,18.0,100.0,52.0,66.0,109.0,57.0,151.0,48.0,202.0,35.0,62.0,5.0,204.0,15.0,310.0,0.0,199.0,61.0,45.0,9.0
BBB,2014J,169400,F,Wales,HE Qualification,90-100%,0-35,0,120,N,Distinction,-39.0,NA,18.0,100.0,53.0,87.0,110.0,85.0,152.0,91.0,201.0,86.0,0.0,2.0,170.0,0.0,887.0,3.0,33.0,61.0,52.0,0.0
BBB,2014J,173163,F,South West Region,A Level or Equivalent,10-20,35-55,0,60,N,Fail,-38.0,NA,18.0,1.0,54.0,54.0,155.0,NA,166.0,45.0,202.0,50.0,37.0,0.0,147.0,1.0,534.0,0.0,95.0,26.0,59.0,1.0
BBB,2014J,177554,F,South Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,-120.0,NA,18.0,100.0,51.0,70.0,110.0,74.0,NA,NA,NA,NA,165.0,12.0,71.0,3.0,50.0,0.0,0.0,7.0,18.0,0.0
BBB,2014J,179073,F,East Anglian Region,Lower Than A Level,60-70%,0-35,1,60,N,Withdrawn,-35.0,157.0,17.0,100.0,54.0,62.0,110.0,65.0,NA,NA,NA,NA,3.0,2.0,49.0,5.0,72.0,0.0,0.0,10.0,13.0,2.0
BBB,2014J,179297,F,East Midlands Region,Lower Than A Level,10-20,35-55,1,60,N,Fail,-18.0,NA,18.0,100.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,31.0,0.0,43.0,0.0,0.0,16.0,18.0,0.0
BBB,2014J,184234,F,Ireland,Lower Than A Level,10-20,0-35,1,60,N,Fail,-18.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2014J,184583,F,Wales,Lower Than A Level,40-50%,0-35,3,60,N,Fail,-43.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.0,0.0,28.0,0.0,20.0,0.0,0.0,2.0,5.0,0.0
BBB,2014J,184972,F,Scotland,Lower Than A Level,90-100%,0-35,0,60,N,Pass,-45.0,NA,16.0,100.0,54.0,84.0,109.0,75.0,155.0,70.0,206.0,68.0,63.0,2.0,263.0,11.0,1197.0,7.0,111.0,89.0,18.0,0.0
BBB,2014J,188766,F,Ireland,A Level or Equivalent,0-10%,35-55,0,120,N,Pass,-11.0,NA,18.0,100.0,51.0,48.0,118.0,46.0,152.0,44.0,201.0,40.0,28.0,1.0,105.0,14.0,162.0,0.0,7.0,28.0,25.0,2.0
BBB,2014J,191459,F,Scotland,A Level or Equivalent,60-70%,0-35,1,60,Y,Fail,-80.0,NA,8.0,1.0,50.0,66.0,109.0,69.0,149.0,69.0,196.0,74.0,2.0,2.0,152.0,2.0,490.0,10.0,61.0,36.0,30.0,4.0
BBB,2014J,191746,F,Wales,Lower Than A Level,40-50%,0-35,2,90,N,Fail,-27.0,NA,3.0,80.0,48.0,50.0,124.0,67.0,142.0,58.0,208.0,64.0,11.0,0.0,39.0,0.0,37.0,0.0,209.0,6.0,10.0,1.0
BBB,2014J,191973,F,Wales,HE Qualification,60-70%,35-55,0,60,N,Pass,-87.0,NA,-5.0,1.0,52.0,68.0,160.0,56.0,152.0,57.0,198.0,58.0,0.0,0.0,90.0,0.0,292.0,0.0,185.0,18.0,3.0,0.0
BBB,2014J,192944,F,East Midlands Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass,-154.0,NA,1.0,1.0,46.0,83.0,106.0,66.0,148.0,90.0,192.0,65.0,45.0,8.0,255.0,17.0,666.0,9.0,181.0,37.0,45.0,6.0
BBB,2014J,193310,F,South West Region,HE Qualification,0-10%,0-35,0,120,N,Pass,-42.0,NA,3.0,100.0,51.0,65.0,105.0,69.0,152.0,73.0,191.0,55.0,142.0,4.0,359.0,49.0,544.0,0.0,31.0,50.0,57.0,0.0
BBB,2014J,195221,F,Wales,A Level or Equivalent,50-60%,0-35,1,60,N,Fail,-49.0,NA,10.0,50.0,NA,NA,NA,NA,NA,NA,NA,NA,9.0,2.0,23.0,0.0,55.0,0.0,0.0,3.0,0.0,1.0
BBB,2014J,195345,F,East Anglian Region,Lower Than A Level,90-100%,0-35,1,60,N,Pass,-23.0,NA,0.0,100.0,50.0,35.0,106.0,62.0,151.0,58.0,199.0,65.0,0.0,0.0,178.0,0.0,757.0,0.0,198.0,33.0,38.0,2.0
BBB,2014J,195940,F,Wales,Lower Than A Level,20-30%,0-35,0,60,N,Pass,-144.0,NA,18.0,100.0,53.0,43.0,110.0,41.0,152.0,48.0,201.0,43.0,1.0,0.0,73.0,12.0,151.0,0.0,3.0,116.0,23.0,2.0
BBB,2014J,197527,F,Wales,Lower Than A Level,70-80%,0-35,0,60,N,Fail,-39.0,NA,24.0,100.0,53.0,56.0,NA,NA,NA,NA,NA,NA,14.0,0.0,41.0,0.0,180.0,0.0,44.0,8.0,6.0,0.0
BBB,2014J,201655,F,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,-45.0,-16.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2014J,205978,F,Wales,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn,-59.0,12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2014J,226839,F,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-31.0,NA,18.0,100.0,54.0,78.0,107.0,75.0,151.0,71.0,200.0,73.0,15.0,2.0,185.0,0.0,598.0,16.0,49.0,34.0,43.0,0.0
BBB,2014J,228235,F,Yorkshire Region,A Level or Equivalent,30-40%,35-55,2,60,N,Withdrawn,-57.0,-1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2014J,228909,M,North Region,Lower Than A Level,NA,35-55,0,60,Y,Withdrawn,-23.0,131.0,16.0,1.0,53.0,65.0,107.0,60.0,NA,NA,NA,NA,13.0,5.0,131.0,0.0,269.0,0.0,53.0,63.0,36.0,5.0
BBB,2014J,229326,F,West Midlands Region,Lower Than A Level,30-40%,35-55,0,60,N,Withdrawn,-24.0,159.0,17.0,100.0,85.0,66.0,NA,NA,NA,NA,NA,NA,165.0,4.0,176.0,1.0,156.0,0.0,42.0,33.0,29.0,1.0
BBB,2014J,230383,F,Yorkshire Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-37.0,NA,1.0,1.0,41.0,95.0,102.0,67.0,146.0,64.0,198.0,60.0,398.0,16.0,403.0,19.0,1954.0,12.0,134.0,54.0,50.0,5.0
BBB,2014J,235371,M,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,-65.0,NA,18.0,1.0,54.0,71.0,110.0,73.0,152.0,68.0,201.0,69.0,0.0,0.0,71.0,0.0,157.0,6.0,17.0,14.0,10.0,0.0
BBB,2014J,237913,F,North Western Region,A Level or Equivalent,20-30%,0-35,2,60,N,Pass,-87.0,NA,12.0,100.0,62.0,70.0,114.0,75.0,166.0,75.0,201.0,60.0,415.0,37.0,523.0,18.0,1005.0,9.0,40.0,114.0,61.0,2.0
BBB,2014J,238144,F,Wales,A Level or Equivalent,40-50%,35-55,3,60,N,Fail,-42.0,NA,17.0,100.0,51.0,75.0,109.0,70.0,156.0,66.0,NA,NA,49.0,0.0,141.0,10.0,301.0,0.0,171.0,32.0,27.0,2.0
BBB,2014J,242893,F,Yorkshire Region,No Formal quals,30-40%,0-35,2,60,N,Withdrawn,-36.0,109.0,9.0,100.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,19.0,0.0,36.0,0.0,11.0,6.0,12.0,1.0
BBB,2014J,245784,F,East Anglian Region,HE Qualification,30-40%,35-55,1,60,N,Fail,-37.0,NA,19.0,100.0,54.0,43.0,110.0,65.0,NA,NA,NA,NA,1.0,4.0,99.0,2.0,950.0,0.0,73.0,22.0,41.0,7.0
BBB,2014J,247457,F,South East Region,A Level or Equivalent,80-90%,0-35,0,60,N,Distinction,-12.0,NA,18.0,100.0,53.0,70.0,109.0,87.0,151.0,85.0,215.0,88.0,45.0,1.0,185.0,2.0,668.0,4.0,24.0,54.0,27.0,0.0
BBB,2014J,247967,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn,-68.0,156.0,17.0,100.0,49.0,68.0,109.0,60.0,NA,NA,NA,NA,128.0,3.0,81.0,4.0,171.0,0.0,0.0,20.0,16.0,5.0
BBB,2014J,249154,F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,0,60,N,Fail,-53.0,NA,15.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,33.0,0.0,47.0,0.0,0.0,7.0,3.0,0.0
BBB,2014J,252863,M,East Midlands Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass,-18.0,NA,14.0,100.0,53.0,70.0,108.0,73.0,152.0,65.0,206.0,67.0,0.0,0.0,72.0,1.0,171.0,0.0,2.0,22.0,25.0,0.0
