code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,34873_date,34873_score,34874_date,34874_score,34875_date,34875_score,34876_date,34876_score,34877_date,34877_score,34878_date,34878_score,34879_date,34879_score,34880_date,34880_score,34881_date,34881_score,34882_date,34882_score,34883_date,34883_score,34884_date,34884_score,clicks_dataplus,clicks_dualpane,clicks_folder,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_ouwiki,clicks_page,clicks_questionnaire,clicks_quiz,clicks_repeatactivity,clicks_resource,clicks_subpage,clicks_url
FFF,2013J,49670,M,North Region,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn,-54.0,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,3.0,0.0,4.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
FFF,2013J,50487,F,East Anglian Region,Lower Than A Level,90-100%,0-35,1,60,N,Pass,-64.0,NA,15.0,72.0,45.0,86.0,88.0,84.0,127.0,80.0,172.0,89.0,24.0,78.0,58.0,85.0,59.0,79.0,109.0,97.0,174.0,76.0,203.0,77.0,206.0,70.0,6.0,7.0,6.0,432.0,0.0,581.0,1.0,1994.0,28.0,10.0,19.0,1451.0,0.0,43.0,415.0,28.0
FFF,2013J,51485,M,West Midlands Region,Lower Than A Level,10-20,0-35,0,120,N,Distinction,-18.0,NA,19.0,96.0,47.0,88.0,96.0,88.0,131.0,94.0,173.0,98.0,175.0,94.0,236.0,99.0,237.0,82.0,237.0,86.0,237.0,89.0,237.0,96.0,237.0,89.0,13.0,11.0,2.0,103.0,0.0,278.0,5.0,1499.0,27.0,12.0,32.0,472.0,0.0,27.0,242.0,27.0
FFF,2013J,51576,F,London Region,Lower Than A Level,10-20,0-35,0,90,N,Distinction,-129.0,NA,18.0,66.0,45.0,90.0,111.0,73.0,130.0,87.0,172.0,98.0,52.0,99.0,94.0,97.0,111.0,95.0,121.0,97.0,157.0,91.0,227.0,78.0,227.0,95.0,0.0,7.0,1.0,613.0,0.0,487.0,0.0,2079.0,77.0,18.0,29.0,1590.0,0.0,40.0,333.0,28.0
FFF,2013J,53166,F,North Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass,-75.0,NA,16.0,84.0,47.0,66.0,95.0,72.0,131.0,40.0,173.0,76.0,38.0,83.0,142.0,77.0,132.0,72.0,167.0,71.0,201.0,59.0,236.0,79.0,236.0,69.0,0.0,0.0,5.0,219.0,0.0,279.0,0.0,1151.0,14.0,0.0,0.0,918.0,0.0,22.0,236.0,17.0
FFF,2013J,53626,M,Scotland,HE Qualification,30-40%,35-55,0,60,Y,Fail,-26.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,13.0,0.0,16.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0
FFF,2013J,54739,M,Yorkshire Region,Lower Than A Level,NA,0-35,1,180,N,Withdrawn,-149.0,-26.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFF,2013J,54882,M,Scotland,Lower Than A Level,30-40%,0-35,1,60,N,Fail,-130.0,NA,19.0,82.0,47.0,62.0,96.0,51.0,130.0,29.0,172.0,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,41.0,0.0,90.0,0.0,254.0,1.0,1.0,0.0,2.0,0.0,21.0,86.0,2.0
FFF,2013J,55013,M,North Region,A Level or Equivalent,10-20,0-35,0,120,N,Fail,-54.0,NA,18.0,72.0,46.0,56.0,101.0,47.0,130.0,38.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,43.0,0.0,83.0,1.0,273.0,3.0,3.0,12.0,65.0,0.0,22.0,98.0,1.0
FFF,2013J,55419,M,South Region,A Level or Equivalent,90-100%,0-35,0,90,N,Withdrawn,-39.0,124.0,17.0,70.0,NA,NA,NA,NA,NA,NA,NA,NA,19.0,86.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,93.0,0.0,34.0,1.0,19.0,1.0,5.0,0.0,75.0,0.0,5.0,39.0,3.0
FFF,2013J,57844,M,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-59.0,NA,18.0,80.0,46.0,52.0,102.0,84.0,144.0,77.0,171.0,86.0,214.0,78.0,214.0,91.0,220.0,82.0,220.0,90.0,220.0,88.0,227.0,90.0,227.0,87.0,0.0,5.0,2.0,23.0,0.0,168.0,0.0,917.0,6.0,6.0,0.0,624.0,0.0,21.0,184.0,16.0
FFF,2013J,58077,M,North Region,Lower Than A Level,20-30%,0-35,1,60,N,Fail,-92.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,12.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,1.0,10.0,0.0
FFF,2013J,58640,M,Scotland,A Level or Equivalent,50-60%,0-35,0,90,Y,Pass,-29.0,NA,18.0,78.0,47.0,62.0,96.0,43.0,131.0,60.0,173.0,74.0,186.0,81.0,186.0,88.0,222.0,61.0,222.0,67.0,222.0,57.0,222.0,78.0,222.0,61.0,0.0,0.0,4.0,456.0,0.0,309.0,0.0,241.0,16.0,5.0,0.0,478.0,0.0,89.0,166.0,20.0
FFF,2013J,63295,M,South Region,HE Qualification,90-100%,35-55,0,150,N,Pass,-159.0,NA,18.0,76.0,49.0,88.0,99.0,54.0,134.0,55.0,NA,NA,185.0,80.0,209.0,70.0,210.0,75.0,210.0,60.0,210.0,57.0,209.0,53.0,210.0,26.0,0.0,0.0,1.0,124.0,0.0,105.0,0.0,153.0,3.0,0.0,0.0,679.0,0.0,21.0,124.0,0.0
FFF,2013J,64388,M,East Midlands Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,-150.0,NA,15.0,78.0,44.0,72.0,102.0,58.0,149.0,42.0,NA,NA,14.0,72.0,28.0,75.0,67.0,55.0,136.0,57.0,168.0,65.0,221.0,64.0,220.0,66.0,18.0,14.0,5.0,835.0,0.0,723.0,10.0,1379.0,72.0,20.0,31.0,1071.0,0.0,46.0,352.0,20.0
FFF,2013J,66451,M,Scotland,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-17.0,NA,17.0,82.0,46.0,70.0,95.0,64.0,130.0,83.0,184.0,87.0,227.0,78.0,227.0,86.0,228.0,56.0,228.0,91.0,228.0,87.0,229.0,84.0,229.0,80.0,0.0,0.0,2.0,160.0,0.0,127.0,0.0,81.0,1.0,2.0,0.0,543.0,0.0,77.0,164.0,4.0
FFF,2013J,68107,F,London Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Pass,-51.0,NA,19.0,86.0,61.0,84.0,96.0,90.0,136.0,92.0,172.0,95.0,124.0,89.0,124.0,89.0,214.0,84.0,124.0,88.0,214.0,87.0,214.0,80.0,185.0,92.0,3.0,6.0,2.0,279.0,0.0,406.0,2.0,2492.0,60.0,16.0,10.0,586.0,0.0,30.0,338.0,25.0
FFF,2013J,69346,M,London Region,A Level or Equivalent,30-40%,0-35,0,90,N,Withdrawn,-68.0,69.0,18.0,76.0,NA,NA,NA,NA,NA,NA,NA,NA,19.0,90.0,20.0,97.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,0.0,260.0,0.0,346.0,1.0,442.0,26.0,17.0,11.0,144.0,0.0,14.0,183.0,12.0
FFF,2013J,70495,M,Scotland,Lower Than A Level,50-60%,0-35,0,60,N,Distinction,-100.0,NA,15.0,80.0,45.0,82.0,92.0,86.0,127.0,89.0,169.0,95.0,47.0,91.0,49.0,97.0,74.0,88.0,132.0,93.0,167.0,85.0,222.0,82.0,222.0,82.0,39.0,20.0,2.0,898.0,0.0,730.0,13.0,1981.0,127.0,15.0,33.0,948.0,0.0,57.0,368.0,42.0
FFF,2013J,71252,M,North Western Region,Lower Than A Level,0-10%,0-35,0,60,Y,Pass,-138.0,NA,18.0,90.0,46.0,78.0,96.0,70.0,131.0,73.0,172.0,82.0,236.0,88.0,236.0,92.0,236.0,66.0,236.0,90.0,236.0,71.0,236.0,77.0,236.0,63.0,0.0,0.0,3.0,104.0,0.0,146.0,1.0,280.0,4.0,1.0,0.0,488.0,0.0,13.0,147.0,7.0
FFF,2013J,71897,M,South East Region,A Level or Equivalent,40-50%,0-35,0,120,N,Withdrawn,-145.0,24.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,125.0,0.0,46.0,0.0,26.0,1.0,4.0,0.0,0.0,0.0,35.0,24.0,0.0
FFF,2013J,72864,F,Yorkshire Region,Lower Than A Level,10-20,35-55,2,60,N,Pass,-159.0,NA,17.0,96.0,41.0,76.0,95.0,59.0,130.0,58.0,NA,NA,132.0,89.0,173.0,93.0,178.0,85.0,178.0,81.0,NA,NA,178.0,80.0,NA,NA,0.0,0.0,2.0,116.0,0.0,159.0,0.0,544.0,1.0,5.0,0.0,397.0,0.0,18.0,175.0,6.0
FFF,2013J,77744,M,North Western Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,-44.0,NA,18.0,86.0,46.0,74.0,92.0,85.0,127.0,80.0,168.0,84.0,52.0,83.0,52.0,87.0,136.0,87.0,136.0,84.0,164.0,86.0,199.0,86.0,193.0,75.0,1.0,0.0,1.0,94.0,0.0,342.0,0.0,696.0,1.0,2.0,0.0,826.0,0.0,21.0,279.0,10.0
FFF,2013J,77746,M,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,-173.0,NA,NA,NA,47.0,74.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,30.0,0.0,31.0,0.0,39.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0
FFF,2013J,79261,M,South Region,A Level or Equivalent,90-100%,0-35,0,90,N,Pass,-29.0,NA,18.0,82.0,47.0,76.0,96.0,83.0,131.0,84.0,172.0,82.0,199.0,84.0,199.0,95.0,199.0,90.0,199.0,81.0,235.0,85.0,235.0,90.0,235.0,88.0,8.0,0.0,4.0,173.0,0.0,304.0,7.0,813.0,12.0,3.0,3.0,478.0,0.0,35.0,223.0,10.0
FFF,2013J,81536,M,Scotland,Lower Than A Level,80-90%,35-55,1,60,N,Fail,-50.0,NA,19.0,64.0,43.0,72.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,109.0,0.0,102.0,3.0,95.0,17.0,4.0,0.0,61.0,0.0,10.0,63.0,10.0
FFF,2013J,86669,M,East Midlands Region,A Level or Equivalent,40-50%,0-35,1,220,N,Pass,-39.0,NA,19.0,92.0,47.0,94.0,97.0,87.0,131.0,88.0,173.0,82.0,19.0,93.0,49.0,91.0,53.0,80.0,138.0,69.0,168.0,80.0,217.0,68.0,168.0,86.0,0.0,0.0,3.0,481.0,0.0,222.0,6.0,677.0,3.0,2.0,0.0,701.0,0.0,19.0,164.0,6.0
FFF,2013J,87042,F,North Western Region,Lower Than A Level,0-10%,0-35,0,120,N,Withdrawn,-172.0,-122.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFF,2013J,88781,M,South East Region,A Level or Equivalent,60-70%,0-35,1,60,N,Fail,-85.0,NA,18.0,68.0,47.0,70.0,96.0,41.0,131.0,42.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,2.0,203.0,0.0,140.0,11.0,320.0,18.0,2.0,0.0,9.0,0.0,34.0,141.0,8.0
FFF,2013J,90901,M,South Region,HE Qualification,20-30%,35-55,0,120,N,Distinction,-32.0,NA,16.0,80.0,46.0,88.0,85.0,78.0,128.0,95.0,155.0,91.0,186.0,90.0,187.0,96.0,189.0,93.0,192.0,92.0,195.0,95.0,214.0,92.0,214.0,82.0,0.0,0.0,1.0,90.0,0.0,248.0,0.0,1048.0,94.0,3.0,5.0,585.0,0.0,30.0,197.0,14.0
FFF,2013J,91629,M,Wales,A Level or Equivalent,20-30%,0-35,2,60,Y,Fail,-44.0,NA,18.0,68.0,50.0,70.0,NA,NA,NA,NA,NA,NA,54.0,92.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,146.0,0.0,219.0,10.0,566.0,24.0,15.0,7.0,473.0,0.0,39.0,143.0,15.0
FFF,2013J,95746,M,East Anglian Region,A Level or Equivalent,80-90%,0-35,1,60,N,Pass,-179.0,NA,-1.0,72.0,-1.0,86.0,96.0,75.0,129.0,84.0,169.0,82.0,NA,NA,210.0,95.0,210.0,83.0,227.0,91.0,227.0,79.0,228.0,88.0,228.0,80.0,0.0,0.0,1.0,1.0,0.0,68.0,0.0,240.0,2.0,1.0,0.0,554.0,0.0,13.0,52.0,4.0
FFF,2013J,100064,F,West Midlands Region,A Level or Equivalent,0-10%,35-55,0,60,N,Pass,-136.0,NA,40.0,92.0,47.0,92.0,109.0,94.0,131.0,93.0,172.0,89.0,185.0,82.0,185.0,91.0,185.0,82.0,185.0,93.0,185.0,88.0,208.0,94.0,207.0,82.0,26.0,16.0,6.0,567.0,0.0,793.0,3.0,3559.0,59.0,25.0,34.0,705.0,0.0,68.0,590.0,63.0
FFF,2013J,100788,M,Scotland,HE Qualification,80-90%,0-35,0,90,N,Pass,-82.0,NA,19.0,92.0,45.0,90.0,96.0,89.0,130.0,61.0,171.0,87.0,49.0,90.0,48.0,92.0,101.0,97.0,185.0,85.0,186.0,88.0,202.0,93.0,214.0,99.0,34.0,6.0,2.0,274.0,0.0,393.0,0.0,1558.0,21.0,18.0,40.0,515.0,0.0,20.0,216.0,37.0
FFF,2013J,101217,M,London Region,A Level or Equivalent,40-50%,35-55,1,90,Y,Withdrawn,-121.0,93.0,17.0,14.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,67.0,0.0,55.0,1.0,99.0,4.0,16.0,0.0,0.0,0.0,30.0,57.0,3.0
FFF,2013J,101420,M,Yorkshire Region,Lower Than A Level,30-40%,0-35,0,120,N,Pass,-132.0,NA,18.0,92.0,46.0,90.0,95.0,97.0,130.0,89.0,171.0,92.0,13.0,98.0,38.0,93.0,74.0,93.0,101.0,83.0,156.0,90.0,230.0,77.0,214.0,90.0,23.0,5.0,3.0,350.0,1.0,763.0,11.0,2763.0,9.0,24.0,20.0,1217.0,0.0,86.0,447.0,44.0
FFF,2013J,102028,M,South Region,A Level or Equivalent,90-100%,35-55,1,60,N,Distinction,-122.0,NA,18.0,86.0,46.0,80.0,98.0,90.0,134.0,87.0,172.0,83.0,17.0,95.0,31.0,99.0,74.0,93.0,124.0,94.0,164.0,90.0,206.0,92.0,206.0,94.0,35.0,13.0,4.0,877.0,0.0,583.0,3.0,1626.0,64.0,31.0,28.0,717.0,0.0,49.0,309.0,43.0
FFF,2013J,102343,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-66.0,NA,-2.0,76.0,42.0,50.0,93.0,77.0,126.0,74.0,162.0,88.0,34.0,86.0,124.0,93.0,126.0,86.0,125.0,81.0,131.0,77.0,185.0,83.0,159.0,80.0,1.0,1.0,3.0,291.0,4.0,396.0,0.0,1346.0,67.0,8.0,17.0,1282.0,0.0,29.0,345.0,35.0
FFF,2013J,104213,M,South West Region,A Level or Equivalent,70-80%,0-35,0,60,N,Distinction,-92.0,NA,15.0,90.0,43.0,100.0,92.0,87.0,127.0,92.0,171.0,98.0,16.0,93.0,65.0,94.0,101.0,67.0,206.0,78.0,206.0,78.0,227.0,66.0,227.0,74.0,6.0,7.0,2.0,141.0,0.0,231.0,2.0,935.0,24.0,10.0,24.0,620.0,0.0,34.0,198.0,11.0
FFF,2013J,105629,M,South East Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,-58.0,NA,19.0,86.0,47.0,80.0,103.0,88.0,145.0,88.0,173.0,92.0,37.0,94.0,37.0,93.0,90.0,82.0,116.0,91.0,152.0,90.0,193.0,80.0,210.0,84.0,36.0,24.0,4.0,535.0,0.0,927.0,33.0,2322.0,57.0,29.0,25.0,1384.0,0.0,68.0,421.0,60.0
FFF,2013J,106690,M,South Region,A Level or Equivalent,40-50%,35-55,0,120,Y,Withdrawn,-87.0,19.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,59.0,0.0,35.0,0.0,34.0,0.0,6.0,0.0,0.0,0.0,6.0,40.0,8.0
FFF,2013J,107028,M,East Midlands Region,Lower Than A Level,10-20,0-35,0,90,N,Fail,-58.0,NA,18.0,80.0,47.0,44.0,96.0,42.0,131.0,44.0,NA,NA,17.0,77.0,52.0,90.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,100.0,0.0,107.0,0.0,86.0,0.0,2.0,0.0,135.0,0.0,42.0,103.0,6.0
FFF,2013J,107084,M,London Region,HE Qualification,0-10%,35-55,0,200,N,Fail,-17.0,NA,19.0,48.0,51.0,86.0,NA,NA,191.0,52.0,222.0,47.0,234.0,56.0,237.0,64.0,236.0,57.0,236.0,61.0,237.0,76.0,237.0,69.0,237.0,50.0,2.0,0.0,1.0,320.0,0.0,159.0,0.0,458.0,12.0,3.0,0.0,368.0,0.0,10.0,141.0,19.0
FFF,2013J,110881,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,-16.0,NA,18.0,90.0,52.0,78.0,95.0,63.0,127.0,63.0,172.0,82.0,145.0,75.0,123.0,72.0,164.0,63.0,145.0,64.0,171.0,63.0,181.0,55.0,181.0,52.0,0.0,0.0,2.0,343.0,0.0,675.0,1.0,1746.0,26.0,6.0,23.0,1008.0,0.0,56.0,344.0,48.0
FFF,2013J,111678,M,South West Region,Lower Than A Level,20-30%,35-55,0,60,N,Fail,-62.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FFF,2013J,112010,M,Scotland,HE Qualification,20-30%,0-35,3,180,Y,Withdrawn,-32.0,-23.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFF,2013J,113487,M,East Anglian Region,Lower Than A Level,40-50%,35-55,0,120,N,Withdrawn,-150.0,-10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFF,2013J,113565,M,Wales,A Level or Equivalent,80-90%,0-35,0,180,N,Pass,-31.0,NA,19.0,90.0,47.0,90.0,110.0,91.0,149.0,87.0,173.0,83.0,236.0,83.0,237.0,89.0,237.0,78.0,236.0,76.0,236.0,83.0,237.0,85.0,236.0,71.0,0.0,0.0,4.0,179.0,1.0,277.0,4.0,834.0,6.0,6.0,0.0,808.0,0.0,31.0,341.0,24.0
FFF,2013J,114500,M,London Region,Lower Than A Level,50-60%,35-55,0,120,Y,Fail,-5.0,NA,29.0,54.0,61.0,56.0,117.0,15.0,141.0,35.0,174.0,64.0,101.0,52.0,104.0,66.0,129.0,53.0,143.0,61.0,156.0,50.0,227.0,59.0,206.0,54.0,0.0,24.0,4.0,280.0,0.0,495.0,7.0,1592.0,74.0,8.0,26.0,681.0,0.0,49.0,299.0,31.0
FFF,2013J,116290,M,South Region,A Level or Equivalent,50-60%,0-35,1,120,N,Fail,-128.0,NA,18.0,84.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,4.0,0.0,37.0,0.0,40.0,0.0,5.0,0.0,29.0,0.0,5.0,19.0,0.0
FFF,2013J,116499,M,Scotland,Lower Than A Level,50-60%,35-55,0,60,N,Fail,-53.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,9.0,0.0,30.0,0.0,29.0,1.0,11.0,0.0,1.0,0.0,42.0,40.0,3.0
FFF,2013J,116529,M,West Midlands Region,Lower Than A Level,30-40%,0-35,0,120,N,Withdrawn,-103.0,158.0,18.0,82.0,47.0,86.0,104.0,86.0,NA,NA,NA,NA,27.0,95.0,76.0,91.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,72.0,0.0,193.0,1.0,456.0,1.0,6.0,0.0,408.0,0.0,23.0,152.0,7.0
FFF,2013J,116631,M,West Midlands Region,Lower Than A Level,30-40%,0-35,1,150,N,Withdrawn,-103.0,45.0,18.0,68.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,3.0,0.0,71.0,0.0,94.0,0.0,119.0,3.0,9.0,10.0,166.0,0.0,5.0,64.0,7.0
FFF,2013J,116808,M,Scotland,HE Qualification,80-90%,55<=,0,60,N,Distinction,-51.0,NA,16.0,80.0,45.0,98.0,95.0,93.0,129.0,98.0,171.0,95.0,34.0,95.0,35.0,98.0,87.0,97.0,111.0,97.0,168.0,99.0,207.0,97.0,206.0,98.0,67.0,23.0,4.0,5539.0,794.0,1304.0,17.0,2823.0,115.0,35.0,41.0,583.0,0.0,71.0,649.0,110.0
FFF,2013J,117232,M,Ireland,A Level or Equivalent,20-30%,0-35,0,90,N,Pass,-50.0,NA,19.0,78.0,44.0,80.0,95.0,74.0,131.0,83.0,180.0,76.0,63.0,75.0,102.0,92.0,153.0,69.0,158.0,78.0,234.0,77.0,236.0,78.0,236.0,56.0,1.0,0.0,4.0,33.0,0.0,300.0,0.0,393.0,0.0,8.0,3.0,565.0,0.0,35.0,241.0,10.0
