code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,ass_1_date,ass_1_score,ass_2_date,ass_2_score,ass_3_date,ass_3_score,ass_4_date,ass_4_score,ass_5_date,ass_5_score,ass_6_date,ass_6_score,ass_7_date,ass_7_score,ass_8_date,ass_8_score,ass_9_date,ass_9_score,ass_10_date,ass_10_score,ass_11_date,ass_11_score,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_ouelluminate,clicks_quiz,clicks_resource,clicks_sharedsubpage,clicks_subpage,clicks_url
2013B,123860,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,Y,Pass,-29.0,,18.0,60.0,46.0,75.0,89.0,77.0,124.0,65.0,159.0,75.0,187.0,85.0,60.0,100.0,95.0,60.0,126.0,100.0,164.0,80.0,189.0,80.0,356.0,4.0,331.0,,7.0,1.0,127.0,191.0,0.0,214.0,61.0
2013B,126322,F,Scotland,A Level or Equivalent,10-20,35-55,1,60,N,Pass,-106.0,,18.0,65.0,,,70.0,78.0,119.0,86.0,,,,,-1.0,80.0,-1.0,100.0,196.0,100.0,196.0,80.0,,,307.0,2.0,126.0,,0.0,0.0,31.0,14.0,0.0,38.0,8.0
2013B,126411,F,West Midlands Region,Lower Than A Level,0-10%,0-35,2,60,Y,Fail,-124.0,,,,,,,,,,,,,,60.0,100.0,,,,,,,,,0.0,0.0,11.0,,0.0,0.0,13.0,0.0,0.0,1.0,0.0
2013B,127209,F,Scotland,A Level or Equivalent,40-50%,0-35,1,180,Y,Withdrawn,-255.0,-225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,128776,F,Yorkshire Region,Lower Than A Level,40-50%,35-55,1,120,N,Withdrawn,-97.0,24.0,,,,,,,,,,,,,,,,,,,,,,,49.0,0.0,42.0,,1.0,0.0,1.0,19.0,0.0,28.0,6.0
2013B,133155,F,Yorkshire Region,HE Qualification,50-60%,35-55,0,60,N,Pass,-55.0,,19.0,87.0,47.0,85.0,89.0,90.0,130.0,83.0,159.0,90.0,187.0,88.0,60.0,100.0,95.0,100.0,126.0,100.0,164.0,100.0,189.0,100.0,1022.0,0.0,188.0,,0.0,1.0,71.0,15.0,0.0,54.0,9.0
2013B,133531,F,Wales,Lower Than A Level,30-40%,0-35,0,60,N,Fail,-24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,133748,F,Scotland,Lower Than A Level,0-10%,35-55,0,70,N,Fail,-61.0,,13.0,74.0,46.0,61.0,88.0,65.0,136.0,56.0,,,,,60.0,100.0,95.0,100.0,,,,,,,165.0,0.0,140.0,,1.0,1.0,31.0,21.0,0.0,29.0,20.0
2013B,141823,F,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,120,N,Withdrawn,-47.0,86.0,10.0,58.0,46.0,0.0,,,,,,,,,,,,,,,,,,,165.0,0.0,75.0,,0.0,0.0,2.0,7.0,0.0,22.0,5.0
2013B,142324,F,East Anglian Region,Lower Than A Level,30-40%,35-55,0,60,N,Fail,-23.0,,18.0,70.0,46.0,71.0,88.0,68.0,124.0,55.0,,,,,60.0,100.0,95.0,100.0,126.0,80.0,,,,,104.0,0.0,36.0,,0.0,0.0,46.0,4.0,0.0,7.0,2.0
2013B,143741,F,London Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Distinction,-16.0,,18.0,74.0,47.0,70.0,88.0,75.0,124.0,75.0,159.0,78.0,187.0,95.0,60.0,100.0,95.0,100.0,126.0,100.0,164.0,80.0,189.0,100.0,364.0,0.0,159.0,,1.0,0.0,97.0,23.0,0.0,50.0,10.0
2013B,143854,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Withdrawn,-23.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,145544,M,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-45.0,,19.0,77.0,47.0,82.0,88.0,78.0,124.0,66.0,159.0,74.0,187.0,69.0,60.0,100.0,95.0,100.0,126.0,100.0,164.0,100.0,189.0,100.0,432.0,0.0,217.0,,2.0,1.0,70.0,55.0,0.0,73.0,12.0
2013B,147876,M,South West Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,-53.0,,22.0,84.0,47.0,58.0,107.0,58.0,124.0,70.0,,,,,60.0,100.0,95.0,100.0,126.0,80.0,,,,,48.0,0.0,79.0,,1.0,0.0,56.0,73.0,0.0,72.0,13.0
2013B,151697,F,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,60,Y,Pass,-23.0,,17.0,86.0,45.0,81.0,86.0,74.0,122.0,79.0,156.0,80.0,185.0,80.0,60.0,100.0,95.0,100.0,126.0,100.0,164.0,100.0,189.0,100.0,230.0,0.0,66.0,,1.0,0.0,74.0,16.0,0.0,31.0,6.0
2013B,152153,F,East Anglian Region,Lower Than A Level,40-50%,0-35,1,60,N,Withdrawn,-93.0,157.0,18.0,67.0,60.0,10.0,89.0,56.0,138.0,13.0,,,,,60.0,100.0,95.0,40.0,126.0,80.0,,,,,234.0,0.0,159.0,,2.0,0.0,49.0,25.0,0.0,24.0,7.0
2013B,152910,M,West Midlands Region,A Level or Equivalent,,0-35,0,60,N,Pass,-8.0,,18.0,72.0,47.0,74.0,88.0,76.0,123.0,80.0,144.0,78.0,,,60.0,100.0,95.0,100.0,126.0,80.0,164.0,80.0,,,1494.0,0.0,432.0,,1.0,0.0,76.0,44.0,0.0,119.0,28.0
2013B,152929,F,North Western Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,-104.0,,18.0,73.0,54.0,68.0,89.0,56.0,124.0,65.0,,,187.0,82.0,60.0,100.0,95.0,100.0,126.0,80.0,,,189.0,100.0,34.0,0.0,106.0,,0.0,0.0,94.0,16.0,0.0,45.0,4.0
2013B,153212,F,South West Region,Lower Than A Level,40-50%,35-55,1,120,N,Distinction,-82.0,,18.0,90.0,51.0,73.0,99.0,73.0,141.0,81.0,161.0,76.0,184.0,86.0,60.0,100.0,95.0,100.0,126.0,100.0,164.0,60.0,189.0,80.0,503.0,0.0,190.0,,1.0,0.0,75.0,26.0,0.0,39.0,8.0
2013B,153704,F,West Midlands Region,Lower Than A Level,0-10%,0-35,1,120,N,Withdrawn,-166.0,166.0,18.0,83.0,53.0,84.0,89.0,74.0,,,,,,,60.0,100.0,95.0,100.0,126.0,80.0,,,,,191.0,2.0,84.0,,2.0,0.0,60.0,14.0,0.0,50.0,12.0
2013B,154027,F,South East Region,Lower Than A Level,70-80%,0-35,0,60,N,Pass,-19.0,,18.0,76.0,47.0,81.0,89.0,50.0,128.0,66.0,159.0,60.0,,,60.0,80.0,95.0,80.0,126.0,60.0,164.0,80.0,189.0,100.0,246.0,0.0,163.0,,0.0,0.0,76.0,26.0,0.0,51.0,7.0
2013B,154125,F,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,60,N,Fail,-17.0,,18.0,79.0,50.0,80.0,86.0,80.0,123.0,86.0,160.0,83.0,,,60.0,100.0,95.0,100.0,126.0,80.0,164.0,100.0,,,22.0,0.0,8.0,,0.0,0.0,52.0,3.0,0.0,11.0,1.0
2013B,154540,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,-34.0,,17.0,83.0,47.0,75.0,87.0,76.0,124.0,78.0,159.0,82.0,186.0,77.0,60.0,80.0,95.0,100.0,126.0,80.0,164.0,80.0,189.0,60.0,225.0,3.0,93.0,,2.0,1.0,65.0,6.0,0.0,18.0,4.0
2013B,155735,F,West Midlands Region,Lower Than A Level,0-10%,0-35,1,60,N,Withdrawn,-45.0,13.0,,,,,,,,,,,,,,,,,,,,,,,98.0,0.0,22.0,,0.0,0.0,0.0,5.0,0.0,3.0,5.0
2013B,156835,F,London Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-135.0,,18.0,80.0,47.0,83.0,88.0,80.0,121.0,83.0,156.0,83.0,,,60.0,80.0,95.0,100.0,126.0,100.0,164.0,100.0,189.0,80.0,457.0,0.0,394.0,,3.0,1.0,115.0,86.0,0.0,184.0,50.0
2013B,161678,F,North Western Region,Lower Than A Level,0-10%,0-35,1,60,N,Fail,-27.0,,26.0,40.0,,,,,,,,,,,,,,,,,,,,,22.0,0.0,47.0,,0.0,0.0,1.0,10.0,0.0,12.0,2.0
2013B,165243,M,Wales,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-25.0,,18.0,80.0,46.0,68.0,88.0,60.0,131.0,67.0,162.0,66.0,,,60.0,100.0,95.0,80.0,126.0,100.0,164.0,100.0,189.0,100.0,630.0,1.0,276.0,,0.0,13.0,67.0,40.0,0.0,52.0,32.0
2013B,169515,F,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,-50.0,135.0,-5.0,70.0,47.0,48.0,,,,,,,,,,,,,,,,,,,92.0,0.0,53.0,,0.0,0.0,2.0,22.0,0.0,37.0,6.0
2013B,170356,F,East Anglian Region,Lower Than A Level,20-30%,35-55,0,120,N,Withdrawn,-46.0,68.0,18.0,65.0,,,,,,,,,,,,,,,,,,,,,253.0,0.0,105.0,,0.0,0.0,4.0,26.0,0.0,41.0,10.0
2013B,171377,F,West Midlands Region,Lower Than A Level,60-70%,0-35,2,120,N,Fail,-90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,173316,F,London Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,-99.0,,18.0,60.0,47.0,46.0,95.0,44.0,,,187.0,40.0,,,60.0,100.0,,,126.0,60.0,,,189.0,60.0,1107.0,1.0,382.0,,0.0,0.0,78.0,55.0,0.0,60.0,21.0
2013B,173335,F,North Western Region,Lower Than A Level,40-50%,0-35,1,60,N,Fail,-61.0,,18.0,73.0,48.0,60.0,89.0,71.0,124.0,77.0,159.0,35.0,,,60.0,100.0,95.0,100.0,126.0,80.0,164.0,100.0,,,195.0,2.0,113.0,,1.0,0.0,73.0,12.0,0.0,30.0,9.0
2013B,174321,F,Ireland,A Level or Equivalent,80-90%,0-35,1,270,N,Withdrawn,-82.0,-19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,177639,F,Wales,Lower Than A Level,10-20,0-35,1,150,N,Withdrawn,-24.0,11.0,,,,,,,,,,,,,,,,,,,,,,,42.0,0.0,16.0,,1.0,1.0,0.0,3.0,0.0,10.0,4.0
2013B,179605,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,-68.0,76.0,16.0,60.0,47.0,66.0,,,,,,,,,60.0,100.0,,,,,,,,,57.0,0.0,35.0,,2.0,0.0,15.0,15.0,0.0,39.0,4.0
