code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,ass_1_date,ass_1_score,ass_2_date,ass_2_score,ass_3_date,ass_3_score,ass_4_date,ass_4_score,ass_5_date,ass_5_score,ass_6_date,ass_6_score,ass_7_date,ass_7_score,clicks_externalquiz,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_ouwiki,clicks_resource,clicks_subpage,clicks_url
2013J,40184,M,Wales,HE Qualification,30-40%,55<=,0,60,N,Distinction,-106.0,,17.0,95.0,47.0,85.0,67.0,93.0,95.0,100.0,152.0,92.0,172.0,91.0,241.0,100.0,36.0,511.0,1.0,485.0,2.0,47.0,291.0,83.0,390.0,30.0
2013J,40419,M,East Midlands Region,Lower Than A Level,20-30%,35-55,1,60,N,Pass,-57.0,,25.0,82.0,53.0,71.0,88.0,86.0,123.0,68.0,165.0,53.0,207.0,72.0,237.0,69.0,6.0,184.0,0.0,114.0,0.0,82.0,43.0,41.0,86.0,4.0
2013J,40563,F,South East Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,-43.0,,24.0,94.0,52.0,84.0,87.0,97.0,123.0,60.0,165.0,62.0,207.0,52.0,237.0,49.0,2.0,163.0,0.0,121.0,4.0,57.0,59.0,21.0,136.0,21.0
2013J,42818,F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,Y,Fail,-124.0,,25.0,39.0,,,,,,,,,,,,,4.0,72.0,0.0,43.0,2.0,40.0,0.0,2.0,30.0,7.0
2013J,46633,F,London Region,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn,-162.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2013J,47063,M,London Region,HE Qualification,40-50%,35-55,0,120,N,Withdrawn,-73.0,153.0,31.0,43.0,57.0,38.0,86.0,87.0,123.0,29.0,,,,,,,5.0,0.0,0.0,63.0,0.0,16.0,0.0,10.0,42.0,1.0
2013J,48152,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,-139.0,,24.0,59.0,55.0,62.0,88.0,51.0,,,166.0,43.0,207.0,51.0,241.0,47.0,2.0,45.0,0.0,110.0,13.0,167.0,62.0,37.0,80.0,12.0
2013J,49530,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,1,60,N,Withdrawn,-61.0,-43.0,,,,,,,,,,,,,,,,,,,,,,,,
2013J,50610,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,1,70,Y,Fail,-151.0,,-1.0,90.0,-1.0,88.0,-1.0,84.0,,,,,,,,,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,5.0,0.0
2013J,51163,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass,-179.0,,25.0,87.0,53.0,68.0,88.0,61.0,123.0,79.0,165.0,57.0,207.0,60.0,237.0,84.0,23.0,65.0,0.0,245.0,72.0,228.0,12.0,94.0,393.0,35.0
2013J,52494,F,South Region,Lower Than A Level,90-100%,0-35,0,240,N,Withdrawn,-190.0,-57.0,,,,,,,,,,,,,,,,,,,,,,,,
2013J,57227,F,North Western Region,Lower Than A Level,60-70%,0-35,1,160,N,Pass,-46.0,,25.0,86.0,53.0,85.0,88.0,87.0,123.0,78.0,164.0,71.0,,,242.0,67.0,15.0,408.0,9.0,520.0,11.0,130.0,50.0,37.0,227.0,18.0
2013J,57818,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-139.0,,22.0,94.0,49.0,92.0,82.0,94.0,120.0,100.0,162.0,85.0,199.0,96.0,241.0,80.0,44.0,609.0,0.0,666.0,6.0,211.0,339.0,109.0,948.0,105.0
2013J,59275,M,Scotland,HE Qualification,40-50%,0-35,0,60,N,Fail,-72.0,,25.0,54.0,53.0,67.0,88.0,49.0,123.0,40.0,,,,,,,0.0,177.0,0.0,99.0,0.0,143.0,23.0,23.0,56.0,1.0
2013J,59370,M,Ireland,A Level or Equivalent,0-10%,35-55,0,180,N,Pass,-33.0,,24.0,82.0,52.0,75.0,87.0,73.0,123.0,55.0,165.0,44.0,206.0,61.0,242.0,60.0,18.0,597.0,6.0,499.0,18.0,285.0,105.0,96.0,416.0,17.0
2013J,63566,M,South East Region,HE Qualification,70-80%,55<=,0,120,N,Fail,-85.0,,22.0,67.0,53.0,66.0,85.0,69.0,122.0,64.0,164.0,59.0,208.0,71.0,237.0,36.0,4.0,159.0,1.0,334.0,11.0,59.0,129.0,102.0,369.0,64.0
2013J,63856,M,Scotland,A Level or Equivalent,60-70%,35-55,1,60,N,Pass,-176.0,,25.0,75.0,54.0,71.0,88.0,74.0,129.0,41.0,172.0,34.0,207.0,43.0,242.0,27.0,5.0,318.0,0.0,255.0,6.0,88.0,82.0,64.0,136.0,11.0
2013J,66047,F,North Western Region,HE Qualification,0-10%,0-35,4,90,Y,Withdrawn,-166.0,39.0,16.0,43.0,,,,,,,,,,,,,2.0,9.0,0.0,19.0,0.0,11.0,0.0,0.0,9.0,2.0
2013J,66577,F,North Western Region,HE Qualification,10-20,0-35,1,60,N,Fail,-32.0,,-1.0,85.0,-1.0,79.0,-1.0,85.0,,,,,,,,,1.0,8.0,15.0,45.0,0.0,5.0,0.0,9.0,58.0,2.0
2013J,67471,F,London Region,Lower Than A Level,20-30%,0-35,2,60,N,Pass,-124.0,,18.0,69.0,50.0,59.0,84.0,77.0,121.0,67.0,159.0,81.0,206.0,69.0,241.0,47.0,39.0,151.0,0.0,237.0,16.0,169.0,85.0,76.0,294.0,46.0
2013J,67505,F,North Region,A Level or Equivalent,,35-55,1,60,N,Fail,-29.0,,25.0,53.0,55.0,75.0,88.0,38.0,125.0,91.0,,,,,,,7.0,241.0,38.0,308.0,4.0,119.0,203.0,62.0,244.0,20.0
2013J,68011,M,London Region,A Level or Equivalent,90-100%,0-35,0,180,N,Withdrawn,-68.0,62.0,24.0,76.0,52.0,86.0,,,,,,,,,,,6.0,82.0,0.0,84.0,0.0,46.0,40.0,26.0,72.0,4.0
2013J,68376,M,Yorkshire Region,HE Qualification,90-100%,0-35,0,60,N,Pass,-38.0,,23.0,86.0,50.0,90.0,88.0,88.0,123.0,42.0,164.0,44.0,,,237.0,69.0,19.0,292.0,0.0,308.0,1.0,51.0,62.0,85.0,234.0,33.0
2013J,69489,M,South West Region,Lower Than A Level,80-90%,0-35,1,150,N,Withdrawn,-157.0,87.0,,,,,,,,,,,,,,,1.0,55.0,0.0,26.0,0.0,7.0,2.0,1.0,11.0,3.0
2013J,71209,M,South East Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,-74.0,,20.0,67.0,50.0,79.0,86.0,51.0,121.0,49.0,164.0,54.0,203.0,50.0,237.0,44.0,3.0,162.0,0.0,125.0,44.0,22.0,69.0,7.0,50.0,1.0
2013J,74130,M,South Region,A Level or Equivalent,50-60%,0-35,1,60,N,Withdrawn,-201.0,-56.0,,,,,,,,,,,,,,,,,,,,,,,,
2013J,74502,F,Wales,Lower Than A Level,60-70%,0-35,0,120,N,Pass,-139.0,,9.0,68.0,47.0,69.0,83.0,74.0,121.0,55.0,156.0,56.0,,,237.0,56.0,43.0,1043.0,0.0,916.0,32.0,581.0,122.0,176.0,689.0,28.0
2013J,77241,M,West Midlands Region,Lower Than A Level,30-40%,35-55,0,60,N,Withdrawn,-37.0,164.0,25.0,61.0,53.0,81.0,115.0,,,,,,,,,,0.0,97.0,0.0,33.0,0.0,36.0,41.0,5.0,11.0,1.0
2013J,78170,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,-156.0,,24.0,91.0,52.0,85.0,87.0,81.0,122.0,69.0,164.0,64.0,207.0,52.0,237.0,42.0,9.0,1017.0,3.0,549.0,8.0,287.0,239.0,101.0,415.0,41.0
2013J,80329,M,South Region,Lower Than A Level,80-90%,0-35,1,120,N,Withdrawn,-61.0,178.0,25.0,73.0,,,88.0,38.0,,,,,,,,,4.0,55.0,0.0,196.0,8.0,54.0,0.0,49.0,79.0,8.0
2013J,80868,M,South West Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass,-187.0,,25.0,57.0,53.0,79.0,86.0,84.0,123.0,87.0,164.0,70.0,205.0,74.0,237.0,58.0,7.0,1465.0,0.0,1484.0,50.0,590.0,152.0,192.0,353.0,183.0
2013J,82088,F,East Midlands Region,HE Qualification,70-80%,35-55,2,60,N,Fail,-67.0,,24.0,87.0,50.0,71.0,95.0,83.0,,,,,,,,,7.0,287.0,29.0,394.0,3.0,51.0,16.0,36.0,138.0,139.0
2013J,83588,M,South West Region,HE Qualification,50-60%,35-55,2,60,N,Fail,-156.0,,-1.0,79.0,-1.0,78.0,-1.0,91.0,-1.0,35.0,,,,,,,,,,,,,,,,
2013J,84605,M,North Region,A Level or Equivalent,,35-55,0,120,N,Withdrawn,-46.0,170.0,25.0,81.0,60.0,90.0,88.0,90.0,,,,,,,,,9.0,256.0,0.0,214.0,2.0,166.0,9.0,34.0,100.0,16.0
2013J,85325,F,South Region,Lower Than A Level,80-90%,0-35,0,120,N,Withdrawn,-124.0,69.0,28.0,59.0,,,,,,,,,,,,,2.0,6.0,0.0,20.0,1.0,16.0,0.0,6.0,26.0,4.0
2013J,89188,F,South Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Pass,-110.0,,20.0,77.0,52.0,77.0,84.0,64.0,122.0,50.0,154.0,68.0,207.0,48.0,243.0,64.0,20.0,633.0,102.0,367.0,7.0,147.0,96.0,52.0,323.0,13.0
2013J,89727,F,Wales,A Level or Equivalent,40-50%,0-35,0,70,N,Fail,-75.0,,24.0,50.0,53.0,57.0,87.0,64.0,122.0,53.0,164.0,57.0,,,,,6.0,104.0,0.0,96.0,1.0,47.0,86.0,14.0,39.0,13.0
2013J,90979,F,East Anglian Region,HE Qualification,80-90%,35-55,0,120,N,Fail,-46.0,,27.0,63.0,53.0,59.0,86.0,73.0,143.0,12.0,,,,,,,2.0,40.0,0.0,71.0,0.0,42.0,1.0,3.0,9.0,0.0
2013J,91354,M,Ireland,A Level or Equivalent,90-100%,0-35,1,60,Y,Withdrawn,-46.0,218.0,-1.0,77.0,-1.0,73.0,,,,,,,,,,,1.0,4.0,0.0,31.0,0.0,12.0,0.0,11.0,44.0,0.0
2013J,92166,M,South East Region,HE Qualification,90-100%,35-55,3,60,N,Withdrawn,-74.0,-49.0,,,,,,,,,,,,,,,,,,,,,,,,
2013J,92312,M,Wales,Lower Than A Level,50-60%,0-35,3,60,N,Fail,-54.0,,,,,,,,,,,,,,,,0.0,4.0,0.0,10.0,1.0,19.0,0.0,0.0,3.0,2.0
2013J,92391,F,East Anglian Region,A Level or Equivalent,40-50%,35-55,1,60,N,Fail,-145.0,,-1.0,69.0,-1.0,61.0,-1.0,56.0,-1.0,28.0,-1.0,40.0,,,,,1.0,60.0,0.0,93.0,5.0,6.0,6.0,9.0,45.0,4.0
2013J,102850,F,South West Region,A Level or Equivalent,70-80%,35-55,0,165,N,Pass,-39.0,,17.0,68.0,53.0,97.0,88.0,95.0,123.0,83.0,165.0,89.0,207.0,38.0,237.0,82.0,13.0,651.0,12.0,311.0,8.0,284.0,87.0,63.0,293.0,27.0
2013J,103800,M,Wales,A Level or Equivalent,40-50%,0-35,0,90,N,Pass,-82.0,,25.0,63.0,53.0,56.0,88.0,92.0,123.0,53.0,172.0,26.0,207.0,41.0,242.0,76.0,1.0,0.0,0.0,66.0,0.0,19.0,18.0,21.0,45.0,0.0
2013J,104643,F,South West Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-152.0,,20.0,77.0,52.0,81.0,86.0,83.0,128.0,91.0,176.0,78.0,206.0,37.0,241.0,87.0,3.0,505.0,0.0,296.0,20.0,130.0,153.0,89.0,264.0,36.0
2013J,104772,M,South West Region,A Level or Equivalent,70-80%,35-55,0,60,N,Withdrawn,-40.0,97.0,24.0,67.0,52.0,56.0,,,,,,,,,,,11.0,122.0,0.0,210.0,5.0,134.0,54.0,66.0,190.0,24.0
2013J,105523,M,Scotland,HE Qualification,60-70%,35-55,0,90,N,Pass,-37.0,,25.0,81.0,53.0,69.0,88.0,71.0,123.0,38.0,172.0,7.0,215.0,35.0,242.0,53.0,11.0,91.0,0.0,235.0,5.0,150.0,30.0,43.0,168.0,20.0
2013J,108275,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,1,120,Y,Withdrawn,-36.0,-15.0,,,,,,,,,,,,,,,,,,,,,,,,
2013J,108789,M,London Region,A Level or Equivalent,10-20,0-35,0,70,Y,Fail,-165.0,,27.0,27.0,,,,,,,,,,,,,0.0,14.0,0.0,41.0,1.0,24.0,0.0,1.0,21.0,0.0
2013J,111360,M,West Midlands Region,HE Qualification,30-40%,0-35,3,60,N,Fail,-45.0,,25.0,66.0,,,104.0,22.0,126.0,23.0,184.0,36.0,,,,,3.0,16.0,0.0,92.0,0.0,40.0,55.0,11.0,79.0,15.0
2013J,111548,F,South West Region,A Level or Equivalent,70-80%,0-35,1,120,N,Withdrawn,-152.0,164.0,16.0,26.0,47.0,27.0,105.0,13.0,123.0,24.0,,,,,,,6.0,83.0,0.0,127.0,3.0,178.0,22.0,44.0,75.0,4.0
2013J,111926,M,East Anglian Region,Lower Than A Level,30-40%,0-35,1,60,N,Fail,-44.0,,40.0,73.0,59.0,84.0,107.0,82.0,,,,,,,,,15.0,215.0,0.0,212.0,19.0,135.0,83.0,59.0,217.0,12.0
2013J,114558,M,North Region,Lower Than A Level,,0-35,0,60,N,Pass,-86.0,,17.0,81.0,52.0,81.0,87.0,59.0,122.0,65.0,160.0,72.0,,,242.0,56.0,57.0,360.0,12.0,487.0,21.0,79.0,115.0,84.0,356.0,49.0
2013J,118887,F,Yorkshire Region,Lower Than A Level,20-30%,0-35,0,120,N,Withdrawn,-96.0,46.0,,,,,,,,,,,,,,,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0
2013J,120999,M,East Anglian Region,Lower Than A Level,80-90%,0-35,1,60,N,Pass,-60.0,,24.0,54.0,52.0,88.0,87.0,79.0,123.0,66.0,165.0,65.0,206.0,58.0,237.0,71.0,28.0,89.0,0.0,113.0,14.0,34.0,98.0,30.0,91.0,10.0
2013J,122739,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,-34.0,,24.0,61.0,52.0,54.0,88.0,42.0,123.0,11.0,165.0,35.0,,,,,3.0,112.0,5.0,103.0,0.0,143.0,48.0,24.0,79.0,9.0
2013J,123497,M,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,60,N,Fail,-72.0,,26.0,80.0,58.0,71.0,,,,,,,,,,,3.0,104.0,0.0,121.0,13.0,59.0,20.0,42.0,129.0,6.0
2013J,123598,M,Scotland,A Level or Equivalent,50-60%,0-35,0,90,Y,Distinction,-32.0,,,,56.0,65.0,95.0,90.0,125.0,81.0,165.0,60.0,209.0,72.0,242.0,82.0,4.0,151.0,0.0,143.0,10.0,108.0,42.0,76.0,243.0,29.0
2013J,123957,F,North Western Region,Lower Than A Level,70-80%,0-35,0,120,N,Withdrawn,-39.0,149.0,24.0,47.0,52.0,67.0,87.0,69.0,,,,,,,,,3.0,170.0,0.0,191.0,1.0,124.0,27.0,21.0,63.0,9.0
2013J,124006,F,Scotland,A Level or Equivalent,30-40%,0-35,1,70,Y,Pass,-51.0,,20.0,61.0,47.0,77.0,72.0,74.0,120.0,80.0,170.0,37.0,,,242.0,69.0,14.0,185.0,4.0,148.0,2.0,90.0,30.0,52.0,192.0,17.0
2013J,124387,M,Scotland,Post Graduate Qualification,80-90%,35-55,0,60,N,Withdrawn,-58.0,135.0,,,,,,,,,,,,,,,1.0,6.0,0.0,16.0,0.0,17.0,0.0,1.0,13.0,2.0
2013J,126394,M,Wales,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-37.0,,24.0,83.0,53.0,92.0,88.0,94.0,123.0,90.0,165.0,93.0,209.0,63.0,241.0,76.0,3.0,408.0,0.0,446.0,8.0,474.0,53.0,102.0,384.0,6.0
2013J,126812,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,120,N,Pass,-61.0,,19.0,52.0,52.0,73.0,86.0,73.0,123.0,66.0,165.0,45.0,,,237.0,38.0,12.0,706.0,0.0,607.0,12.0,106.0,102.0,102.0,527.0,27.0
2013J,127988,M,Yorkshire Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,-26.0,,23.0,72.0,51.0,58.0,75.0,88.0,108.0,56.0,,,,,242.0,69.0,9.0,26.0,0.0,56.0,0.0,28.0,0.0,15.0,51.0,1.0
2013J,128656,F,North Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,-24.0,,22.0,77.0,52.0,76.0,86.0,94.0,187.0,45.0,,,,,242.0,60.0,6.0,43.0,0.0,60.0,1.0,50.0,32.0,37.0,147.0,10.0
2013J,128965,M,South West Region,A Level or Equivalent,60-70%,55<=,1,60,N,Pass,-145.0,,25.0,71.0,60.0,67.0,90.0,59.0,,,165.0,74.0,207.0,71.0,237.0,67.0,15.0,98.0,120.0,66.0,12.0,28.0,49.0,19.0,104.0,7.0
2013J,130467,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-193.0,,16.0,80.0,52.0,79.0,86.0,67.0,123.0,58.0,164.0,75.0,206.0,52.0,237.0,49.0,10.0,366.0,0.0,315.0,16.0,61.0,112.0,73.0,229.0,42.0
2013J,130671,F,West Midlands Region,Lower Than A Level,70-80%,0-35,0,60,N,Pass,-45.0,,24.0,95.0,52.0,80.0,88.0,91.0,123.0,41.0,,,,,237.0,62.0,13.0,178.0,0.0,277.0,0.0,277.0,81.0,78.0,73.0,3.0
2013J,130837,M,Scotland,A Level or Equivalent,10-20,0-35,0,60,Y,Fail,-39.0,,,,,,,,,,,,,,,,2.0,0.0,0.0,20.0,0.0,21.0,0.0,4.0,16.0,3.0
2013J,131222,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-152.0,,21.0,78.0,50.0,70.0,85.0,87.0,122.0,61.0,162.0,74.0,206.0,70.0,237.0,84.0,17.0,768.0,0.0,508.0,18.0,66.0,138.0,52.0,434.0,62.0
2013J,132401,M,Yorkshire Region,Lower Than A Level,70-80%,0-35,0,60,N,Fail,-90.0,,24.0,93.0,55.0,91.0,86.0,88.0,138.0,84.0,,,,,237.0,47.0,5.0,171.0,1.0,288.0,6.0,196.0,19.0,43.0,218.0,49.0
2013J,135385,F,East Anglian Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,-69.0,,30.0,56.0,56.0,62.0,88.0,72.0,123.0,33.0,172.0,70.0,212.0,30.0,241.0,44.0,18.0,532.0,5.0,588.0,53.0,481.0,196.0,77.0,500.0,50.0
2013J,138709,M,North Region,Lower Than A Level,10-20,0-35,1,60,Y,Withdrawn,-191.0,9.0,,,,,,,,,,,,,,,2.0,36.0,0.0,48.0,0.0,16.0,18.0,9.0,53.0,5.0
2013J,138715,M,South East Region,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn,-94.0,160.0,25.0,62.0,53.0,75.0,88.0,83.0,,,,,,,,,2.0,82.0,0.0,129.0,9.0,197.0,31.0,28.0,65.0,2.0
2013J,139843,M,North Western Region,HE Qualification,0-10%,0-35,2,60,N,Fail,-139.0,,24.0,40.0,60.0,8.0,,,,,,,,,,,3.0,36.0,0.0,23.0,0.0,34.0,5.0,6.0,17.0,3.0
2013J,140807,F,East Anglian Region,A Level or Equivalent,0-10%,0-35,0,60,Y,Pass,-148.0,,23.0,82.0,52.0,81.0,94.0,78.0,123.0,54.0,166.0,79.0,207.0,76.0,241.0,62.0,17.0,954.0,3.0,703.0,15.0,120.0,99.0,71.0,515.0,71.0
2013J,141301,M,West Midlands Region,Lower Than A Level,10-20,0-35,2,150,N,Withdrawn,-137.0,49.0,24.0,84.0,,,,,,,,,,,,,3.0,132.0,0.0,90.0,1.0,90.0,10.0,8.0,55.0,3.0
2013J,142998,F,North Western Region,HE Qualification,20-30%,35-55,1,120,Y,Withdrawn,-193.0,-3.0,,,,,,,,,,,,,,,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2013J,144895,M,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-152.0,,18.0,69.0,52.0,90.0,71.0,94.0,118.0,85.0,159.0,80.0,206.0,70.0,241.0,73.0,9.0,729.0,0.0,304.0,65.0,83.0,28.0,28.0,228.0,27.0
2013J,146485,M,North Region,Lower Than A Level,70-80%,0-35,0,90,N,Fail,-115.0,,16.0,88.0,48.0,61.0,86.0,82.0,120.0,59.0,165.0,71.0,209.0,39.0,241.0,38.0,4.0,301.0,0.0,278.0,16.0,79.0,76.0,27.0,64.0,11.0
2013J,146666,F,East Anglian Region,HE Qualification,60-70%,35-55,0,120,N,Fail,-29.0,,24.0,60.0,54.0,50.0,88.0,67.0,130.0,20.0,165.0,48.0,207.0,18.0,241.0,38.0,5.0,123.0,0.0,137.0,1.0,113.0,41.0,32.0,226.0,30.0
2013J,148008,M,North Western Region,A Level or Equivalent,50-60%,0-35,2,60,N,Fail,-75.0,,24.0,63.0,56.0,79.0,91.0,82.0,144.0,19.0,,,,,,,2.0,98.0,0.0,138.0,25.0,155.0,32.0,36.0,37.0,6.0
2013J,148515,F,Scotland,Lower Than A Level,30-40%,0-35,1,60,N,Fail,-164.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,10.0,0.0,5.0,0.0,1.0,11.0,1.0
2013J,156783,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,-54.0,,15.0,87.0,51.0,72.0,87.0,72.0,122.0,71.0,164.0,66.0,204.0,59.0,237.0,80.0,23.0,119.0,0.0,302.0,4.0,316.0,134.0,32.0,144.0,27.0
2013J,157310,F,Yorkshire Region,Lower Than A Level,40-50%,0-35,0,210,N,Pass,-16.0,,12.0,69.0,47.0,97.0,87.0,81.0,132.0,61.0,164.0,49.0,215.0,25.0,237.0,73.0,11.0,145.0,0.0,268.0,28.0,193.0,53.0,67.0,148.0,10.0
2013J,158611,M,East Midlands Region,HE Qualification,80-90%,0-35,1,60,N,Pass,-61.0,,22.0,55.0,54.0,63.0,85.0,62.0,128.0,39.0,154.0,43.0,205.0,36.0,237.0,69.0,4.0,99.0,0.0,216.0,13.0,164.0,56.0,39.0,145.0,16.0
2013J,160178,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,-89.0,-24.0,,,,,,,,,,,,,,,,,,,,,,,,
2013J,162337,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,120,N,Fail,-96.0,,25.0,65.0,,,,,,,,,,,,,5.0,335.0,0.0,204.0,5.0,96.0,58.0,14.0,54.0,6.0
