code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,ass_1_date,ass_1_score,ass_2_date,ass_2_score,ass_3_date,ass_3_score,ass_4_date,ass_4_score,ass_5_date,ass_5_score,ass_6_date,ass_6_score,ass_7_date,ass_7_score,ass_8_date,ass_8_score,ass_9_date,ass_9_score,ass_10_date,ass_10_score,ass_11_date,ass_11_score,ass_12_date,ass_12_score,clicks_dataplus,clicks_dualpane,clicks_folder,clicks_forumng,clicks_glossary,clicks_homepage,clicks_htmlactivity,clicks_oucollaborate,clicks_oucontent,clicks_ouelluminate,clicks_ouwiki,clicks_page,clicks_questionnaire,clicks_quiz,clicks_repeatactivity,clicks_resource,clicks_subpage,clicks_url
2013B,49095,F,South West Region,HE Qualification,40-50%,0-35,2,150,N,Withdrawn,-284.0,-207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,50263,M,West Midlands Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-25.0,,16.0,84.0,46.0,84.0,88.0,80.0,130.0,79.0,164.0,89.0,-8.0,100.0,18.0,86.0,82.0,82.0,130.0,82.0,139.0,74.0,164.0,77.0,158.0,70.0,11.0,3.0,,1373.0,0.0,933.0,,,1499.0,12.0,25.0,8.0,3.0,1514.0,,26.0,402.0,54.0
2013B,53197,F,North Western Region,No Formal quals,0-10%,0-35,0,60,N,Fail,-81.0,,,,,,89.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,13.0,,,34.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.0,0.0
2013B,53709,M,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,-67.0,159.0,17.0,86.0,46.0,82.0,94.0,70.0,130.0,75.0,,,18.0,83.0,40.0,90.0,483.0,76.0,,,,,,,,,0.0,0.0,,308.0,0.0,289.0,,,525.0,10.0,8.0,9.0,0.0,336.0,,27.0,217.0,6.0
2013B,55450,M,South East Region,A Level or Equivalent,30-40%,35-55,1,120,N,Fail,-66.0,,18.0,88.0,46.0,64.0,88.0,82.0,138.0,63.0,,,,,,,,,,,,,,,,,0.0,2.0,,102.0,0.0,102.0,,,773.0,3.0,9.0,4.0,3.0,38.0,,28.0,123.0,8.0
2013B,58549,M,North Region,A Level or Equivalent,,0-35,0,120,N,Distinction,-23.0,,16.0,94.0,45.0,98.0,89.0,95.0,116.0,93.0,165.0,89.0,5.0,98.0,33.0,100.0,95.0,95.0,132.0,95.0,178.0,86.0,213.0,94.0,200.0,77.0,11.0,10.0,,344.0,13.0,292.0,,,1047.0,13.0,11.0,16.0,24.0,453.0,,24.0,188.0,35.0
2013B,60519,F,London Region,A Level or Equivalent,0-10%,35-55,0,60,N,Withdrawn,-73.0,82.0,17.0,72.0,44.0,68.0,,,,,,,23.0,69.0,54.0,79.0,,,,,,,,,,,0.0,4.0,,581.0,0.0,709.0,,,938.0,22.0,228.0,15.0,8.0,184.0,,53.0,399.0,57.0
2013B,65656,M,West Midlands Region,A Level or Equivalent,0-10%,35-55,0,150,N,Pass,-138.0,,19.0,80.0,47.0,74.0,89.0,73.0,141.0,81.0,169.0,24.0,171.0,85.0,186.0,91.0,193.0,77.0,200.0,92.0,200.0,89.0,207.0,77.0,207.0,71.0,0.0,0.0,,176.0,0.0,310.0,,,595.0,18.0,0.0,1.0,0.0,555.0,,19.0,99.0,3.0
2013B,68208,M,Scotland,HE Qualification,70-80%,35-55,2,270,N,Fail,-29.0,,19.0,74.0,50.0,74.0,99.0,44.0,140.0,46.0,186.0,57.0,52.0,65.0,146.0,60.0,203.0,57.0,203.0,43.0,188.0,57.0,203.0,44.0,203.0,54.0,10.0,14.0,,660.0,0.0,1206.0,,,2730.0,44.0,132.0,20.0,25.0,1395.0,,174.0,934.0,123.0
2013B,71275,F,Ireland,Lower Than A Level,50-60%,35-55,1,150,N,Fail,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,71578,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-29.0,,18.0,94.0,47.0,66.0,89.0,72.0,131.0,82.0,,,157.0,81.0,143.0,85.0,222.0,63.0,157.0,70.0,157.0,67.0,217.0,68.0,222.0,76.0,0.0,0.0,,161.0,1.0,143.0,,,365.0,7.0,3.0,12.0,0.0,706.0,,20.0,150.0,4.0
2013B,72693,F,Yorkshire Region,Lower Than A Level,40-50%,0-35,0,140,Y,Pass,-17.0,,16.0,78.0,44.0,74.0,87.0,67.0,137.0,74.0,165.0,80.0,39.0,81.0,39.0,93.0,223.0,82.0,223.0,75.0,223.0,74.0,223.0,87.0,223.0,72.0,21.0,3.0,,112.0,0.0,218.0,,,1225.0,0.0,10.0,2.0,0.0,482.0,,37.0,151.0,8.0
2013B,74113,M,Yorkshire Region,A Level or Equivalent,0-10%,0-35,1,60,N,Fail,-96.0,,18.0,70.0,46.0,24.0,88.0,59.0,130.0,43.0,,,52.0,80.0,52.0,94.0,,,,,,,,,,,0.0,0.0,,71.0,0.0,82.0,,,86.0,0.0,0.0,0.0,0.0,210.0,,16.0,114.0,4.0
2013B,77998,M,Ireland,Lower Than A Level,,35-55,1,180,N,Withdrawn,-11.0,220.0,19.0,76.0,46.0,90.0,89.0,50.0,131.0,51.0,,,578.0,86.0,584.0,93.0,578.0,80.0,,,,,,,,,0.0,0.0,,60.0,0.0,136.0,,,176.0,4.0,3.0,1.0,1.0,0.0,,10.0,112.0,8.0
2013B,80745,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,1,60,Y,Pass,-24.0,,19.0,92.0,,,96.0,72.0,131.0,85.0,179.0,60.0,132.0,85.0,132.0,89.0,150.0,80.0,,,,,178.0,82.0,,,0.0,0.0,,64.0,0.0,141.0,,,267.0,3.0,1.0,7.0,0.0,350.0,,32.0,134.0,16.0
2013B,80886,M,North Western Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,-94.0,78.0,19.0,92.0,,,,,,,,,18.0,98.0,23.0,87.0,,,,,,,,,,,0.0,0.0,,142.0,0.0,119.0,,,80.0,2.0,13.0,7.0,0.0,194.0,,5.0,25.0,2.0
2013B,82556,M,Ireland,Lower Than A Level,70-80%,0-35,0,60,N,Fail,-54.0,,15.0,72.0,43.0,54.0,,,,,,,10.0,95.0,37.0,92.0,,,,,,,,,,,0.0,0.0,,87.0,0.0,143.0,,,700.0,1.0,15.0,10.0,10.0,432.0,,11.0,118.0,11.0
2013B,82817,F,London Region,HE Qualification,20-30%,35-55,1,60,N,Pass,-29.0,,19.0,88.0,60.0,86.0,97.0,77.0,,,,,209.0,88.0,209.0,94.0,213.0,80.0,220.0,74.0,223.0,54.0,213.0,78.0,,,7.0,0.0,,77.0,0.0,146.0,,,322.0,11.0,7.0,4.0,4.0,575.0,,23.0,186.0,8.0
2013B,84051,M,Wales,A Level or Equivalent,60-70%,0-35,0,120,N,Fail,-29.0,,19.0,96.0,,,89.0,71.0,131.0,67.0,,,,,,,,,,,,,,,,,0.0,0.0,,17.0,0.0,50.0,,,87.0,0.0,0.0,0.0,0.0,12.0,,6.0,36.0,2.0
2013B,86538,M,West Midlands Region,Lower Than A Level,60-70%,0-35,0,60,Y,Withdrawn,-24.0,157.0,22.0,78.0,47.0,56.0,89.0,65.0,,,,,81.0,73.0,95.0,79.0,128.0,61.0,,,,,,,,,0.0,2.0,,74.0,6.0,196.0,,,791.0,0.0,17.0,2.0,8.0,312.0,,15.0,137.0,9.0
2013B,87152,M,East Anglian Region,Lower Than A Level,20-30%,0-35,0,60,Y,Pass,-218.0,,18.0,84.0,46.0,78.0,86.0,75.0,131.0,90.0,165.0,92.0,26.0,80.0,178.0,89.0,179.0,76.0,185.0,77.0,186.0,81.0,193.0,87.0,189.0,84.0,0.0,0.0,,187.0,0.0,292.0,,,1010.0,0.0,7.0,4.0,10.0,523.0,,27.0,174.0,19.0
2013B,88957,M,South East Region,Lower Than A Level,30-40%,0-35,1,120,N,Withdrawn,-137.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,89895,M,Yorkshire Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass,-64.0,,19.0,82.0,47.0,80.0,95.0,58.0,131.0,69.0,166.0,82.0,24.0,79.0,69.0,93.0,166.0,74.0,201.0,79.0,201.0,87.0,217.0,85.0,213.0,86.0,25.0,14.0,,496.0,2.0,925.0,,,2497.0,9.0,76.0,18.0,36.0,791.0,,44.0,580.0,101.0
2013B,91164,M,London Region,HE Qualification,0-10%,35-55,0,60,Y,Fail,-31.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,2.0,0.0,5.0,,,10.0,0.0,1.0,1.0,0.0,0.0,,0.0,2.0,0.0
2013B,96729,M,London Region,A Level or Equivalent,40-50%,0-35,1,120,N,Pass,-44.0,,18.0,64.0,45.0,72.0,94.0,90.0,131.0,83.0,166.0,73.0,90.0,92.0,90.0,99.0,108.0,94.0,125.0,97.0,222.0,88.0,203.0,84.0,199.0,92.0,16.0,4.0,,178.0,0.0,326.0,,,1135.0,8.0,21.0,9.0,9.0,734.0,,33.0,216.0,18.0
2013B,99993,F,East Anglian Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass,-94.0,,17.0,90.0,45.0,96.0,88.0,67.0,128.0,89.0,165.0,83.0,24.0,69.0,98.0,68.0,117.0,80.0,200.0,70.0,200.0,71.0,210.0,55.0,,,20.0,6.0,,575.0,0.0,630.0,,,1282.0,20.0,48.0,16.0,7.0,961.0,,53.0,268.0,36.0
2013B,101306,M,London Region,A Level or Equivalent,20-30%,35-55,0,120,N,Fail,-148.0,,19.0,70.0,,,93.0,28.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,201.0,0.0,204.0,,,131.0,9.0,21.0,13.0,0.0,1.0,,54.0,189.0,43.0
2013B,107162,F,South Region,A Level or Equivalent,70-80%,35-55,0,60,N,Distinction,-93.0,,17.0,82.0,47.0,94.0,100.0,88.0,130.0,90.0,166.0,87.0,30.0,89.0,87.0,95.0,128.0,84.0,167.0,73.0,182.0,80.0,208.0,87.0,208.0,86.0,5.0,9.0,,494.0,0.0,558.0,,,2025.0,20.0,38.0,24.0,13.0,602.0,,44.0,363.0,48.0
2013B,107955,M,London Region,HE Qualification,40-50%,0-35,0,120,N,Withdrawn,,-40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,108330,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,1,60,N,Pass,-83.0,,17.0,92.0,45.0,70.0,92.0,49.0,135.0,41.0,165.0,60.0,17.0,66.0,47.0,69.0,102.0,42.0,156.0,67.0,164.0,43.0,217.0,57.0,217.0,49.0,0.0,0.0,,627.0,0.0,429.0,,,373.0,115.0,2.0,17.0,0.0,1252.0,,51.0,304.0,39.0
2013B,110085,M,Ireland,Lower Than A Level,,0-35,1,310,N,Fail,-23.0,,19.0,86.0,55.0,84.0,100.0,16.0,140.0,51.0,166.0,58.0,217.0,80.0,221.0,78.0,217.0,77.0,217.0,76.0,221.0,77.0,222.0,73.0,221.0,63.0,0.0,0.0,,185.0,0.0,238.0,,,257.0,0.0,1.0,7.0,0.0,649.0,,122.0,195.0,25.0
2013B,110116,M,East Midlands Region,HE Qualification,40-50%,0-35,1,150,N,Pass,-93.0,,19.0,88.0,47.0,90.0,89.0,84.0,131.0,72.0,166.0,82.0,59.0,90.0,59.0,94.0,108.0,81.0,136.0,88.0,152.0,83.0,192.0,75.0,192.0,83.0,10.0,11.0,,428.0,0.0,485.0,,,1894.0,36.0,42.0,3.0,0.0,765.0,,30.0,327.0,61.0
2013B,111775,M,Ireland,HE Qualification,,35-55,1,60,N,Pass,-22.0,,17.0,84.0,45.0,98.0,88.0,98.0,129.0,89.0,164.0,98.0,37.0,83.0,49.0,93.0,70.0,83.0,101.0,77.0,131.0,87.0,154.0,89.0,154.0,88.0,12.0,3.0,,360.0,0.0,544.0,,,881.0,15.0,16.0,8.0,1.0,805.0,,56.0,485.0,25.0
2013B,112010,M,Scotland,HE Qualification,20-30%,0-35,2,270,Y,Withdrawn,-96.0,-51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,115373,M,South Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,-86.0,,18.0,90.0,46.0,86.0,89.0,74.0,132.0,83.0,164.0,85.0,42.0,88.0,111.0,96.0,130.0,73.0,133.0,76.0,166.0,84.0,217.0,73.0,216.0,73.0,7.0,0.0,,666.0,0.0,571.0,,,1018.0,12.0,29.0,9.0,3.0,723.0,,38.0,287.0,23.0
2013B,118532,M,South East Region,Lower Than A Level,70-80%,0-35,0,60,N,Pass,-29.0,,17.0,92.0,46.0,82.0,88.0,85.0,131.0,83.0,166.0,96.0,37.0,90.0,82.0,97.0,116.0,88.0,171.0,81.0,192.0,80.0,192.0,81.0,192.0,82.0,11.0,5.0,,875.0,0.0,994.0,,,1115.0,0.0,16.0,8.0,0.0,953.0,,34.0,497.0,23.0
2013B,118668,M,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,Pass,-28.0,,19.0,70.0,47.0,58.0,89.0,81.0,131.0,76.0,166.0,83.0,178.0,84.0,217.0,95.0,194.0,84.0,221.0,67.0,221.0,83.0,222.0,85.0,222.0,80.0,6.0,0.0,,486.0,0.0,430.0,,,1046.0,5.0,23.0,10.0,17.0,816.0,,60.0,311.0,39.0
2013B,119353,M,North Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-54.0,,18.0,78.0,47.0,88.0,89.0,77.0,131.0,92.0,166.0,86.0,49.0,90.0,62.0,95.0,214.0,85.0,214.0,85.0,214.0,85.0,216.0,80.0,215.0,89.0,0.0,8.0,,371.0,0.0,504.0,,,1386.0,11.0,24.0,16.0,20.0,1053.0,,36.0,248.0,31.0
2013B,125996,M,North Western Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-45.0,,22.0,76.0,49.0,82.0,93.0,71.0,131.0,77.0,165.0,83.0,25.0,82.0,32.0,91.0,124.0,72.0,137.0,79.0,150.0,85.0,213.0,77.0,178.0,72.0,3.0,3.0,,177.0,0.0,442.0,,,1722.0,7.0,16.0,13.0,17.0,552.0,,29.0,316.0,30.0
2013B,126088,M,London Region,HE Qualification,30-40%,35-55,1,120,N,Fail,-64.0,,19.0,60.0,47.0,50.0,89.0,44.0,151.0,35.0,155.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,401.0,0.0,282.0,,,233.0,43.0,0.0,3.0,0.0,34.0,,34.0,100.0,10.0
2013B,128142,M,South West Region,A Level or Equivalent,50-60%,35-55,0,60,N,Fail,-108.0,,17.0,78.0,43.0,90.0,94.0,44.0,130.0,30.0,,,10.0,82.0,33.0,89.0,52.0,64.0,101.0,76.0,,,,,,,0.0,0.0,,382.0,0.0,219.0,,,259.0,7.0,0.0,9.0,12.0,543.0,,81.0,179.0,15.0
2013B,128791,M,West Midlands Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,-23.0,147.0,16.0,68.0,47.0,52.0,109.0,60.0,,,,,,,,,,,,,,,,,,,0.0,1.0,,203.0,0.0,230.0,,,419.0,4.0,24.0,9.0,3.0,98.0,,46.0,168.0,30.0
2013B,130403,F,London Region,Lower Than A Level,20-30%,35-55,0,60,N,Pass,-22.0,,18.0,60.0,47.0,52.0,88.0,78.0,130.0,60.0,169.0,63.0,75.0,82.0,98.0,76.0,178.0,62.0,118.0,62.0,192.0,61.0,196.0,55.0,201.0,69.0,26.0,11.0,,596.0,0.0,473.0,,,2677.0,9.0,73.0,23.0,37.0,1118.0,,51.0,503.0,42.0
2013B,131272,M,Yorkshire Region,Lower Than A Level,10-20,0-35,0,120,N,Pass,-65.0,,15.0,76.0,46.0,60.0,88.0,64.0,130.0,82.0,165.0,79.0,63.0,82.0,220.0,76.0,220.0,78.0,214.0,78.0,214.0,80.0,220.0,78.0,214.0,77.0,10.0,17.0,,505.0,0.0,825.0,,,2278.0,21.0,33.0,20.0,16.0,1144.0,,48.0,537.0,31.0
2013B,134260,M,South Region,A Level or Equivalent,90-100%,0-35,0,90,N,Pass,-108.0,,19.0,68.0,47.0,70.0,89.0,81.0,131.0,81.0,166.0,96.0,207.0,81.0,207.0,98.0,217.0,95.0,220.0,87.0,220.0,88.0,220.0,87.0,220.0,87.0,1.0,1.0,,107.0,0.0,125.0,,,94.0,3.0,1.0,3.0,0.0,661.0,,32.0,122.0,7.0
2013B,134578,M,North Region,Lower Than A Level,60-70%,0-35,1,120,N,Fail,-20.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,22.0,0.0,11.0,,,42.0,6.0,8.0,6.0,0.0,61.0,,10.0,18.0,1.0
2013B,135075,M,East Anglian Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-102.0,,14.0,72.0,46.0,80.0,84.0,89.0,127.0,74.0,163.0,88.0,17.0,88.0,45.0,93.0,52.0,85.0,95.0,88.0,164.0,84.0,185.0,95.0,178.0,84.0,14.0,3.0,,285.0,0.0,305.0,,,1298.0,29.0,30.0,16.0,24.0,524.0,,66.0,207.0,80.0
2013B,139949,F,South West Region,Lower Than A Level,10-20,0-35,0,60,N,Pass,-48.0,,18.0,92.0,46.0,92.0,88.0,91.0,130.0,97.0,166.0,82.0,23.0,98.0,19.0,99.0,128.0,91.0,128.0,92.0,220.0,90.0,220.0,88.0,220.0,84.0,0.0,0.0,,625.0,0.0,801.0,,,829.0,24.0,7.0,7.0,1.0,1033.0,,19.0,204.0,60.0
2013B,140866,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-66.0,,16.0,86.0,54.0,84.0,95.0,88.0,129.0,82.0,169.0,86.0,178.0,88.0,178.0,97.0,186.0,81.0,186.0,84.0,187.0,83.0,186.0,88.0,187.0,90.0,11.0,3.0,,203.0,0.0,351.0,,,1416.0,2.0,41.0,11.0,7.0,665.0,,29.0,259.0,30.0
2013B,140907,M,North Region,No Formal quals,,0-35,0,120,N,Pass,-23.0,,19.0,82.0,34.0,76.0,83.0,78.0,130.0,78.0,165.0,71.0,30.0,88.0,45.0,94.0,52.0,87.0,95.0,85.0,128.0,69.0,171.0,77.0,167.0,69.0,1.0,6.0,,258.0,0.0,685.0,,,1340.0,1.0,37.0,18.0,9.0,533.0,,52.0,419.0,48.0
2013B,142339,F,East Anglian Region,Post Graduate Qualification,90-100%,35-55,0,60,N,Distinction,-140.0,,8.0,96.0,42.0,92.0,81.0,94.0,122.0,86.0,161.0,93.0,24.0,90.0,24.0,99.0,59.0,95.0,103.0,96.0,150.0,91.0,184.0,93.0,171.0,90.0,44.0,10.0,,1327.0,0.0,744.0,,,1956.0,10.0,92.0,24.0,41.0,736.0,,45.0,405.0,29.0
2013B,143350,F,South West Region,A Level or Equivalent,80-90%,0-35,0,90,N,Pass,-43.0,,10.0,84.0,43.0,92.0,85.0,90.0,129.0,88.0,166.0,84.0,17.0,84.0,40.0,88.0,98.0,75.0,168.0,70.0,175.0,79.0,198.0,64.0,178.0,72.0,0.0,0.0,,869.0,4.0,386.0,,,443.0,24.0,25.0,8.0,0.0,560.0,,45.0,257.0,16.0
2013B,144747,M,London Region,HE Qualification,50-60%,0-35,1,150,N,Distinction,-27.0,,16.0,88.0,47.0,90.0,96.0,88.0,131.0,81.0,166.0,93.0,195.0,81.0,195.0,92.0,195.0,78.0,196.0,85.0,198.0,83.0,198.0,90.0,198.0,78.0,10.0,0.0,,174.0,0.0,208.0,,,437.0,6.0,11.0,3.0,3.0,525.0,,70.0,204.0,10.0
2013B,146455,F,Ireland,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn,-37.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,23.0,0.0,37.0,,,18.0,1.0,0.0,4.0,0.0,0.0,,0.0,7.0,1.0
2013B,146679,M,West Midlands Region,Lower Than A Level,20-30%,0-35,1,210,N,Withdrawn,-23.0,33.0,18.0,74.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,159.0,1.0,75.0,,,137.0,3.0,17.0,3.0,0.0,149.0,,5.0,77.0,11.0
2013B,147168,M,North Region,A Level or Equivalent,,35-55,0,60,N,Pass,-289.0,,17.0,94.0,46.0,84.0,73.0,78.0,130.0,56.0,157.0,85.0,207.0,86.0,207.0,95.0,207.0,64.0,207.0,82.0,207.0,66.0,207.0,83.0,207.0,73.0,40.0,11.0,,2655.0,0.0,1613.0,,,2759.0,20.0,42.0,26.0,48.0,726.0,,38.0,511.0,94.0
2013B,149567,F,South Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,-10.0,26.0,17.0,76.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,158.0,0.0,104.0,,,119.0,1.0,20.0,3.0,0.0,22.0,,9.0,37.0,12.0
2013B,149680,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,1,120,N,Pass,-135.0,,19.0,82.0,47.0,88.0,89.0,88.0,130.0,80.0,166.0,93.0,24.0,85.0,61.0,81.0,75.0,86.0,128.0,83.0,158.0,94.0,209.0,72.0,195.0,85.0,11.0,8.0,,964.0,0.0,737.0,,,2491.0,6.0,42.0,19.0,6.0,634.0,,32.0,350.0,38.0
2013B,149693,M,Yorkshire Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,-53.0,,18.0,82.0,39.0,76.0,89.0,83.0,130.0,79.0,,,18.0,80.0,74.0,78.0,220.0,50.0,220.0,67.0,221.0,56.0,221.0,79.0,221.0,69.0,13.0,0.0,,511.0,0.0,463.0,,,712.0,18.0,9.0,4.0,6.0,772.0,,24.0,294.0,9.0
2013B,150763,M,North Region,Lower Than A Level,,35-55,0,100,N,Pass,-54.0,,8.0,52.0,38.0,68.0,77.0,64.0,111.0,68.0,148.0,70.0,45.0,86.0,80.0,99.0,82.0,72.0,109.0,85.0,143.0,85.0,164.0,90.0,164.0,78.0,0.0,18.0,,1963.0,0.0,1719.0,,,3463.0,13.0,127.0,14.0,10.0,1282.0,,78.0,1081.0,107.0
2013B,151465,M,East Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-55.0,,15.0,78.0,43.0,50.0,88.0,68.0,145.0,76.0,165.0,88.0,37.0,74.0,178.0,72.0,181.0,67.0,195.0,75.0,195.0,59.0,196.0,71.0,195.0,65.0,14.0,10.0,,375.0,0.0,241.0,,,1195.0,18.0,31.0,10.0,15.0,373.0,,32.0,160.0,21.0
2013B,153110,M,Scotland,HE Qualification,40-50%,35-55,0,60,N,Fail,-23.0,,19.0,76.0,69.0,72.0,129.0,48.0,,,,,28.0,74.0,59.0,80.0,,,,,,,,,,,0.0,0.0,,12.0,0.0,91.0,,,135.0,0.0,1.0,1.0,0.0,211.0,,8.0,70.0,5.0
2013B,153785,F,North Western Region,Lower Than A Level,10-20,0-35,0,60,Y,Pass,-23.0,,17.0,92.0,45.0,86.0,88.0,94.0,123.0,84.0,165.0,83.0,55.0,80.0,66.0,95.0,154.0,84.0,159.0,69.0,164.0,82.0,200.0,72.0,189.0,69.0,10.0,3.0,,967.0,0.0,920.0,,,1900.0,22.0,36.0,11.0,17.0,778.0,,52.0,314.0,45.0
