code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,ass_1_date,ass_1_score,ass_2_date,ass_2_score,ass_3_date,ass_3_score,ass_4_date,ass_4_score,ass_5_date,ass_5_score,clicks_dataplus,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_resource,clicks_subpage,clicks_url
2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,-103.0,,18.0,68.0,53.0,76.0,116.0,78.0,166.0,80.0,214.0,68.0,5.0,30.0,8.0,360.0,0.0,708.0,16.0,132.0,60.0
2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-47.0,,19.0,73.0,54.0,74.0,119.0,68.0,166.0,73.0,215.0,78.0,8.0,229.0,0.0,488.0,2.0,811.0,6.0,110.0,78.0
2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,-59.0,,18.0,67.0,53.0,71.0,117.0,78.0,166.0,88.0,215.0,89.0,0.0,218.0,0.0,215.0,3.0,521.0,13.0,100.0,32.0
2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,-68.0,,17.0,73.0,50.0,85.0,114.0,75.0,164.0,70.0,213.0,77.0,12.0,1255.0,0.0,513.0,1.0,1520.0,21.0,61.0,5.0
2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,-67.0,,19.0,83.0,54.0,42.0,117.0,78.0,166.0,76.0,215.0,79.0,25.0,411.0,0.0,543.0,0.0,1419.0,8.0,204.0,127.0
2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,-180.0,96.0,17.0,66.0,51.0,68.0,,,,,,,0.0,12.0,0.0,38.0,0.0,100.0,2.0,18.0,1.0
2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-95.0,,19.0,59.0,52.0,60.0,115.0,60.0,164.0,61.0,198.0,38.0,1.0,91.0,2.0,254.0,2.0,610.0,12.0,56.0,25.0
2013J,71361,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,-130.0,,19.0,82.0,53.0,86.0,117.0,82.0,165.0,77.0,215.0,75.0,3.0,822.0,0.0,390.0,1.0,853.0,49.0,129.0,80.0
2013J,74372,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,Fail,-50.0,,22.0,60.0,54.0,18.0,120.0,67.0,166.0,49.0,,,0.0,14.0,0.0,34.0,0.0,43.0,1.0,22.0,2.0
2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-107.0,,18.0,67.0,52.0,66.0,116.0,67.0,170.0,65.0,212.0,65.0,12.0,756.0,0.0,602.0,0.0,1349.0,42.0,176.0,55.0
2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-27.0,,18.0,73.0,54.0,76.0,115.0,72.0,173.0,67.0,215.0,64.0,0.0,77.0,0.0,248.0,0.0,252.0,7.0,68.0,28.0
2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,-31.0,,21.0,75.0,64.0,74.0,122.0,75.0,170.0,73.0,220.0,57.0,8.0,5.0,0.0,424.0,0.0,893.0,9.0,116.0,39.0
2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,-170.0,72.0,17.0,74.0,,,,,,,,,0.0,12.0,0.0,70.0,0.0,183.0,1.0,57.0,16.0
2013J,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,-107.0,,18.0,62.0,49.0,59.0,106.0,59.0,157.0,61.0,202.0,62.0,11.0,33.0,0.0,486.0,0.0,2069.0,33.0,189.0,18.0
2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-62.0,,17.0,63.0,50.0,68.0,116.0,71.0,171.0,74.0,218.0,66.0,4.0,255.0,0.0,161.0,1.0,228.0,6.0,67.0,22.0
2013J,101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,-103.0,,16.0,84.0,52.0,64.0,116.0,75.0,165.0,66.0,213.0,74.0,17.0,642.0,0.0,695.0,0.0,2298.0,20.0,269.0,163.0
2013J,102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-107.0,,19.0,80.0,54.0,86.0,117.0,86.0,166.0,78.0,215.0,60.0,3.0,414.0,0.0,563.0,0.0,864.0,16.0,83.0,1.0
2013J,102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,-100.0,,19.0,76.0,52.0,70.0,117.0,83.0,166.0,73.0,215.0,81.0,5.0,217.0,0.0,172.0,0.0,607.0,22.0,102.0,25.0
2013J,104476,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass,-109.0,,30.0,85.0,62.0,78.0,117.0,80.0,166.0,77.0,215.0,78.0,10.0,353.0,0.0,813.0,5.0,3122.0,49.0,286.0,139.0
2013J,106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,5.0,175.0,32.0,67.0,64.0,66.0,115.0,47.0,,,,,0.0,59.0,0.0,117.0,1.0,230.0,16.0,39.0,3.0
2013J,106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,-107.0,,18.0,57.0,54.0,51.0,117.0,56.0,173.0,38.0,215.0,65.0,0.0,91.0,0.0,183.0,0.0,389.0,15.0,55.0,0.0
2013J,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-110.0,,18.0,66.0,55.0,61.0,116.0,68.0,165.0,53.0,215.0,69.0,0.0,30.0,0.0,212.0,0.0,499.0,52.0,152.0,53.0
2013J,111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,-43.0,,10.0,80.0,,,117.0,80.0,,,215.0,83.0,14.0,259.0,1.0,489.0,2.0,1341.0,18.0,160.0,59.0
2013J,113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,-26.0,,19.0,81.0,61.0,77.0,113.0,77.0,173.0,75.0,222.0,78.0,16.0,802.0,0.0,979.0,4.0,1383.0,32.0,221.0,116.0
2013J,114017,F,North Region,Post Graduate Qualification,,35-55,0,60,N,Pass,-29.0,,18.0,66.0,53.0,76.0,116.0,74.0,165.0,72.0,214.0,71.0,0.0,5.0,0.0,174.0,0.0,344.0,37.0,157.0,40.0
2013J,114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,-68.0,,18.0,74.0,52.0,79.0,123.0,77.0,171.0,80.0,214.0,54.0,10.0,129.0,0.0,241.0,2.0,852.0,27.0,65.0,32.0
2013J,116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,-68.0,,19.0,76.0,75.0,66.0,131.0,60.0,173.0,60.0,220.0,50.0,3.0,72.0,0.0,420.0,0.0,1149.0,4.0,131.0,107.0
2013J,116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,-32.0,,16.0,72.0,47.0,77.0,114.0,72.0,163.0,78.0,208.0,72.0,0.0,18.0,0.0,315.0,0.0,606.0,8.0,112.0,49.0
2013J,118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,-99.0,,19.0,73.0,54.0,63.0,117.0,65.0,166.0,63.0,215.0,45.0,0.0,9.0,0.0,62.0,0.0,151.0,14.0,43.0,5.0
2013J,123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-82.0,,25.0,75.0,54.0,72.0,117.0,72.0,166.0,70.0,215.0,68.0,3.0,390.0,0.0,486.0,2.0,857.0,9.0,199.0,95.0
2013J,127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,-31.0,,26.0,69.0,61.0,66.0,117.0,71.0,173.0,75.0,215.0,67.0,0.0,198.0,0.0,324.0,0.0,666.0,18.0,90.0,25.0
2013J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,-197.0,135.0,18.0,85.0,54.0,82.0,127.0,76.0,,,,,6.0,30.0,0.0,301.0,1.0,606.0,4.0,43.0,20.0
2013J,132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,-75.0,,18.0,63.0,53.0,65.0,116.0,75.0,165.0,72.0,215.0,62.0,6.0,51.0,0.0,95.0,1.0,308.0,7.0,50.0,2.0
2013J,134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,-96.0,,18.0,87.0,53.0,83.0,116.0,85.0,165.0,86.0,215.0,81.0,24.0,18.0,0.0,504.0,4.0,2078.0,28.0,72.0,4.0
2013J,135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn,-29.0,30.0,,,,,,,,,,,0.0,0.0,0.0,21.0,0.0,33.0,0.0,3.0,0.0
2013J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,-32.0,144.0,19.0,72.0,49.0,51.0,,,,,,,0.0,21.0,0.0,61.0,0.0,149.0,3.0,41.0,12.0
2013J,137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-195.0,,15.0,72.0,54.0,81.0,117.0,83.0,161.0,78.0,215.0,87.0,6.0,2676.0,0.0,1042.0,0.0,1516.0,27.0,197.0,64.0
2013J,141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,-61.0,,19.0,77.0,54.0,74.0,117.0,70.0,173.0,71.0,215.0,71.0,7.0,894.0,0.0,263.0,0.0,521.0,19.0,89.0,30.0
2013J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,-110.0,129.0,54.0,45.0,,,,,,,,,1.0,25.0,2.0,33.0,0.0,51.0,4.0,27.0,0.0
2013J,142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-37.0,,17.0,65.0,65.0,76.0,117.0,74.0,165.0,71.0,212.0,82.0,18.0,379.0,0.0,502.0,0.0,934.0,14.0,170.0,104.0
2013J,144801,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-67.0,,19.0,61.0,56.0,64.0,117.0,65.0,166.0,75.0,216.0,79.0,2.0,2092.0,1.0,1057.0,2.0,2005.0,53.0,296.0,137.0
2013J,145130,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass,-36.0,,19.0,75.0,54.0,37.0,127.0,49.0,177.0,48.0,215.0,63.0,0.0,49.0,0.0,94.0,0.0,270.0,10.0,29.0,0.0
2013J,146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,-132.0,,19.0,52.0,61.0,53.0,117.0,62.0,183.0,43.0,215.0,40.0,0.0,72.0,0.0,142.0,2.0,314.0,13.0,49.0,5.0
2013J,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,-92.0,,18.0,77.0,53.0,72.0,123.0,75.0,172.0,71.0,,,0.0,86.0,0.0,187.0,0.0,284.0,10.0,39.0,5.0
2013J,147793,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,-138.0,58.0,32.0,52.0,,,,,,,,,0.0,56.0,0.0,35.0,0.0,45.0,1.0,18.0,0.0
2013J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,-174.0,158.0,25.0,68.0,63.0,70.0,122.0,78.0,,,,,3.0,878.0,1.0,402.0,0.0,506.0,8.0,53.0,13.0
2013J,151358,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,-44.0,,17.0,54.0,52.0,48.0,108.0,45.0,164.0,53.0,212.0,50.0,0.0,3.0,0.0,34.0,0.0,183.0,6.0,39.0,5.0
2013J,155550,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass,-16.0,,19.0,75.0,54.0,66.0,117.0,68.0,170.0,61.0,215.0,65.0,0.0,107.0,0.0,335.0,0.0,824.0,32.0,161.0,70.0
2013J,155854,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,-54.0,,18.0,82.0,53.0,79.0,116.0,79.0,165.0,81.0,214.0,78.0,40.0,834.0,0.0,1009.0,2.0,2007.0,30.0,76.0,5.0
2013J,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,-64.0,191.0,19.0,85.0,90.0,75.0,,,,,,,1.0,210.0,0.0,179.0,2.0,374.0,19.0,85.0,38.0
2013J,157568,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-52.0,,18.0,79.0,66.0,81.0,138.0,74.0,181.0,60.0,215.0,59.0,8.0,30.0,0.0,287.0,1.0,880.0,8.0,115.0,76.0
2013J,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn,-46.0,123.0,19.0,65.0,61.0,68.0,,,,,,,0.0,161.0,1.0,256.0,2.0,646.0,4.0,75.0,40.0
2013J,164259,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-64.0,,18.0,82.0,53.0,58.0,116.0,78.0,168.0,73.0,214.0,68.0,0.0,53.0,0.0,120.0,0.0,154.0,24.0,84.0,31.0
2013J,167906,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-117.0,,19.0,60.0,54.0,58.0,124.0,82.0,173.0,72.0,215.0,75.0,1.0,282.0,0.0,426.0,0.0,583.0,9.0,125.0,84.0
2013J,168936,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,-32.0,,19.0,76.0,54.0,79.0,117.0,62.0,166.0,54.0,215.0,61.0,6.0,274.0,0.0,134.0,0.0,267.0,9.0,38.0,17.0
2013J,172112,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,-50.0,,19.0,60.0,68.0,67.0,124.0,74.0,180.0,72.0,215.0,75.0,0.0,253.0,1.0,317.0,0.0,1012.0,23.0,200.0,133.0
2013J,172797,F,Ireland,A Level or Equivalent,,35-55,0,60,N,Pass,-45.0,,18.0,60.0,53.0,54.0,119.0,67.0,172.0,66.0,213.0,60.0,6.0,287.0,1.0,451.0,0.0,841.0,29.0,142.0,25.0
2013J,174782,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass,-162.0,,17.0,83.0,52.0,79.0,115.0,77.0,164.0,83.0,213.0,80.0,5.0,2988.0,0.0,1304.0,3.0,1536.0,19.0,282.0,181.0
2013J,175392,M,North Region,HE Qualification,,35-55,0,60,N,Pass,-195.0,,16.0,85.0,53.0,74.0,116.0,82.0,164.0,93.0,213.0,78.0,6.0,2097.0,0.0,901.0,0.0,1051.0,72.0,195.0,125.0
2013J,175932,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass,-92.0,,18.0,76.0,57.0,73.0,119.0,78.0,165.0,82.0,214.0,82.0,13.0,258.0,0.0,358.0,0.0,1189.0,8.0,162.0,28.0
2013J,175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail,-57.0,,15.0,51.0,116.0,28.0,116.0,42.0,166.0,32.0,239.0,35.0,0.0,13.0,0.0,36.0,0.0,65.0,0.0,23.0,1.0
2013J,180753,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,-64.0,,18.0,61.0,53.0,59.0,113.0,44.0,164.0,59.0,209.0,44.0,9.0,767.0,0.0,355.0,0.0,679.0,12.0,136.0,54.0
2013J,181316,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn,-39.0,60.0,20.0,76.0,,,,,,,,,1.0,151.0,1.0,53.0,0.0,243.0,6.0,27.0,5.0
2013J,183096,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-128.0,,19.0,57.0,57.0,53.0,117.0,51.0,166.0,52.0,215.0,57.0,3.0,271.0,0.0,393.0,0.0,1027.0,17.0,171.0,93.0
2013J,183947,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,Pass,-32.0,,19.0,67.0,54.0,33.0,118.0,48.0,170.0,54.0,215.0,43.0,0.0,291.0,1.0,176.0,0.0,396.0,37.0,57.0,6.0
2013J,184271,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,Pass,-74.0,,18.0,65.0,53.0,62.0,117.0,65.0,158.0,53.0,212.0,54.0,18.0,129.0,1.0,296.0,1.0,802.0,13.0,45.0,7.0
2013J,185439,M,London Region,HE Qualification,10-20,0-35,0,120,N,Fail,-12.0,,24.0,74.0,,,,,,,,,0.0,39.0,1.0,75.0,4.0,250.0,16.0,41.0,1.0
2013J,186149,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass,-109.0,,33.0,85.0,68.0,81.0,127.0,78.0,171.0,55.0,215.0,81.0,4.0,516.0,2.0,466.0,11.0,897.0,37.0,122.0,81.0
2013J,187100,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction,-136.0,,17.0,88.0,52.0,90.0,115.0,88.0,164.0,90.0,213.0,90.0,5.0,3274.0,0.0,2143.0,0.0,2021.0,25.0,711.0,383.0
2013J,188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn,-57.0,60.0,19.0,76.0,,,,,,,,,0.0,330.0,0.0,360.0,3.0,538.0,5.0,136.0,62.0
2013J,189879,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-180.0,,19.0,76.0,60.0,85.0,114.0,83.0,166.0,83.0,209.0,70.0,10.0,410.0,0.0,386.0,1.0,527.0,8.0,123.0,76.0
2013J,192183,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,-62.0,,19.0,75.0,58.0,66.0,116.0,68.0,165.0,75.0,215.0,58.0,18.0,299.0,0.0,698.0,0.0,1826.0,8.0,214.0,156.0
2013J,195262,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,-45.0,185.0,,,,,118.0,50.0,,,,,10.0,337.0,0.0,304.0,1.0,1116.0,14.0,85.0,38.0
2013J,200860,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,-54.0,,18.0,69.0,53.0,58.0,114.0,59.0,159.0,53.0,217.0,33.0,0.0,158.0,0.0,199.0,0.0,91.0,16.0,68.0,2.0
2013J,202635,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,-73.0,166.0,27.0,68.0,63.0,70.0,131.0,62.0,,,,,0.0,547.0,0.0,296.0,8.0,504.0,8.0,44.0,11.0
2013J,205350,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-68.0,,19.0,75.0,54.0,59.0,117.0,87.0,166.0,65.0,215.0,75.0,12.0,559.0,0.0,337.0,4.0,577.0,59.0,84.0,33.0
2013J,205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail,-51.0,,19.0,67.0,58.0,63.0,124.0,40.0,,,,,0.0,13.0,0.0,81.0,0.0,193.0,5.0,30.0,11.0
2013J,227499,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,Distinction,-169.0,,19.0,84.0,53.0,83.0,116.0,84.0,163.0,84.0,215.0,83.0,10.0,1299.0,0.0,668.0,0.0,752.0,21.0,103.0,100.0
2013J,227517,M,Ireland,HE Qualification,,0-35,0,180,N,Fail,-172.0,,18.0,63.0,54.0,67.0,116.0,66.0,165.0,63.0,215.0,54.0,0.0,269.0,0.0,205.0,1.0,577.0,7.0,126.0,20.0
2013J,228082,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,-31.0,,19.0,58.0,54.0,68.0,117.0,77.0,166.0,77.0,215.0,82.0,1.0,27.0,0.0,57.0,0.0,69.0,13.0,59.0,1.0
2013J,228222,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,-108.0,,19.0,71.0,61.0,45.0,131.0,67.0,179.0,66.0,215.0,60.0,0.0,86.0,0.0,133.0,0.0,152.0,8.0,42.0,24.0
2013J,229179,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-165.0,,19.0,64.0,54.0,68.0,115.0,70.0,165.0,73.0,214.0,55.0,0.0,75.0,0.0,145.0,0.0,315.0,7.0,53.0,19.0
2013J,229361,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-58.0,,18.0,81.0,53.0,76.0,116.0,75.0,165.0,82.0,214.0,76.0,10.0,40.0,0.0,372.0,0.0,622.0,2.0,112.0,57.0
2013J,231554,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Pass,-29.0,,19.0,80.0,54.0,62.0,118.0,63.0,,,216.0,66.0,2.0,436.0,0.0,300.0,0.0,1020.0,6.0,71.0,4.0
2013J,235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,Withdrawn,-79.0,109.0,18.0,65.0,,,,,,,,,0.0,6.0,0.0,34.0,0.0,129.0,4.0,14.0,3.0
2013J,236284,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,Pass,2.0,,23.0,85.0,54.0,84.0,117.0,83.0,166.0,78.0,219.0,60.0,0.0,58.0,0.0,94.0,0.0,498.0,9.0,59.0,14.0
2013J,238007,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,-151.0,,19.0,83.0,54.0,73.0,117.0,68.0,166.0,86.0,215.0,86.0,8.0,343.0,3.0,391.0,0.0,965.0,19.0,126.0,80.0
2013J,240712,M,London Region,HE Qualification,80-90%,0-35,0,80,N,Pass,-45.0,,19.0,82.0,54.0,81.0,117.0,80.0,166.0,70.0,215.0,66.0,0.0,18.0,0.0,64.0,0.0,213.0,2.0,22.0,2.0
2013J,240884,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-47.0,,18.0,74.0,53.0,54.0,115.0,56.0,165.0,54.0,210.0,54.0,0.0,40.0,0.0,87.0,0.0,197.0,5.0,83.0,15.0
2013J,241649,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,-50.0,,16.0,85.0,42.0,66.0,115.0,80.0,153.0,78.0,215.0,85.0,13.0,198.0,0.0,358.0,0.0,1166.0,8.0,109.0,40.0
2013J,241729,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,Fail,-31.0,,19.0,51.0,64.0,55.0,114.0,62.0,165.0,64.0,214.0,61.0,5.0,195.0,0.0,484.0,0.0,945.0,21.0,124.0,55.0
2013J,242793,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass,-36.0,,18.0,66.0,53.0,75.0,116.0,77.0,166.0,85.0,215.0,84.0,0.0,44.0,0.0,119.0,0.0,388.0,25.0,67.0,15.0
2013J,246834,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,-16.0,,18.0,60.0,54.0,56.0,117.0,58.0,166.0,52.0,215.0,52.0,5.0,163.0,1.0,208.0,0.0,595.0,15.0,148.0,39.0
2013J,248270,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,Pass,-198.0,,19.0,77.0,61.0,79.0,116.0,74.0,175.0,80.0,219.0,82.0,5.0,449.0,0.0,836.0,3.0,556.0,10.0,85.0,25.0
2013J,255548,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,Pass,-103.0,,19.0,84.0,61.0,75.0,119.0,84.0,177.0,60.0,219.0,54.0,1.0,564.0,2.0,603.0,0.0,1033.0,7.0,234.0,136.0
2013J,256815,M,North Western Region,HE Qualification,10-20,0-35,0,120,N,Pass,-117.0,,37.0,71.0,54.0,75.0,123.0,79.0,170.0,79.0,210.0,80.0,9.0,106.0,0.0,475.0,0.0,694.0,45.0,138.0,14.0
2013J,258392,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,-68.0,,18.0,58.0,60.0,57.0,117.0,64.0,173.0,54.0,214.0,61.0,0.0,68.0,2.0,135.0,1.0,425.0,53.0,112.0,48.0
2013J,258894,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,-172.0,,19.0,58.0,67.0,65.0,117.0,75.0,169.0,72.0,215.0,54.0,3.0,1528.0,0.0,1220.0,0.0,1818.0,232.0,162.0,0.0
2013J,260355,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,Withdrawn,-186.0,170.0,21.0,55.0,59.0,60.0,127.0,,,,,,0.0,50.0,0.0,139.0,0.0,217.0,3.0,14.0,3.0
2013J,262011,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,-145.0,,18.0,60.0,54.0,79.0,117.0,70.0,180.0,75.0,215.0,71.0,0.0,240.0,2.0,199.0,1.0,472.0,9.0,113.0,30.0
2013J,262934,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-191.0,,18.0,81.0,53.0,80.0,116.0,75.0,165.0,72.0,214.0,75.0,0.0,555.0,0.0,596.0,0.0,870.0,21.0,250.0,115.0
